time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01018333,0.008992195,1.618532,4.23639,-8.46994,-4.9104,0.4863979,-0.08466394,0.1472902,0.9854631,173.9593,0,0,619
0.03018379,0.008952856,1.618515,4.236498,-8.472382,-4.917145,0.4818713,-0.08477984,0.1473325,0.9854469,175.4646,0,0,620
0.05018425,0.008857727,1.61842,4.236683,-8.399384,-4.901703,0.4782714,-0.08453005,0.1460724,0.9856559,175.4577,0,0,621
0.07018471,0.008823156,1.618344,4.236756,-8.35614,-4.913879,0.4863011,-0.0847491,0.1453258,0.9857475,175.471,0,0,622
0.09018326,0.00878334,1.618266,4.23684,-8.336639,-4.901978,0.4938309,-0.08454821,0.144989,0.9858143,175.459,0,0,623
0.1101837,0.008654118,1.618187,4.237089,-8.316071,-4.902863,0.5184588,-0.08456782,0.1446339,0.9858648,175.4697,0,0,624
0.1301842,0.008619785,1.6182,4.237176,-8.337891,-4.90451,0.5294434,-0.08459176,0.1450104,0.9858074,175.4671,0,0,625
0.1501846,0.008565664,1.618199,4.237258,-8.339447,-4.899689,0.5243792,-0.08450818,0.1450375,0.9858106,175.465,0,0,626
0.1701851,0.008536339,1.618183,4.237314,-8.310822,-4.914734,0.5429047,-0.0847734,0.144543,0.9858604,175.4688,0,1,627
0.1901836,0.008508682,1.618192,4.237386,-8.307831,-4.928772,0.55185,-0.08501578,0.1444913,0.9858471,175.4541,0,1,628
0.2101841,0.008403778,1.618188,4.237576,-8.332123,-4.974091,0.5413305,-0.08578993,0.1449111,0.9857184,175.4404,0,1,629
0.2301846,0.008383989,1.618199,4.237628,-8.340851,-4.972076,0.5452455,-0.08575343,0.1450617,0.9856995,175.3958,0,1,630
0.250185,0.008369684,1.618214,4.237675,-8.34375,-4.983612,0.5393847,-0.08595137,0.145112,0.9856749,175.3974,0,1,631
0.2701836,0.00835228,1.618205,4.23774,-8.35022,-4.980469,0.5423341,-0.08589599,0.1452233,0.9856633,175.3863,0,1,632
0.290184,0.008341312,1.618224,4.237884,-8.369629,-4.976715,0.5397803,-0.0858268,0.1455588,0.9856198,175.389,0,1,633
0.3101845,0.008356571,1.618232,4.23805,-8.38266,-4.964478,0.5422565,-0.08561341,0.1457836,0.9856051,175.3924,0,1,634
0.3301849,0.008383751,1.618223,4.238155,-8.389404,-4.951935,0.540732,-0.08539611,0.1458999,0.9856068,175.4042,0,1,635
0.3501835,0.00837326,1.618195,4.238271,-8.374542,-4.944489,0.5287678,-0.08527169,0.1456433,0.9856555,175.4165,0,1,636
0.3701839,0.008379936,1.61808,4.238486,-8.309326,-4.932404,0.5144973,-0.085078,0.1445175,0.9858379,175.4234,0,1,637
0.3901844,0.008401394,1.61802,4.238601,-8.266266,-4.926392,0.5169948,-0.08498364,0.1437736,0.9859548,175.4351,0,1,638
0.4101849,0.008444548,1.617922,4.238837,-8.236359,-4.931305,0.5270576,-0.08507457,0.1432569,0.9860222,175.4412,0,1,639
0.4301834,0.008451462,1.617849,4.238984,-8.223755,-4.939423,0.5072545,-0.08521701,0.1430391,0.9860415,175.4372,0,1,640
0.4501839,0.008553267,1.617743,4.239228,-8.173676,-4.931305,0.5000662,-0.085088,0.142174,0.9861777,175.4296,0,1,641
0.4701843,0.008599043,1.61768,4.239355,-8.168182,-4.922668,0.46768,-0.0849405,0.1420794,0.9862041,175.4388,0,1,642
0.4901848,0.008656502,1.617608,4.239488,-8.123749,-4.911224,0.4728045,-0.08475307,0.1413113,0.9863306,175.4478,0,1,643
0.5101833,0.008770466,1.617501,4.239756,-8.084503,-4.889954,0.4753604,-0.08439501,0.1406334,0.9864582,175.4595,0,1,644
0.5301838,0.008820057,1.617453,4.239928,-8.100403,-4.863708,0.464828,-0.08393989,0.140908,0.9864578,175.4814,0,1,645
0.5501842,0.008926392,1.617324,4.240269,-8.040131,-4.868011,0.4226181,-0.08402631,0.1398665,0.9865987,175.5071,0,1,646
0.5701847,0.008945465,1.617215,4.240423,-7.971252,-4.852081,0.4009648,-0.0837665,0.1386764,0.9867887,175.5046,0,1,647
0.5901833,0.008975983,1.617136,4.240555,-7.913849,-4.859589,0.4004735,-0.08390752,0.1376839,0.9869157,175.52,0,1,648
0.6101837,0.009021282,1.616949,4.240848,-7.84491,-4.852112,0.3876203,-0.08379242,0.1364922,0.987091,175.5134,0,1,649
0.6301842,0.009016037,1.616775,4.241185,-7.835236,-4.871796,0.4205094,-0.08413371,0.136325,0.9870851,175.5212,0,1,650
0.6501846,0.008996725,1.616711,4.241355,-7.855103,-4.885437,0.4328229,-0.08436463,0.1366685,0.9870179,175.5025,0,1,651
0.6701851,0.008968592,1.616645,4.24153,-7.807922,-4.904388,0.4292163,-0.08470072,0.1358526,0.9871017,175.4892,0,1,652
0.6901836,0.008927345,1.616536,4.241719,-7.755981,-4.918762,0.4172416,-0.08495894,0.1349542,0.9872028,175.4708,0,1,653
0.7101841,0.008904219,1.616326,4.242082,-7.669586,-4.96347,0.4179593,-0.08574676,0.13346,0.9873378,175.4567,0,1,654
0.7301846,0.008882999,1.616112,4.24253,-7.62851,-5.018951,0.3918794,-0.08671097,0.1327495,0.9873494,175.4139,0,1,655
0.750185,0.008859158,1.616018,4.242815,-7.614319,-5.035461,0.3697661,-0.08699831,0.1325044,0.987357,175.361,0,1,656
0.7701836,0.008833647,1.615894,4.243117,-7.582367,-5.047516,0.3517464,-0.08721233,0.1319513,0.9874122,175.345,0,1,657
0.790184,0.008790016,1.615786,4.24344,-7.531525,-5.052826,0.3513564,-0.08731429,0.1310715,0.9875204,175.3332,0,1,658
0.8101845,0.008261681,1.615545,4.244699,-7.413818,-5.080109,0.3428891,-0.08780833,0.1290345,0.9877448,175.3275,0,1,659
0.8301849,0.007932663,1.615375,4.245293,-7.413025,-5.128723,0.3326026,-0.08864627,0.1290209,0.9876717,175.2942,0,1,660
0.8501835,0.007605076,1.615309,4.245831,-7.398132,-5.181702,0.3218159,-0.0895626,0.1287635,0.9876227,175.2433,0,1,661
0.8701839,0.007106066,1.615122,4.246441,-7.378967,-5.231476,0.3143629,-0.09042451,0.1284313,0.9875873,175.1883,0,1,662
0.8901844,0.005269289,1.614964,4.248468,-7.403229,-5.385864,0.3342088,-0.09308032,0.1288515,0.9872859,175.1338,0,1,663
0.9101849,0.004306555,1.615033,4.249268,-7.434998,-5.453186,0.3645071,-0.09423358,0.1294012,0.9871045,174.9606,0,1,664
0.9301834,0.003329277,1.614892,4.25,-7.470032,-5.550079,0.3912398,-0.09589469,0.1300078,0.9868648,174.8828,0,1,665
0.9501839,0.002244473,1.615013,4.25074,-7.477783,-5.646545,0.4484025,-0.09755451,0.1301419,0.9866844,174.7766,0,1,666
0.9701843,0.001046181,1.614786,4.251365,-7.494446,-5.733459,0.5136672,-0.09904759,0.13043,0.9864976,174.6693,0,1,667
0.9901848,-0.002986908,1.614195,4.25301,-7.31424,-5.991119,0.5516341,-0.103525,0.1273109,0.9864454,174.5694,0,1,668
1.010183,-0.00474453,1.613693,4.253426,-7.207458,-6.079559,0.5431092,-0.1050726,0.1254623,0.9865186,174.2663,0,1,669
1.030184,-0.006452799,1.613289,4.25374,-7.085175,-6.207397,0.5341108,-0.1073021,0.1233449,0.9865456,174.1568,0,1,670
1.050184,-0.008311749,1.612999,4.254164,-6.975708,-6.316528,0.5444903,-0.1092067,0.1214486,0.9865719,174.0106,0,1,671
1.070185,-0.01236606,1.612497,4.254948,-6.839172,-6.618134,0.5631413,-0.1144314,0.1190828,0.9862681,173.8801,0,1,672
1.090183,-0.01661253,1.612099,4.255782,-6.733856,-6.924133,0.5309509,-0.1197236,0.1172575,0.9858585,173.5347,0,1,673
1.110184,-0.01865244,1.612192,4.256239,-6.740875,-7.108643,0.5616978,-0.1228956,0.117379,0.9854536,173.1825,0,1,674
1.130184,-0.02074385,1.612119,4.25668,-6.747498,-7.236938,0.5828428,-0.1251002,0.1174942,0.9851624,172.9776,0,1,675
1.150185,-0.02289033,1.61186,4.257199,-6.76181,-7.317322,0.5963101,-0.1264785,0.1177422,0.9849569,172.8253,0,1,676
1.170185,-0.02711248,1.611609,4.258212,-6.71286,-7.346832,0.5511683,-0.1269985,0.1168938,0.984991,172.7177,0,1,677
1.190184,-0.03122091,1.611384,4.259346,-6.65213,-7.341919,0.601652,-0.1269297,0.1158409,0.9851242,172.6283,0,1,678
1.210184,-0.03332138,1.611341,4.260002,-6.662872,-7.273529,0.6922672,-0.125751,0.1160272,0.9852535,172.5732,0,1,679
1.230185,-0.0355916,1.611125,4.260634,-6.693787,-7.212891,0.7601357,-0.1247004,0.1165631,0.9853237,172.6076,0,1,680
1.250185,-0.04000282,1.610802,4.261766,-6.745514,-7.122345,0.7694035,-0.1231304,0.1174598,0.9854147,172.6321,0,1,681
1.270184,-0.04215956,1.610509,4.262259,-6.743103,-7.065369,0.7460749,-0.122151,0.1174179,0.9855416,172.6538,0,1,682
1.290184,-0.04658127,1.610077,4.26312,-6.770569,-6.963501,0.7498594,-0.1203915,0.1178941,0.9857012,172.6765,0,1,683
1.310184,-0.04895163,1.609649,4.263512,-6.796021,-6.883026,0.7771439,-0.1190009,0.1183351,0.9858173,172.7088,0,1,684
1.330185,-0.05383825,1.608908,4.264082,-6.755157,-6.830597,0.9277483,-0.1181085,0.117627,0.9860092,172.7507,0,1,685
1.350183,-0.05642438,1.608662,4.264147,-6.687744,-6.837494,1.016615,-0.1182437,0.1164583,0.9861318,172.7292,0,1,686
1.370184,-0.06151962,1.607874,4.264462,-6.575592,-6.828491,1.139972,-0.1181157,0.114514,0.9863748,172.6851,0,1,687
1.390184,-0.06401277,1.607522,4.264455,-6.429108,-6.839844,1.146186,-0.1183453,0.1119737,0.9866389,172.6194,0,1,688
1.410185,-0.06653666,1.607359,4.264403,-6.345306,-6.863251,1.122286,-0.1187679,0.1105204,0.986752,172.5724,0,1,689
1.430183,-0.0718832,1.606947,4.264266,-6.294128,-6.883667,1.029888,-0.1191311,0.1096324,0.9868072,172.5135,0,1,690
1.450184,-0.0743885,1.606597,4.264035,-6.231964,-6.903442,1.002419,-0.1194864,0.108554,0.9868835,172.4163,0,1,691
1.470184,-0.07928991,1.605704,4.263483,-6.042297,-6.934631,0.9656186,-0.1200664,0.1052625,0.9871696,172.3611,0,1,692
1.490185,-0.08152652,1.605147,4.263074,-5.917389,-6.902405,0.9589536,-0.1195384,0.1030942,0.9874625,172.2603,0,1,693
1.510183,-0.08571291,1.604624,4.262844,-5.937134,-6.688507,0.918219,-0.1158467,0.103437,0.9878665,172.2586,0,1,694
1.530184,-0.08773565,1.604285,4.262986,-6.123932,-6.530426,0.9603851,-0.1130816,0.1066795,0.9878421,172.4008,0,1,695
1.550184,-0.0897646,1.603609,4.263008,-6.272491,-6.42511,1.012647,-0.1112348,0.1092569,0.9877701,172.5214,0,1,696
1.570185,-0.093431,1.602401,4.26307,-6.404541,-6.267548,1.120354,-0.1084898,0.1115478,0.9878193,172.5918,0,1,697
1.590183,-0.09619522,1.600988,4.263675,-6.434845,-6.10202,1.325505,-0.1056297,0.1120731,0.9880698,172.688,0,1,698
1.610184,-0.09738493,1.600593,4.264254,-6.459564,-5.975922,1.422033,-0.1034496,0.1125018,0.9882517,172.8048,0,1,699
1.630184,-0.0984621,1.599963,4.264751,-6.420868,-5.910492,1.449386,-0.1023288,0.111831,0.9884446,172.907,0,1,700
1.650185,-0.09934473,1.599785,4.265463,-6.274841,-5.878601,1.489736,-0.1018073,0.109298,0.9887817,172.9534,0,1,701
1.670185,-0.1009278,1.600312,4.267165,-6.090759,-5.835236,1.646108,-0.1010944,0.1061036,0.9892027,172.9707,0,1,702
1.690184,-0.1021931,1.600007,4.269173,-6.202545,-6.015259,1.413759,-0.1041798,0.1080437,0.9886724,172.9885,0,1,703
1.710184,-0.1026173,1.599892,4.270304,-6.242798,-6.052582,1.250368,-0.1048156,0.1087422,0.9885286,172.7984,0,1,704
1.730185,-0.1029544,1.600151,4.271695,-6.320313,-6.104187,1.103168,-0.1056904,0.1100866,0.9882866,172.7564,0,1,705
1.750185,-0.1031373,1.600125,4.273179,-6.432587,-6.191467,1.050284,-0.1071725,0.1120342,0.9879081,172.7019,0,1,706
1.770184,-0.1038899,1.59968,4.278207,-6.768433,-6.330292,0.8624441,-0.1094913,0.1178569,0.9869759,172.6158,0,1,707
1.790184,-0.1037946,1.599323,4.280319,-6.828369,-6.374908,0.939381,-0.110246,0.1188954,0.9867673,172.4712,0,1,708
1.810184,-0.103622,1.598923,4.282383,-6.859253,-6.41095,1.047015,-0.1108598,0.1194306,0.9866339,172.4296,0,1,709
1.830185,-0.1032815,1.598635,4.28465,-6.864655,-6.441467,1.20551,-0.1113838,0.1195242,0.9865636,172.3972,0,1,710
1.850183,-0.1026545,1.598218,4.287042,-6.868561,-6.443115,1.256077,-0.1114112,0.1195921,0.9865522,172.3725,0,1,711
1.870184,-0.1008005,1.596781,4.294702,-6.894012,-6.305969,1.128386,-0.1090435,0.120033,0.9867632,172.3794,0,1,712
1.890184,-0.09994602,1.596452,4.297449,-6.804108,-6.236755,1.085867,-0.1078717,0.118475,0.9870802,172.5345,0,1,713
1.910185,-0.09893656,1.595958,4.300243,-6.667664,-6.230133,1.060739,-0.107788,0.1161103,0.9873703,172.6121,0,1,714
1.930183,-0.09785151,1.595362,4.303094,-6.501007,-6.270355,1.034147,-0.1085179,0.1132208,0.9876259,172.6324,0,1,715
1.950184,-0.09444332,1.594206,4.312109,-6.09137,-6.447876,0.9981002,-0.1116655,0.1061143,0.9880641,172.6095,0,1,716
1.970184,-0.09305048,1.594205,4.315512,-6.063416,-6.604248,0.9939386,-0.1143674,0.1056289,0.987807,172.4889,0,1,717
1.990185,-0.09161043,1.594614,4.31908,-6.071625,-6.755737,0.9983074,-0.116977,0.1057716,0.9874861,172.3601,0,1,718
2.010183,-0.09022522,1.594332,4.322472,-6.123657,-6.932526,0.9623128,-0.1200114,0.1066747,0.9870247,172.2366,0,1,719
2.030184,-0.08695889,1.594104,4.329574,-6.067108,-7.297791,1.048488,-0.1263151,0.105693,0.9863435,172.0884,0,1,720
2.050184,-0.08341551,1.594225,4.337129,-6.019318,-7.647034,1.11612,-0.1323366,0.1048638,0.9856423,171.7883,0,1,721
2.070185,-0.08124685,1.594209,4.341079,-5.99176,-7.813293,1.167681,-0.1352025,0.1043853,0.985304,171.5077,0,1,722
