time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.005872726,0.02489924,1.632519,4.167318,-7.307526,4.25358,-0.6508179,0.07356836,0.1271947,0.9891457,2.94796,0,0,245
0.02587318,0.0249722,1.632389,4.167747,-7.243835,4.27253,-0.6824341,0.073906,0.1260924,0.9892616,4.625799,0,0,245
0.04587269,0.02497721,1.632303,4.167966,-7.181061,4.258251,-0.7049866,0.07366969,0.1250052,0.9894173,4.645912,0,0,245
0.06587315,0.02501714,1.632077,4.168414,-7.105072,4.256794,-0.7153015,0.07365677,0.1236892,0.9895836,4.631681,0,0,245
0.08587265,0.02504611,1.631954,4.168635,-7.048462,4.267568,-0.7166443,0.07385188,0.1227087,0.9896911,4.63092,0,0,245
0.1058731,0.02504909,1.631814,4.16884,-6.995148,4.271902,-0.7111206,0.07393523,0.1217853,0.989799,4.642074,0,0,245
0.1258726,0.02505183,1.631683,4.169018,-6.947968,4.282048,-0.7164001,0.07411797,0.1209679,0.9898855,4.646502,0,0,245
0.1458731,0.02505624,1.631444,4.169507,-6.863617,4.313334,-0.7110901,0.07467178,0.1195066,0.9900213,4.656735,0,0,245
0.1658726,0.02503812,1.631401,4.169651,-6.835205,4.309981,-0.7144775,0.0746183,0.1190142,0.9900847,4.688178,0,0,245
0.185873,0.02501428,1.631359,4.169796,-6.826019,4.322532,-0.7286987,0.0748366,0.1188549,0.9900874,4.6845,0,0,245
0.2058725,0.02502203,1.631311,4.169903,-6.819946,4.315005,-0.7319336,0.0747075,0.1187495,0.9901097,4.696736,0,0,245
0.225873,0.024966,1.631188,4.170211,-6.761261,4.343801,-0.7435913,0.07521427,0.1177327,0.9901928,4.689348,0,0,245
0.2458725,0.02490425,1.63115,4.170277,-6.746094,4.3417,-0.7437134,0.07518032,0.1174695,0.9902267,4.717295,0,0,245
0.265873,0.02486885,1.631145,4.170348,-6.748505,4.33436,-0.716217,0.07505309,0.1175113,0.9902313,4.714304,0,0,245
0.2858725,0.02483559,1.631118,4.17042,-6.753815,4.333497,-0.7215271,0.07503735,0.1176036,0.9902216,4.706402,0,0,245
0.3058729,0.02478015,1.631094,4.170516,-6.747803,4.346307,-0.7156677,0.07525968,0.1174992,0.9902171,4.705029,0,0,245
0.3258724,0.02467608,1.631199,4.170866,-6.789276,4.332726,-0.6560974,0.07501853,0.1182181,0.9901499,4.717046,0,0,245
0.3458729,0.0246594,1.631248,4.171013,-6.826874,4.3155,-0.6768188,0.07471497,0.1188696,0.9900948,4.701947,0,0,245
