time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01879501,0.9275382,1.442717,6.943099,15.30782,15.97495,1.329022,0.2654527,-0.2640047,0.9272736,121.3214,0,0,1746
0.03879547,0.926302,1.442494,6.942569,15.40761,15.80217,1.185406,0.2625296,-0.2656841,0.9276261,128.8848,0,0,1747
0.05879593,0.9251304,1.442125,6.942079,15.50641,15.67343,1.136075,0.2603205,-0.2673462,0.9277711,129.0907,0,0,1748
0.07879639,0.9239211,1.441743,6.941648,15.60536,15.54502,1.111142,0.2581165,-0.2690099,0.927906,129.2532,0,0,1749
0.09879684,0.9215255,1.440994,6.940769,15.78071,15.23691,1.117658,0.2529053,-0.2719562,0.9284819,129.4152,0,0,1750
0.1187973,0.9203979,1.4406,6.940301,15.89861,15.11881,1.19025,0.2508445,-0.2739359,0.928459,129.7867,0,0,1751
0.1387978,0.9180513,1.43986,6.939367,16.09749,14.85906,1.231075,0.2463875,-0.2772724,0.9286621,129.9369,0,0,1752
0.1587982,0.9169443,1.439705,6.938883,16.22686,14.69682,1.226661,0.2435973,-0.2794412,0.9287481,130.2627,1,1,1753
0.1787949,0.914875,1.439222,6.938116,16.34398,14.40806,1.243701,0.238771,-0.2814033,0.9294087,130.4527,1,1,1754
0.1987953,0.9138018,1.439075,6.937829,16.3239,14.25643,1.314639,0.2363347,-0.281067,0.9301329,130.795,1,1,1755
0.2187958,0.9127832,1.438929,6.937558,16.30319,14.0575,1.368315,0.2331287,-0.2807201,0.9310463,130.9741,1,1,1756
0.2387962,0.9108403,1.438553,6.937018,16.31364,13.76834,1.45458,0.2284147,-0.2808952,0.9321613,131.1944,1,1,1757
0.2587967,0.9099762,1.438326,6.936731,16.33442,13.66307,1.456263,0.2266776,-0.2812431,0.9324803,131.531,1,1,1758
0.2787971,0.908236,1.438022,6.936086,16.43767,13.49859,1.363724,0.223881,-0.2829722,0.9326329,131.6598,1,1,1759
0.2987976,0.9075752,1.437852,6.935666,16.48911,13.42617,1.373035,0.222643,-0.2838331,0.9326676,131.8754,1,1,1760
0.3187981,0.9060033,1.437572,6.935065,16.58324,13.29472,1.322483,0.2203951,-0.2854081,0.9327209,131.9698,1,1,1761
0.3387947,0.9053427,1.43746,6.934957,16.56226,13.27543,1.221991,0.2201051,-0.285057,0.9328967,132.1492,1,1,1762
0.3587952,0.9046593,1.437595,6.934824,16.54463,13.23095,1.099524,0.2194009,-0.2847621,0.9331526,132.1902,1,1,1763
0.3787956,0.9038407,1.437632,6.934306,16.48202,13.24826,1.123428,0.219754,-0.2837143,0.9333887,132.2555,1,1,1764
0.3987961,0.9029467,1.437521,6.933799,16.48735,13.32442,1.124796,0.2209883,-0.2838037,0.93307,132.2779,1,1,1765
0.4187965,0.9024953,1.437528,6.933662,16.46513,13.39508,1.007798,0.2221644,-0.2834317,0.9329038,132.2467,1,1,1766
0.438797,0.9023689,1.437811,6.93348,16.39613,13.48013,0.9468119,0.2236283,-0.2822767,0.9329042,132.1996,1,1,1767
0.4587975,0.9022526,1.437952,6.933041,16.27737,13.81918,0.9396698,0.2292842,-0.2802875,0.9321307,132.1315,1,1,1768
0.4787979,0.9021786,1.437939,6.932576,16.22957,14.23461,0.9231351,0.2360941,-0.2794866,0.9306701,131.8374,1,1,1769
0.4987946,0.9018591,1.438038,6.932343,16.19154,14.54878,0.8612177,0.2412401,-0.2788494,0.9295409,131.4704,1,1,1770
0.518795,0.9021637,1.438126,6.932169,16.11404,14.91647,0.8754826,0.2472972,-0.2775501,0.9283372,131.1984,1,1,1771
0.5387955,0.9025908,1.438254,6.932029,16.0025,15.30591,0.891475,0.2537436,-0.2756793,0.9271543,130.8577,1,1,1772
0.5587959,0.9034944,1.438434,6.931843,15.8723,15.70741,0.9457778,0.2604032,-0.2734942,0.9259542,130.4931,1,1,1773
0.5787964,0.9051072,1.43859,6.93098,15.63474,17.03067,1.077209,0.2820467,-0.2695037,0.92077,130.1039,1,1,1774
0.5987968,0.9059286,1.438758,6.930657,15.62516,17.59847,1.183248,0.2911712,-0.2693427,0.9179727,128.862,1,1,1775
0.6187973,0.9066539,1.438786,6.930294,15.58861,18.17927,1.320649,0.3005149,-0.2687283,0.9151371,128.3206,1,1,1776
0.6387978,0.9074366,1.438791,6.929954,15.56823,18.73009,1.468742,0.3093294,-0.2683857,0.9122962,127.7714,1,1,1777
0.6587982,0.9088309,1.438864,6.929563,15.50237,19.76576,1.653445,0.3258725,-0.2672783,0.9068459,127.2465,1,1,1778
0.6787949,0.910512,1.439003,6.929001,15.4226,20.6883,1.738112,0.3405623,-0.2659363,0.9018288,126.2562,1,1,1779
0.6987953,0.9110948,1.439231,6.928858,15.33972,21.14627,1.762671,0.347898,-0.2645416,0.8994358,125.3639,1,1,1780
0.7187958,0.9116948,1.439289,6.92864,15.24803,21.49331,1.817177,0.3534943,-0.2629981,0.8977047,124.9267,1,1,1781
0.7387962,0.9128542,1.439515,6.928179,15.15041,22.17483,1.878403,0.3643155,-0.2613538,0.8938503,124.5933,1,1,1782
