time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.008640289,-0.1396618,1.644632,4.204162,-5.891266,-1.598328,-0.151825,-0.0277454,0.1026407,0.9943315,179.5223,0,0,1278
0.02864075,-0.1396945,1.644597,4.204327,-5.858337,-1.595947,-0.1553955,-0.02770563,0.102069,0.9943914,176.4789,0,0,1279
0.0486412,-0.1397305,1.644514,4.204667,-5.808624,-1.603394,-0.1411133,-0.02783703,0.1012059,0.994476,176.4806,0,0,1280
0.06864166,-0.139744,1.644453,4.204818,-5.795807,-1.6091,-0.1462708,-0.02793711,0.1009836,0.9944957,176.4729,0,0,1281
0.08864212,-0.1397552,1.644416,4.204949,-5.764954,-1.621307,-0.1477356,-0.02815007,0.100448,0.994544,176.4671,0,0,1282
0.1086426,-0.1398015,1.644361,4.205076,-5.755646,-1.640991,-0.1455078,-0.02849253,0.1002862,0.9945506,176.4553,0,1,1283
0.128643,-0.1399367,1.644258,4.205492,-5.682281,-1.660706,-0.1268005,-0.02883849,0.09901209,0.9946682,176.4359,0,1,1284
0.1486435,-0.1399751,1.644242,4.20565,-5.697632,-1.673431,-0.1026306,-0.02905855,0.09927876,0.9946353,176.415,0,1,1285
0.1686401,-0.1400442,1.644253,4.205813,-5.679962,-1.666656,-0.108429,-0.02894164,0.09897182,0.9946693,176.4023,0,1,1286
0.1886406,-0.1400919,1.644223,4.205966,-5.667908,-1.671753,-0.08648682,-0.02903108,0.09876223,0.9946875,176.4077,0,1,1287
0.2086411,-0.1402123,1.644165,4.206355,-5.639648,-1.694,-0.05508423,-0.02941824,0.09827164,0.9947247,176.4021,0,1,1288
0.2286415,-0.1402345,1.644141,4.206483,-5.633301,-1.700592,-0.0423584,-0.02953349,0.09816145,0.9947322,176.379,0,1,1289
0.248642,-0.1402352,1.644145,4.206627,-5.636749,-1.713867,-0.01608276,-0.02976346,0.09822098,0.9947194,176.3725,0,1,1290
0.2686424,-0.1402562,1.644185,4.206818,-5.65329,-1.710541,-0.03253174,-0.02970504,0.0985087,0.9946927,176.3597,0,1,1291
0.2886429,-0.1402657,1.644194,4.206993,-5.671021,-1.723358,-0.05886841,-0.02992645,0.09881628,0.9946556,176.3624,0,1,1292
0.3086433,-0.140281,1.644111,4.207488,-5.609802,-1.715088,-0.09649658,-0.02978623,0.09775312,0.9947649,176.3501,0,1,1293
0.32864,-0.140286,1.644045,4.207662,-5.5914,-1.698273,-0.1087341,-0.02949534,0.09743371,0.9948049,176.3575,0,1,1294
0.3486404,-0.1402669,1.643994,4.207826,-5.572205,-1.696716,-0.1082458,-0.02946915,0.09710024,0.9948382,176.3733,0,1,1295
0.3686409,-0.1402571,1.643953,4.20801,-5.562714,-1.675476,-0.1021423,-0.02910057,0.09693532,0.9948652,176.375,0,1,1296
0.3886414,-0.1402643,1.643916,4.208379,-5.551605,-1.645142,-0.09719849,-0.02857467,0.09674238,0.9948992,176.3953,0,1,1297
0.4086418,-0.1403248,1.643857,4.208805,-5.55249,-1.643677,-0.05740356,-0.0285488,0.09675738,0.9948985,176.4237,0,1,1298
0.4286423,-0.1403687,1.643799,4.209011,-5.542175,-1.66153,-0.05264282,-0.02885976,0.09657837,0.9949069,176.4241,0,1,1299
0.4486427,-0.1404049,1.643741,4.209199,-5.504486,-1.681763,-0.05615234,-0.02921283,0.09592371,0.99496,176.4064,0,1,1300
0.4686432,-0.1404476,1.643611,4.209593,-5.460999,-1.722931,-0.01620483,-0.02992984,0.09516811,0.9950112,176.3865,0,1,1301
