time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.0119133,0.0490177,1.638278,4.268873,-6.452545,1.026925,-0.880188,0.01780874,0.1123802,0.9935057,5.599127,0,0,943
0.03191185,0.0489668,1.638266,4.268887,-6.445465,1.015087,-0.8783875,0.0176037,0.1122573,0.9935232,1.779603,0,0,943
0.05191231,0.04885298,1.638214,4.268929,-6.443878,0.9964713,-0.8674927,0.01728096,0.1122298,0.993532,1.767133,0,0,943
0.07191277,0.04882696,1.638192,4.268964,-6.442413,1.000044,-0.8602295,0.01734297,0.1122044,0.9935338,1.746637,0,0,943
0.09191322,0.04881099,1.638179,4.268994,-6.437988,0.9972249,-0.8509827,0.01729423,0.1121276,0.9935433,1.749659,0,0,943
0.1119118,0.04873651,1.638117,4.269133,-6.445374,0.9842538,-0.8429871,0.01706905,0.1122557,0.9935327,1.746861,0,0,943
0.1319122,0.04871374,1.638131,4.269192,-6.432251,0.9889836,-0.8405762,0.01715151,0.1120284,0.993557,1.7328,0,0,943
0.1519127,0.04868713,1.638108,4.269257,-6.441772,0.990536,-0.8698425,0.01717811,0.1121936,0.9935379,1.736861,0,0,943
0.1719131,0.04867938,1.638076,4.269315,-6.434814,0.987983,-0.8577576,0.01713408,0.1120726,0.9935523,1.738325,0,0,943
0.1919117,0.04869264,1.638116,4.269513,-6.467957,0.9985144,-0.8541565,0.01731556,0.1126475,0.9934841,1.735509,0,0,943
0.2119122,0.04868177,1.638153,4.269701,-6.482666,1.013712,-0.8829346,0.01757858,0.1129028,0.9934505,1.746188,0,0,943
0.2319126,0.04868361,1.6381,4.269773,-6.453827,1.036489,-0.8953247,0.01797453,0.1124025,0.9935002,1.761364,0,0,943
0.2519131,0.04868755,1.638023,4.269819,-6.395691,1.05313,-0.901825,0.01826517,0.1113942,0.9936084,1.784106,0,0,943
0.2719116,0.04869658,1.637973,4.269897,-6.373688,1.048389,-0.9072571,0.01818372,0.1110124,0.9936526,1.800919,0,0,943
0.2919121,0.04866236,1.637887,4.270196,-6.360077,1.076279,-0.8988037,0.01866791,0.1107765,0.99367,1.796349,0,0,943
0.3119125,0.04864848,1.637887,4.270283,-6.371613,1.076385,-0.8841248,0.01866932,0.1109767,0.9936476,1.823704,0,0,943
0.331913,0.04860389,1.63788,4.270389,-6.367004,1.066643,-0.8690186,0.01850054,0.1108966,0.9936597,1.823811,0,0,943
0.3519115,0.04853359,1.63785,4.270493,-6.359039,1.045357,-0.8739319,0.01813166,0.1107583,0.993682,1.813373,0,0,943
0.371912,0.04845098,1.637763,4.270745,-6.342957,0.9887986,-0.850769,0.0171513,0.1104795,0.9937304,1.791003,0,0,943
0.3919125,0.04843163,1.637792,4.270875,-6.380615,0.962638,-0.8655396,0.01669635,0.1111326,0.9936653,1.733139,0,0,943
0.4119129,0.04840428,1.637837,4.27101,-6.39975,0.958934,-0.8892822,0.01663149,0.1114645,0.9936292,1.706742,0,0,943
0.4319115,0.04841688,1.637826,4.271115,-6.39444,0.9743095,-0.8958435,0.0168983,0.1113725,0.9936351,1.702609,0,0,943
0.4519119,0.04845339,1.637793,4.271224,-6.387329,0.9919077,-0.8954163,0.01720374,0.111249,0.9936436,1.71817,0,0,943
0.4719124,0.0485304,1.637687,4.271589,-6.376099,1.059003,-0.9026489,0.0183677,0.1110543,0.9936446,1.736298,0,0,943
0.4919128,0.0485746,1.637646,4.271727,-6.365814,1.085942,-0.899231,0.01883527,0.1108761,0.9936557,1.804719,0,0,943
0.5119133,0.04858872,1.637619,4.271873,-6.355835,1.092271,-0.9122009,0.01894541,0.1107026,0.993673,1.832269,0,0,943
0.5319118,0.04859048,1.637586,4.272034,-6.33609,1.082475,-0.9139099,0.01877624,0.1103602,0.9937143,1.838986,0,0,943
0.5519123,0.04854771,1.637557,4.272213,-6.314545,1.075157,-0.9158936,0.01865009,0.1099867,0.9937581,1.829383,0,0,943
0.5719128,0.04850543,1.637349,4.272709,-6.236115,1.03277,-0.9138794,0.0179176,0.1086258,0.9939212,1.821342,0,0,943
0.5919132,0.04850298,1.637277,4.272847,-6.193756,0.9995151,-0.9211426,0.01734212,0.107891,0.9940115,1.778283,0,0,943
0.6119118,0.04850286,1.637194,4.272991,-6.134521,0.9977866,-0.9180908,0.01731407,0.106863,0.994123,1.745179,0,0,943
0.6319122,0.04850453,1.637105,4.273139,-6.117065,0.9815549,-0.9067383,0.01703299,0.1065602,0.9941604,1.743384,0,0,943
0.6519127,0.04848194,1.636939,4.273419,-6.056976,0.9879271,-0.8906555,0.01714548,0.1055172,0.9942697,1.727144,0,0,943
0.6719131,0.04849398,1.636831,4.273656,-5.998199,0.986648,-0.8863831,0.01712513,0.104497,0.9943777,1.733252,0,0,943
