time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.0001907349,-0.01923048,1.634965,4.159634,-9.882446,-1.606995,-0.6585693,-0.02762756,0.1716275,0.9847745,179.7013,0,0,442
0.02019119,-0.0191853,1.634882,4.159744,-9.85376,-1.582062,-0.6760864,-0.02720151,0.171134,0.9848722,178.1987,0,0,443
0.04019165,-0.01914489,1.634816,4.159853,-9.832458,-1.555603,-0.6897278,-0.02674839,0.1707679,0.9849482,178.2229,0,0,444
0.0601902,-0.01911378,1.634763,4.159973,-9.813782,-1.526489,-0.697052,-0.02624944,0.1704463,0.9850172,178.2487,0,0,445
0.08019066,-0.01906669,1.634667,4.160156,-9.794159,-1.466492,-0.7262573,-0.02521917,0.1701093,0.9851025,178.2767,0,0,446
0.1001911,-0.01906097,1.634649,4.16025,-9.789886,-1.43927,-0.7387695,-0.02475184,0.1700355,0.985127,178.3347,0,0,447
0.1201916,-0.01904094,1.634616,4.160451,-9.812225,-1.401672,-0.7567444,-0.02410363,0.1704196,0.9850767,178.3604,0,0,448
0.1401901,-0.01904047,1.634594,4.160534,-9.797333,-1.392212,-0.7625427,-0.02394209,0.1701638,0.9851249,178.3964,0,0,449
0.1601906,-0.01907241,1.634533,4.160632,-9.787811,-1.391815,-0.7741089,-0.02393574,0.17,0.9851533,178.4055,0,1,450
0.180191,-0.01911175,1.63455,4.160682,-9.797913,-1.382172,-0.7759705,-0.02376944,0.1701739,0.9851273,178.4054,0,1,451
0.2001915,-0.01915741,1.634581,4.160734,-9.805664,-1.394104,-0.7745056,-0.02397404,0.1703069,0.9850994,178.414,0,1,452
0.22019,-0.01923311,1.634581,4.160872,-9.828552,-1.417542,-0.7478638,-0.02437526,0.1707008,0.9850214,178.4021,0,1,453
0.2401905,-0.01934946,1.63457,4.160932,-9.812134,-1.474274,-0.7292786,-0.02535185,0.1704181,0.9850457,178.3786,0,1,454
0.260191,-0.0193907,1.634552,4.16097,-9.813568,-1.533264,-0.7026978,-0.02636566,0.1704431,0.9850147,178.3231,0,1,455
0.2801914,-0.01946259,1.634534,4.161015,-9.815247,-1.553101,-0.711731,-0.02670663,0.1704717,0.9850006,178.2664,0,1,456
0.3001919,-0.0195595,1.634513,4.161117,-9.807556,-1.601379,-0.6923218,-0.02753743,0.1703394,0.9850006,178.2463,0,1,457
0.3201904,-0.01959026,1.634558,4.1612,-9.837067,-1.624481,-0.6808777,-0.02793218,0.170847,0.9849015,178.1991,0,1,458
0.3401909,-0.01962674,1.634629,4.161378,-9.884033,-1.671967,-0.6663513,-0.02874423,0.1716544,0.9847378,178.1766,0,1,459
