time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.008972168,-0.02970266,1.472216,4.075883,1.969942,0.781853,-2.134521,0.01363742,-0.0343752,0.999316,172.07,0,0,0
0.02893066,-0.0296967,1.472248,4.075889,1.954071,0.8049911,-2.175415,0.01404112,-0.03409836,0.9993199,179.6696,0,0,0
0.0489502,-0.02962363,1.472333,4.075966,1.889066,0.8910671,-2.249603,0.01554298,-0.03296444,0.9993356,179.6461,0,0,0
0.06896973,-0.0296098,1.472373,4.075987,1.885491,0.9435952,-2.270325,0.01645918,-0.0329021,0.9993231,179.5634,0,0,0
0.08892822,-0.02959836,1.47238,4.075993,1.881945,0.9616506,-2.30014,0.01677413,-0.03284023,0.9993199,179.513,0,0,0
0.1089478,-0.02958059,1.472346,4.075996,1.890524,1.017523,-2.309723,0.01774852,-0.03298988,0.9992981,179.4957,0,0,0
0.1289673,-0.02952504,1.472323,4.076082,1.896169,1.134043,-2.369171,0.01978066,-0.03308836,0.9992567,179.4426,0,0,0
0.1489258,-0.02953506,1.472274,4.076094,1.906803,1.166989,-2.368866,0.02035511,-0.03327385,0.999239,179.3312,0,0,0
0.1689453,-0.02957892,1.472196,4.07608,1.942573,1.18486,-2.366333,0.02066635,-0.03389779,0.9992116,179.3,0,0,0
0.1889648,-0.02958667,1.472163,4.076121,1.956753,1.224347,-2.351898,0.0213548,-0.03414514,0.9991887,179.2829,0,1,1
0.2089233,-0.02966631,1.472108,4.076145,1.971576,1.249133,-2.367279,0.02178686,-0.0344037,0.9991705,179.2462,0,1,1
0.2289429,-0.02978599,1.471998,4.076026,2.068918,1.24751,-2.34848,0.02175724,-0.03610159,0.9991112,179.2239,0,1,1
0.2489624,-0.02998483,1.471789,4.075806,2.152098,1.252877,-2.292725,0.02184966,-0.03755237,0.9990557,179.2267,0,1,1
0.2689209,-0.03019536,1.471722,4.075644,2.176835,1.256149,-2.244415,0.02190636,-0.0379838,0.9990382,179.2239,0,1,1
0.2889404,-0.03032303,1.471723,4.075515,2.156736,1.217783,-2.20694,0.02123767,-0.03763325,0.9990659,179.2244,0,1,1
0.30896,-0.03046191,1.471724,4.075404,2.166138,1.208206,-2.203613,0.02107054,-0.03779724,0.9990633,179.263,0,1,1
0.3289185,-0.03057408,1.471729,4.075297,2.136583,1.185207,-2.202423,0.02066992,-0.03728177,0.999091,179.2734,0,1,1
0.348938,-0.03069258,1.47175,4.075188,2.14157,1.16326,-2.193604,0.02028714,-0.03736874,0.9990956,179.2972,0,1,1
0.3689575,-0.03100622,1.471795,4.074862,2.132132,1.116013,-2.122131,0.01946338,-0.03720414,0.9991181,179.3193,0,1,1
0.388916,-0.03110969,1.47187,4.074776,2.110913,1.108519,-2.14325,0.01933297,-0.03683404,0.9991344,179.3691,0,1,1
0.4089355,-0.03117847,1.471897,4.074643,2.105446,1.101413,-2.103638,0.01920913,-0.03673869,0.9991403,179.3769,0,1,1
0.4289551,-0.03123069,1.471919,4.074536,2.077892,1.087428,-2.067078,0.01896559,-0.03625811,0.9991625,179.3851,0,1,1
0.4489746,-0.03126156,1.472015,4.07448,2.062494,1.09023,-2.04892,0.01901464,-0.03598953,0.9991713,179.3987,0,1,1
0.4689331,-0.03131604,1.472192,4.074447,1.968165,1.10086,-2.028564,0.01920111,-0.03434421,0.9992256,179.3964,0,1,1
0.4889526,-0.03129077,1.472237,4.074497,1.969185,1.102414,-2.07019,0.01922821,-0.03436199,0.9992245,179.3877,0,1,1
0.5089722,-0.03121078,1.472222,4.074545,1.977645,1.104827,-2.026855,0.0192702,-0.03450956,0.9992186,179.3858,0,1,1
0.5289307,-0.03112328,1.472164,4.074615,2.010103,1.106898,-2.000153,0.01930592,-0.03507571,0.9991981,179.382,0,1,1
0.5489502,-0.03087401,1.472,4.074859,2.103424,1.1042,-1.914978,0.01925775,-0.03670343,0.9991406,179.3782,0,1,1
0.5689697,-0.03072524,1.471907,4.075037,2.167373,1.105729,-1.9216,0.01928361,-0.03781878,0.9990985,179.3782,0,1,1
0.5889282,-0.03053319,1.471797,4.075222,2.225593,1.093106,-1.910736,0.01906275,-0.03883415,0.9990638,179.3744,0,1,1
0.6089478,-0.03031385,1.471693,4.07541,2.278155,1.085349,-1.900513,0.01892681,-0.03975084,0.9990304,179.3839,0,1,1
0.6289673,-0.0300883,1.471584,4.075599,2.330264,1.071302,-1.925659,0.0186812,-0.04065957,0.9989984,179.3887,0,1,1
0.6489258,-0.02930582,1.471273,4.076188,2.500684,1.091561,-1.983826,0.01903204,-0.04363132,0.9988664,179.398,0,1,1
0.6689453,-0.02867806,1.471102,4.076468,2.572156,1.111905,-1.976105,0.01938564,-0.04487751,0.9988044,179.3685,0,1,1
0.6889648,-0.02837372,1.470961,4.076782,2.657753,1.139767,-2.022705,0.01986998,-0.04636991,0.9987267,179.3406,0,1,1
0.7089233,-0.02796161,1.470806,4.076984,2.740046,1.167018,-2.050446,0.02034361,-0.04780458,0.9986495,179.3102,0,1,1
0.7289429,-0.02663529,1.470426,4.077698,2.943372,1.27072,-2.085114,0.02214718,-0.05134894,0.9984352,179.2777,0,1,1
0.7489624,-0.02621782,1.470368,4.077929,3.008152,1.306226,-2.093475,0.02276456,-0.05247804,0.9983626,179.1612,0,1,1
0.7689209,-0.02576756,1.4703,4.07825,3.045842,1.359853,-2.094086,0.02369816,-0.05313494,0.9983061,179.1213,0,1,1
0.7889404,-0.02526021,1.470245,4.078446,3.087957,1.398843,-2.09314,0.02437655,-0.05386892,0.9982504,179.0643,0,1,1
0.80896,-0.02470362,1.470151,4.078771,3.116674,1.428716,-2.098267,0.02489633,-0.0543694,0.9982105,179.0202,0,1,1
0.8289185,-0.02322185,1.469918,4.079643,3.235152,1.532893,-2.074921,0.02670821,-0.05643405,0.998049,178.9839,0,1,1
0.848938,-0.02268004,1.469818,4.07995,3.254133,1.552147,-2.073914,0.02704308,-0.0567648,0.9980212,178.8643,0,1,1
0.8689575,-0.02214849,1.469834,4.080277,3.299983,1.563694,-2.076355,0.02724298,-0.05756372,0.99797,178.8384,0,1,1
0.888916,-0.02168584,1.469777,4.080651,3.336182,1.575429,-2.075287,0.02744636,-0.05819447,0.9979279,178.8203,0,1,1
0.9089355,-0.02116001,1.46973,4.080975,3.3483,1.572805,-2.057434,0.02740033,-0.05840561,0.9979168,178.8024,0,1,1
0.9289551,-0.01963687,1.469736,4.081901,3.403525,1.595381,-2.021698,0.02779194,-0.05936779,0.9978492,178.7978,0,1,1
0.9489746,-0.01916969,1.469613,4.082233,3.419388,1.587816,-1.988037,0.02765974,-0.05964416,0.9978364,178.7553,0,1,1
0.9689331,-0.01873982,1.469622,4.082565,3.437298,1.578854,-1.957642,0.02750315,-0.05995619,0.997822,178.7559,0,1,1
0.9889526,-0.01827443,1.469504,4.082838,3.445527,1.583494,-1.937256,0.02758372,-0.06009954,0.9978112,178.7586,0,1,1
1.008972,-0.01702702,1.469304,4.083779,3.474138,1.581888,-1.87912,0.02755492,-0.060598,0.9977819,178.7476,0,1,1
1.028931,-0.01665306,1.469243,4.084039,3.494829,1.566871,-1.864441,0.0272928,-0.06095845,0.9977671,178.7316,0,1,1
1.04895,-0.01627135,1.469175,4.084301,3.518156,1.56334,-1.846313,0.02723064,-0.06136482,0.9977439,178.7409,0,1,1
