time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01211548,0.1232301,1.440049,1.105989,10.93391,-5.978851,3.636829,-0.1022706,-0.1896766,0.9765058,176.329,0,0,0
0.03211212,0.1217731,1.441581,1.111646,11.32493,-5.878418,3.520398,-0.1004235,-0.1963727,0.9753732,175.1822,0,0,0
0.05211639,0.1206213,1.442767,1.116498,11.69072,-5.862213,3.462086,-0.1000179,-0.2026288,0.9741345,175.2689,0,0,0
0.07211304,0.1202372,1.443289,1.11833,11.76341,-5.963928,3.456903,-0.10172,-0.2038708,0.973699,175.2759,0,1,1
0.09211731,0.1197745,1.44426,1.120298,11.76048,-6.070526,3.405004,-0.1035327,-0.2038209,0.9735184,175.1742,0,1,1
0.112114,0.1192855,1.445122,1.123313,11.56408,-6.357849,3.303248,-0.1084898,-0.2004637,0.9736756,175.0671,0,1,1
0.1321106,0.1191618,1.446077,1.124779,11.44931,-6.474457,3.23875,-0.1105162,-0.1985009,0.9738499,174.7843,0,1,1
0.1521149,0.1191584,1.446929,1.126067,11.34293,-6.574646,3.186862,-0.1122612,-0.1966808,0.9740195,174.6702,0,1,1
0.1721115,0.1193184,1.447576,1.127831,11.35689,-6.754639,3.172308,-0.1153148,-0.1969198,0.9736145,174.573,0,1,1
0.1921158,0.1193796,1.448519,1.129422,11.38924,-6.960571,3.080384,-0.1187999,-0.1974732,0.9730832,174.3996,0,1,1
0.2121124,0.1195083,1.449444,1.130254,11.45875,-7.077576,3.049084,-0.1207574,-0.1986625,0.9726,174.2001,0,1,1
0.2321167,0.1197459,1.450119,1.130947,11.50536,-7.184204,3.039403,-0.1225467,-0.1994596,0.972213,174.0874,0,1,1
0.2521133,0.1203153,1.450538,1.132082,11.71078,-7.364502,3.032555,-0.1255129,-0.2029714,0.9711071,173.9857,0,1,1
0.2721176,0.120543,1.450528,1.132814,11.83228,-7.409363,3.026377,-0.1262174,-0.2050474,0.9705796,173.8152,0,1,1
0.2921143,0.1208308,1.450562,1.133636,11.95746,-7.430298,2.961365,-0.1265139,-0.2071855,0.9700868,173.7734,0,1,1
0.3121109,0.1213322,1.450587,1.135511,12.1216,-7.39212,2.753061,-0.1257908,-0.2099871,0.9695783,173.7554,0,1,1
0.3321152,0.1219813,1.450582,1.138283,12.15841,-7.127289,2.465898,-0.1212908,-0.2106152,0.9700153,173.7968,0,1,1
0.3521118,0.1223905,1.450318,1.139779,12.14587,-7.002686,2.511975,-0.1191866,-0.2104013,0.9703225,174.06,0,1,1
0.3721161,0.1227889,1.449725,1.141246,12.1802,-6.852081,2.479144,-0.1166209,-0.210987,0.9705071,174.1849,0,1,1
0.3921127,0.1237321,1.448987,1.144618,12.43853,-6.342773,2.31497,-0.107883,-0.215392,0.9705501,174.3347,0,1,1
0.412117,0.124714,1.447719,1.148185,12.78664,-5.820587,2.248695,-0.09889893,-0.221321,0.9701732,174.8381,0,1,1
0.4321136,0.1252586,1.44676,1.150217,13.04947,-5.5354,2.24842,-0.09396983,-0.2257922,0.9696327,175.3543,0,1,1
0.4521103,0.1258119,1.445926,1.152603,13.23316,-5.287201,2.260732,-0.08970153,-0.2289143,0.9693049,175.6362,0,1,1
0.4721146,0.1268102,1.444458,1.158086,13.55355,-4.788269,2.249746,-0.08114929,-0.2343541,0.9687585,175.8824,0,1,1
0.4921112,0.1276243,1.443536,1.161165,13.81844,-4.548035,2.287043,-0.07699989,-0.238846,0.9679998,176.3764,0,1,1
0.5121155,0.1285363,1.442709,1.164445,14.15621,-4.334717,2.388224,-0.07328772,-0.2445663,0.966859,176.6171,0,1,1
0.5321121,0.1303533,1.440855,1.171306,14.81275,-3.913269,2.56118,-0.06597812,-0.2556609,0.9645125,176.8324,0,1,1
0.5521164,0.1329217,1.438948,1.179713,15.57194,-3.655914,2.755306,-0.06142375,-0.2684481,0.9613338,177.2579,0,1,1
0.572113,0.1343387,1.438404,1.184601,15.83398,-3.565369,2.804841,-0.05982763,-0.2728508,0.9601943,177.5304,0,1,1
0.5921173,0.1356952,1.438039,1.189763,16.04255,-3.468933,2.810769,-0.05815074,-0.2763512,0.9592959,177.6308,0,1,1
0.612114,0.1371521,1.437411,1.195198,16.1692,-3.373535,2.789628,-0.05651781,-0.2784748,0.9587792,177.7364,0,1,1
0.6321106,0.142006,1.435723,1.212852,16.44025,-3.138184,2.616166,-0.05250606,-0.2830153,0.9576771,177.842,0,1,1
0.6521149,0.1437063,1.434939,1.220025,16.29987,-3.106995,2.466079,-0.05202217,-0.2806646,0.9583951,178.1137,0,1,1
0.6721115,0.145575,1.434193,1.227248,16.21164,-3.08783,2.396314,-0.051725,-0.2791862,0.9588429,178.1593,0,1,1
0.6921158,0.1475707,1.432833,1.234661,16.1526,-3.068451,2.362676,-0.05141605,-0.2781966,0.959147,178.1947,0,1,1
0.7121124,0.1520001,1.430423,1.250097,16.3202,-2.941833,2.163778,-0.04925399,-0.2810051,0.9584416,178.2313,0,1,1
0.7321167,0.1543589,1.429051,1.258229,16.41776,-2.858063,2.09897,-0.04782898,-0.2826388,0.9580333,178.3939,0,1,1
0.7521133,0.1593024,1.426293,1.274846,16.54652,-2.706085,2.057927,-0.04525752,-0.2847938,0.9575198,178.4964,0,1,1
0.7721176,0.1620055,1.425069,1.283607,16.6207,-2.614716,2.079746,-0.04371351,-0.2860346,0.9572217,178.6882,0,1,1
0.7921143,0.1675726,1.422849,1.301492,16.71156,-2.395538,1.985778,-0.04003262,-0.2875537,0.9569275,178.8011,0,1,1
0.8121109,0.1703907,1.421331,1.310467,16.61948,-2.292328,2.012916,-0.03832693,-0.2860141,0.9574586,179.0643,0,1,1
0.8321152,0.1732999,1.41974,1.319359,16.51611,-2.236755,2.10447,-0.03741864,-0.2842849,0.9580094,179.1899,0,1,1
0.8521118,0.1760516,1.418551,1.328201,16.49727,-2.186005,2.169112,-0.03657358,-0.2839697,0.9581355,179.2699,0,1,1
0.8721161,0.1836876,1.418898,1.35559,16.89326,-1.929016,2.205466,-0.03220898,-0.2905897,0.9563055,179.3439,0,1,1
0.8921127,0.1861327,1.418092,1.364106,16.92925,-1.897278,2.208296,-0.0316729,-0.2911906,0.9561406,179.6655,0,1,1
0.912117,0.1884722,1.417137,1.372872,16.84773,-1.793854,2.210687,-0.0299597,-0.2898292,0.9566094,179.7182,0,1,1
0.9321136,0.190406,1.418109,1.382264,16.62142,-1.604889,2.148636,-0.02683686,-0.2860466,0.9578398,179.8393,0,1,1
0.9521103,0.1934695,1.420292,1.401217,16.04325,-1.314636,1.968614,-0.02204925,-0.276363,0.9608003,179.9558,0,1,1
0.9721146,0.1964787,1.420842,1.418879,15.79224,-1.142487,2.087835,-0.01918641,-0.2721499,0.9620636,179.645,0,1,1
0.9921112,0.1976401,1.420945,1.42735,15.8103,-1.090698,2.265245,-0.01831514,-0.2724532,0.9619947,179.4486,0,1,1
1.012115,0.1993673,1.421992,1.444462,16.01271,-1.062958,2.492262,-0.01783148,-0.2758505,0.9610351,179.3861,0,1,1
1.032112,0.2001809,1.422675,1.453081,16.09305,-1.064606,2.567279,-0.01785155,-0.277198,0.9606469,179.3403,0,1,1
1.052116,0.2008859,1.423624,1.461812,16.19561,-1.040863,2.637178,-0.01744449,-0.2789175,0.9601566,179.3329,0,1,1
1.072113,0.2014295,1.425044,1.47079,16.24532,-1.056122,2.709999,-0.0176958,-0.2797506,0.9599096,179.3014,0,1,1
1.092117,0.2025112,1.426932,1.497686,15.99435,-1.214691,2.839021,-0.02037801,-0.2755426,0.9610729,179.3096,0,1,1
1.112114,0.2026877,1.427519,1.507116,15.72717,-1.333435,2.867975,-0.02239973,-0.2710568,0.9623027,179.4475,0,1,1
1.132111,0.2026418,1.42785,1.516445,15.57516,-1.380371,2.822619,-0.02320522,-0.2685021,0.9629995,179.5585,0,1,1
1.152115,0.2025752,1.427791,1.525716,15.51364,-1.414001,2.741632,-0.02377726,-0.2674678,0.9632734,179.6019,0,1,1
1.172112,0.2016613,1.427301,1.544616,15.53637,-1.429596,2.543197,-0.02403701,-0.26785,0.9631608,179.632,0,1,1
1.192116,0.2001587,1.42687,1.563832,15.46388,-1.47522,2.280001,-0.02481237,-0.2666309,0.9634793,179.6511,0,1,1
1.212112,0.1989504,1.426444,1.573926,15.32826,-1.46106,2.206972,-0.02459039,-0.2643486,0.9641137,179.7033,0,1,1
1.232117,0.197549,1.425817,1.584112,15.13517,-1.464142,2.190589,-0.02466512,-0.2610971,0.9649974,179.6967,0,1,1
1.252113,0.1941323,1.424186,1.60453,14.92784,-1.535004,2.279643,-0.02588351,-0.2576023,0.9659043,179.7093,0,1,1
1.272118,0.1920037,1.423428,1.61508,14.83453,-1.511078,2.237185,-0.02549128,-0.2560284,0.9663331,179.8032,0,1,1
1.292114,0.1897382,1.42259,1.625823,14.72242,-1.49649,2.221872,-0.0252582,-0.2541365,0.9668385,179.7944,0,1,1
1.312111,0.184908,1.420886,1.647483,14.48228,-1.509491,2.207216,-0.02550563,-0.2500805,0.9678891,179.7983,0,1,1
1.332115,0.1789689,1.419357,1.66989,14.25862,-1.426514,2.243477,-0.02412762,-0.2462991,0.9688935,179.8455,0,1,1
1.352112,0.1756463,1.418603,1.681251,14.18132,-1.35965,2.226329,-0.02300483,-0.2449913,0.9692523,179.8113,0,1,1
1.372116,0.1720322,1.41768,1.69271,14.09126,-1.295349,2.190249,-0.02192591,-0.2434671,0.9696613,179.7753,0,1,1
1.392113,0.1641184,1.416276,1.715858,13.85467,-1.209747,2.095376,-0.02049819,-0.23946,0.9706898,179.7413,0,1,1
1.412117,0.155414,1.414768,1.739505,13.47785,-1.170227,1.999888,-0.01986028,-0.2330694,0.9722573,179.7224,0,1,1
1.432114,0.1504896,1.413733,1.751587,13.2128,-1.188263,1.967934,-0.02018844,-0.2285684,0.9733185,179.7553,0,1,1
1.45211,0.1452529,1.413201,1.763669,12.93266,-1.222534,1.85458,-0.02079456,-0.2238058,0.9744119,179.8144,0,1,1
1.472115,0.1340941,1.416884,1.790735,13.00438,-1.123169,1.57808,-0.01909908,-0.2250255,0.9741657,179.8899,0,1,1
1.492111,0.1281093,1.420044,1.804242,11.98025,-1.160431,1.412735,-0.0198108,-0.2075745,0.9780186,179.8899,0,1,1
1.512115,0.1171044,1.418254,1.830265,11.47466,-1.446625,1.675073,-0.02474113,-0.1989346,0.9797004,179.9802,0,1,1
1.532112,0.1115321,1.420732,1.843873,11.60011,-1.692566,2.114954,-0.02893304,-0.2010799,0.9791475,179.6517,0,1,1
1.552116,0.1005484,1.426014,1.870671,11.3371,-2.404999,1.751998,-0.04114408,-0.196581,0.979624,179.3657,0,1,1
1.572113,0.09590387,1.425758,1.883053,11.51857,-2.733002,1.793762,-0.04672137,-0.1996855,0.9787455,178.5802,0,1,1
1.592117,0.0912106,1.427266,1.895504,11.73683,-2.975342,1.740444,-0.05082092,-0.2034167,0.9777724,178.2221,0,1,1
1.612114,0.08642888,1.428794,1.90831,11.74378,-3.180786,1.554524,-0.05432502,-0.2035355,0.9775593,177.9465,0,1,1
1.632111,0.07360137,1.432154,1.945599,11.50751,-3.833557,1.424253,-0.06551426,-0.1994964,0.977706,177.7058,0,1,1
1.652115,0.06999278,1.433244,1.957489,11.63613,-4.024475,1.561597,-0.06874,-0.2016956,0.9770331,176.9613,0,1,1
