time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01812744,0.01271796,1.488307,4.061912,7.550944,-1.235229,-3.10788,-0.02137045,-0.1314077,0.991098,4.907441,0,0,0
0.03811646,0.01237822,1.488391,4.062472,7.504164,-1.264404,-3.065704,-0.02187706,-0.1305982,0.991194,1.050343,0,0,0
0.05810547,0.01224494,1.488252,4.062786,7.46214,-1.290649,-3.016113,-0.02233355,-0.129871,0.9912794,1.084262,0,0,0
0.078125,0.01213765,1.488188,4.063079,7.458745,-1.297943,-2.955139,-0.02245991,-0.1298123,0.9912842,1.112411,0,0,0
0.09811401,0.01194119,1.487794,4.063457,7.564372,-1.354126,-2.918976,-0.02342635,-0.13164,0.9910207,1.121172,0,0,0
0.1181335,0.0117538,1.487678,4.063588,7.711417,-1.368805,-2.93222,-0.02367191,-0.1341836,0.9906737,1.180349,0,0,0
0.1381226,0.01171017,1.487526,4.063732,7.815184,-1.385345,-2.923218,-0.02395197,-0.1359781,0.9904222,1.197793,0,0,0
0.1581116,0.01143074,1.487276,4.064155,7.958341,-1.409332,-2.924988,-0.02435791,-0.1384531,0.9900694,1.215148,0,0,0
0.1781311,0.01122999,1.486974,4.064384,8.08966,-1.432159,-2.941406,-0.02474455,-0.1407226,0.9897398,1.24301,0,0,0
0.1981201,0.01112986,1.48685,4.064476,8.162837,-1.453857,-2.955597,-0.02511507,-0.1419869,0.9895499,1.268566,0,0,0
0.2181091,0.01102448,1.486774,4.064572,8.196392,-1.471405,-2.964508,-0.02541566,-0.1425666,0.9894589,1.291801,0,0,0
0.2381287,0.01080918,1.486635,4.064768,8.261909,-1.498566,-2.965515,-0.02588028,-0.1436983,0.9892831,1.310749,0,0,0
0.2581177,0.01058745,1.486558,4.064857,8.275321,-1.576202,-2.914581,-0.02722006,-0.14393,0.9892135,1.341297,0,0,0
0.2781067,0.01044416,1.486622,4.0649,8.268625,-1.62204,-2.910767,-0.02801207,-0.1438143,0.9892082,1.422165,0,0,0
0.2981262,0.01029134,1.486678,4.064982,8.238673,-1.674774,-2.9104,-0.02892462,-0.143297,0.989257,1.469936,0,0,0
0.3181152,0.009996653,1.486754,4.065162,8.221367,-1.753906,-2.934357,-0.03029188,-0.142998,0.9892593,1.524826,0,0,0
0.3381042,0.009848833,1.486781,4.065262,8.223112,-1.788513,-2.947174,-0.03088925,-0.1430282,0.9892365,1.608152,0,0,0
0.3581238,0.009586334,1.486844,4.065507,8.230921,-1.926575,-2.914642,-0.03327253,-0.1431631,0.9891397,1.645205,0,0,0
0.3781128,0.00946641,1.486754,4.065616,8.287696,-2.032471,-2.908752,-0.03509541,-0.1441437,0.9889342,1.786846,0,0,0
0.3981323,0.009180784,1.486605,4.065854,8.376468,-2.180298,-2.891052,-0.03763837,-0.1456767,0.988616,1.894756,0,0,0
0.4181213,0.009037971,1.486451,4.06602,8.44156,-2.26828,-2.910156,-0.03914956,-0.1468005,0.9883911,2.046601,0,0,0
0.4381104,0.008907557,1.486262,4.06619,8.53143,-2.335175,-2.892822,-0.04029424,-0.1483519,0.9881134,2.136617,0,0,0
