time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01757813,-0.09237933,1.483299,3.608148,2.728934,-5.907654,-2.480194,-0.1028086,-0.04761087,0.9935611,75.5887,0,0,0
0.03757858,-0.09232116,1.483392,3.608296,2.702702,-5.86145,-2.46637,-0.1020096,-0.04715355,0.9936652,7.112623,0,0,0
0.05757904,-0.09220624,1.483416,3.608464,2.67116,-5.812469,-2.439056,-0.101163,-0.04660365,0.9937777,7.065691,0,0,0
0.0775795,-0.09201288,1.483493,3.608749,2.638709,-5.708618,-2.404785,-0.09936377,-0.04603787,0.9939856,7.015289,0,0,0
0.09757996,-0.09176397,1.483557,3.609145,2.611678,-5.625549,-2.423676,-0.097925,-0.04556659,0.9941501,6.908988,0,1,1
0.1175804,-0.09162211,1.483542,3.609325,2.621737,-5.572357,-2.462769,-0.09700117,-0.04574198,0.9942326,6.822829,0,1,1
0.1375771,-0.09150219,1.483531,3.609504,2.621483,-5.509491,-2.483704,-0.09591026,-0.04573755,0.9943386,6.767759,0,1,1
0.1575775,-0.09137177,1.483522,3.609715,2.611248,-5.460602,-2.495514,-0.09506258,-0.0455591,0.9944282,6.703439,0,1,1
0.177578,-0.09095168,1.483492,3.61035,2.639424,-5.35257,-2.492371,-0.09318524,-0.04605035,0.9945832,6.652929,0,1,1
0.1975784,-0.09075999,1.483374,3.610536,2.688825,-5.316559,-2.496124,-0.09255613,-0.04691162,0.9946018,6.53951,0,1,1
0.2175789,-0.0905571,1.483317,3.610748,2.722716,-5.287231,-2.500702,-0.09204446,-0.04750248,0.9946212,6.501105,0,1,1
0.2375793,-0.09034562,1.483296,3.610965,2.755927,-5.261597,-2.507507,-0.09159733,-0.04808145,0.9946347,6.469084,0,1,1
0.2575798,-0.09009862,1.483256,3.611166,2.777581,-5.233917,-2.520935,-0.09111474,-0.04845894,0.9946607,6.440864,0,1,1
0.2775803,-0.08946967,1.483064,3.611899,2.86593,-5.174469,-2.556458,-0.09007576,-0.04999905,0.9946791,6.40995,0,1,1
0.2975807,-0.08910394,1.482956,3.61212,2.92416,-5.191925,-2.550049,-0.09037422,-0.05101407,0.9946005,6.342483,0,1,1
0.3175774,-0.08884621,1.482834,3.612346,2.987981,-5.199188,-2.569489,-0.09049507,-0.05212647,0.9945318,6.35533,0,1,1
0.3375778,-0.08851457,1.4828,3.612537,3.058542,-5.226257,-2.605743,-0.09095923,-0.05335627,0.9944242,6.359216,0,1,1
0.3575783,-0.08770084,1.48283,3.613623,3.123638,-5.242493,-2.716187,-0.09123556,-0.05449077,0.9943374,6.382053,0,1,1
0.3775787,-0.08740091,1.482745,3.614043,3.127973,-5.270905,-2.746643,-0.091728,-0.05456631,0.9942879,6.387918,0,1,1
0.3975792,-0.08702826,1.482674,3.614357,3.170331,-5.314575,-2.766815,-0.09248227,-0.05530448,0.9941773,6.412519,0,1,1
0.4175797,-0.08671236,1.482578,3.614722,3.210645,-5.348145,-2.808594,-0.09306116,-0.05600701,0.9940839,6.451419,0,1,1
0.4375801,-0.08639312,1.4825,3.615158,3.25461,-5.366516,-2.825287,-0.0933754,-0.05677311,0.994011,6.480986,0,1,1
0.4575806,-0.08530807,1.482382,3.616405,3.383167,-5.44458,-2.893158,-0.09471729,-0.05901309,0.9937536,6.495251,0,1,1
0.4775772,-0.08503127,1.482235,3.616936,3.40893,-5.431366,-2.94751,-0.09448577,-0.05946197,0.9937488,6.559421,0,1,1
0.4975777,-0.08464599,1.482153,3.617326,3.476506,-5.419891,-2.971313,-0.09428008,-0.06063925,0.9936972,6.542778,0,1,1
0.5175781,-0.08428788,1.481973,3.617832,3.524369,-5.409058,-2.973633,-0.09408724,-0.06147306,0.9936643,6.526363,0,1,1
0.5375786,-0.08392739,1.48188,3.618324,3.595868,-5.406891,-2.974426,-0.09404249,-0.06271853,0.9935907,6.510961,0,1,1
0.557579,-0.08274603,1.481243,3.619865,3.80431,-5.388519,-2.924622,-0.09370174,-0.06634895,0.993387,6.504181,0,1,1
0.5775795,-0.08232999,1.480975,3.62041,3.913671,-5.351868,-2.89798,-0.09305456,-0.06825334,0.9933189,6.470782,0,1,1
0.59758,-0.08189988,1.480758,3.620937,4.019566,-5.326416,-2.898071,-0.09260117,-0.07009712,0.9932328,6.428858,0,1,1
0.6175804,-0.08154345,1.480553,3.621541,4.106555,-5.299194,-2.896332,-0.09211943,-0.07161157,0.9931695,6.397887,0,1,1
0.6375771,-0.08025074,1.47987,3.623261,4.401111,-5.259186,-2.836029,-0.09139083,-0.07673836,0.9928539,6.366088,0,1,1
0.6575775,-0.0797596,1.479858,3.623741,4.548637,-5.256439,-2.802277,-0.09132497,-0.07930533,0.9926583,6.309629,0,1,1
0.677578,-0.07926106,1.479936,3.624356,4.658939,-5.271057,-2.748993,-0.09156424,-0.08122425,0.9924811,6.30058,0,1,1
0.6975784,-0.07868934,1.48,3.625054,4.743166,-5.286133,-2.693085,-0.09181421,-0.08268934,0.9923369,6.308852,0,1,1
0.7175789,-0.07804966,1.480027,3.625756,4.787185,-5.329376,-2.629761,-0.09255695,-0.08345497,0.9922038,6.316586,0,1,1
0.7375793,-0.07602191,1.480105,3.628223,4.82293,-5.44165,-2.441925,-0.09449623,-0.08407664,0.9919685,6.351627,0,1,1
0.7575798,-0.07529855,1.480074,3.629295,4.747731,-5.480743,-2.342377,-0.09518337,-0.08276874,0.9920129,6.43788,0,1,1
0.7775803,-0.07433009,1.48011,3.630435,4.689033,-5.544556,-2.247833,-0.09629617,-0.08174773,0.9919901,6.46772,0,1,1
0.7975807,-0.07334661,1.48011,3.631652,4.657187,-5.598053,-2.159821,-0.09722699,-0.08119377,0.9919448,6.519118,0,1,1
0.8175774,-0.07012868,1.480066,3.63568,4.57794,-5.722931,-1.918488,-0.09939974,-0.07981513,0.9918413,6.560049,0,1,1
0.8375778,-0.06871867,1.479863,3.637276,4.550697,-5.795074,-1.808777,-0.1006526,-0.07934117,0.991753,6.643519,0,1,1
0.8575783,-0.06733704,1.479634,3.638956,4.611652,-5.872955,-1.70105,-0.1019916,-0.08040163,0.9915308,6.697439,0,1,1
0.8775787,-0.0658288,1.479515,3.640661,4.698362,-5.973145,-1.595825,-0.1037126,-0.08191002,0.9912288,6.757551,0,1,1
0.8975792,-0.06423473,1.479333,3.642611,4.791059,-6.051331,-1.475555,-0.1050511,-0.08352233,0.9909532,6.838277,0,1,1
0.9175797,-0.05922675,1.478611,3.649177,4.884345,-6.30423,-1.252625,-0.109409,-0.08514468,0.9903434,6.895916,0,1,1
0.9375801,-0.05734873,1.478105,3.651707,4.913565,-6.419983,-1.2146,-0.1114046,-0.08565281,0.9900771,7.084102,0,1,1
0.9575806,-0.05546165,1.477456,3.654336,4.962132,-6.522766,-1.194519,-0.1131721,-0.08649732,0.9898031,7.17559,0,1,1
0.9775772,-0.05348098,1.476609,3.657025,5.053186,-6.639618,-1.184631,-0.1151748,-0.08808044,0.9894325,7.253904,0,1,1
0.9975777,-0.04956698,1.474103,3.66263,5.199556,-6.857574,-1.164856,-0.1189106,-0.09062486,0.9887605,7.345184,0,1,1
1.017578,-0.0456183,1.47146,3.668697,5.287754,-7.096741,-1.146027,-0.1230194,-0.09215777,0.988116,7.512381,0,1,1
1.037579,-0.04386866,1.4709,3.672391,5.32206,-7.220947,-1.187439,-0.1251543,-0.09275395,0.987792,7.700132,0,1,1
1.057579,-0.04227757,1.47094,3.676461,5.330383,-7.356842,-1.292175,-0.1274951,-0.09289859,0.987479,7.801699,0,1,1
1.077579,-0.04069948,1.471121,3.680466,5.319724,-7.4953,-1.474609,-0.1298833,-0.09271335,0.9871852,7.917081,0,1,1
1.09758,-0.03616548,1.467513,3.691685,5.569097,-7.831512,-1.663757,-0.1356174,-0.09704611,0.985997,8.035168,0,1,1
1.11758,-0.03499889,1.46603,3.695467,5.900128,-7.989685,-1.640381,-0.1382583,-0.1027948,0.9850472,8.312479,0,1,1
1.137577,-0.03408408,1.466087,3.699556,6.30735,-8.175415,-1.734375,-0.1413436,-0.1098618,0.9838457,8.455518,0,1,1
1.157578,-0.03308702,1.466135,3.703767,6.624027,-8.408813,-1.843506,-0.1452591,-0.1153537,0.982646,8.629534,0,1,1
1.177578,-0.03162563,1.465225,3.712525,7.187115,-8.821777,-1.936829,-0.1521567,-0.1251101,0.9804059,8.850085,0,1,1
1.197578,-0.03048444,1.464988,3.721938,7.503216,-9.223724,-2.044281,-0.1589176,-0.1305819,0.9786182,9.244416,0,1,1
1.217579,-0.03011513,1.464455,3.726986,7.403168,-9.462769,-2.064362,-0.1630362,-0.1288504,0.9781701,9.632026,0,1,1
1.237579,-0.02975774,1.463548,3.732336,7.184629,-9.717224,-2.013855,-0.1674604,-0.1250671,0.9779137,9.866573,0,1,1
1.25758,-0.02944756,1.462202,3.743571,6.857014,-10.15942,-2.108582,-0.1751261,-0.119392,0.9772801,10.11672,0,1,1
1.27758,-0.02956557,1.461416,3.749229,6.826551,-10.32843,-2.266998,-0.1780194,-0.1188641,0.9768216,10.55581,0,1,1
1.297581,-0.02982736,1.459474,3.76073,6.817326,-10.69305,-2.447571,-0.1842357,-0.1187042,0.9756877,10.72693,0,1,1
1.317577,-0.03017616,1.458333,3.766924,6.860456,-10.88171,-2.509369,-0.1874305,-0.1194516,0.9749877,11.09617,0,1,1
1.337578,-0.03068137,1.457309,3.773439,6.846693,-11.01843,-2.555908,-0.1897619,-0.1192131,0.9745659,11.29015,0,1,1
1.357578,-0.03236115,1.455226,3.786506,6.753818,-11.14529,-2.805237,-0.1919564,-0.1176036,0.9743317,11.43437,0,1,1
1.377579,-0.03368771,1.454135,3.793152,6.760388,-11.19571,-2.863281,-0.1928108,-0.1177174,0.9741492,11.58533,0,1,1
1.397579,-0.03625405,1.452047,3.806648,6.721299,-11.36938,-2.955597,-0.1957787,-0.1170399,0.9736387,11.6545,0,1,1
1.41758,-0.03806329,1.451221,3.813556,6.633731,-11.39566,-3.012604,-0.1962605,-0.1155219,0.973723,11.86473,0,1,1
1.43758,-0.04168272,1.449398,3.827517,6.58103,-11.35345,-3.056488,-0.1955635,-0.1146083,0.9739712,11.91661,0,1,1
1.457581,-0.04393053,1.448786,3.834709,6.535965,-11.21567,-3.06369,-0.1932383,-0.1138269,0.9745268,11.9258,0,1,1
1.477577,-0.04825139,1.447402,3.848914,6.396195,-11.03516,-3.192139,-0.1902199,-0.1114029,0.9754003,11.81993,0,1,1
1.497578,-0.05070436,1.446434,3.855752,6.316047,-10.80325,-3.232666,-0.1862994,-0.1100127,0.9763144,11.7011,0,1,1
1.517578,-0.05333829,1.446243,3.862735,6.346378,-10.50043,-3.360138,-0.1811263,-0.1105388,0.9772279,11.50424,0,1,1
1.537579,-0.05888152,1.452145,3.878201,6.28498,-9.739899,-3.922485,-0.1681588,-0.1094737,0.9796622,11.23906,0,1,1
1.557579,-0.06198907,1.452141,3.885392,6.27447,-9.310913,-4.12677,-0.1608227,-0.1092914,0.9809136,10.55831,0,1,1
