time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01986694,-0.03964496,1.480431,3.847985,3.848391,-3.792297,1.609326,-0.06599079,-0.0671166,0.9955604,67.41615,0,0,0
0.0398674,-0.03962302,1.480423,3.847816,3.866913,-3.779694,1.601588,-0.06576995,-0.06743912,0.9955533,4.339418,0,0,0
0.05986786,-0.03960276,1.48042,3.847654,3.861806,-3.769958,1.588738,-0.06560139,-0.0673502,0.9955704,4.326354,0,0,0
0.07986832,-0.03957438,1.480477,3.847433,3.822015,-3.728668,1.605016,-0.06488723,-0.06665728,0.9956638,4.316292,0,0,0
0.09986496,-0.0395565,1.480496,3.847313,3.816853,-3.715118,1.607857,-0.06465193,-0.06656738,0.9956852,4.274664,0,0,0
0.1198654,-0.03953457,1.480506,3.847191,3.812159,-3.7034,1.607934,-0.06444883,-0.06648565,0.9957038,4.260897,0,0,0
0.1398659,-0.03948379,1.480527,3.846936,3.806991,-3.687225,1.599002,-0.06416776,-0.06639565,0.995728,4.248791,0,0,0
0.1598663,-0.03945303,1.480542,3.846713,3.822837,-3.638275,1.558042,-0.0633162,-0.06667159,0.995764,4.231886,0,0,0
0.1798668,-0.03942537,1.480582,3.846619,3.837365,-3.615112,1.548578,-0.06291262,-0.06692459,0.9957726,4.18259,0,0,0
0.1998672,-0.03939104,1.480612,3.846543,3.81846,-3.573303,1.565547,-0.06218699,-0.06659538,0.9958403,4.159018,0,0,0
0.2198677,-0.03931642,1.480644,3.846377,3.795343,-3.508789,1.544202,-0.06106754,-0.0661928,0.9959364,4.116706,0,0,0
0.2398682,-0.03930783,1.480702,3.846309,3.772192,-3.447815,1.516541,-0.06000888,-0.06578963,0.9960274,4.051058,0,0,0
0.2598686,-0.03925943,1.480794,3.846194,3.729212,-3.358795,1.520511,-0.05846454,-0.06504108,0.9961684,3.990027,0,0,0
0.2798653,-0.03922749,1.480843,3.846147,3.712178,-3.310791,1.529663,-0.05763062,-0.06474441,0.9962363,3.900334,0,0,0
0.2998657,-0.03919077,1.480912,3.846039,3.666773,-3.257477,1.535011,-0.0567069,-0.06395359,0.9963405,3.851784,0,0,0
