time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01116943,0.9617186,1.439786,4.541997,20.32553,19.18323,-1.440582,0.3081303,-0.3473536,0.8856643,127.5042,0,0,0
0.03118896,0.9579222,1.439329,4.535944,20.05125,18.52601,-1.449677,0.2984761,-0.3428606,0.8907068,146.9095,0,0,0
0.0512085,0.9509563,1.438679,4.52324,19.74606,17.26775,-1.3367,0.2793832,-0.3378521,0.8987775,147.6203,0,0,0
0.07116699,0.9479542,1.438303,4.517258,19.65028,16.63696,-1.218414,0.2696327,-0.3362781,0.9023387,148.9773,0,0,0
0.09118652,0.945078,1.437754,4.511482,19.60697,15.97873,-1.067383,0.2593188,-0.3355662,0.9056209,149.6478,0,0,0
0.1112061,0.9374596,1.438292,4.495463,19.96985,14.10787,-0.6148987,0.2290922,-0.3415256,0.9115245,150.3411,0,0,0
0.1311646,0.9352276,1.438697,4.49099,20.41832,13.58892,-0.3000488,0.2201921,-0.3488716,0.9109358,152.2965,0,0,0
0.1511841,0.9329659,1.438632,4.486354,20.57952,13.06375,-0.2510986,0.2116106,-0.3515069,0.911956,152.8375,0,0,0
0.1712036,0.9308102,1.438207,4.481852,20.5991,12.54625,-0.2259827,0.2033391,-0.3518269,0.9137127,153.3878,0,0,0
0.1912231,0.9284896,1.437901,4.477432,20.60929,12.08152,-0.2593384,0.1959083,-0.3519934,0.9152707,153.9298,0,0,0
0.2111816,0.9213484,1.439752,4.465427,20.8947,10.82964,-0.0852356,0.1755334,-0.3566516,0.9175988,154.4233,1,1,1
0.2312012,0.9184991,1.440026,4.461048,21.24089,10.59916,-0.2429504,0.1714413,-0.3622898,0.9161626,155.7635,1,1,1
0.2512207,0.9156536,1.440039,4.4564,21.52525,10.3913,-0.39505,0.1677901,-0.3669112,0.9149987,156.0378,1,1,1
0.2711792,0.9127055,1.440525,4.451898,21.83757,10.11653,-0.4692383,0.1630464,-0.3719766,0.9138103,156.2917,1,1,1
0.2911987,0.90656,1.441384,4.443449,22.51519,9.542099,-0.5556641,0.1531368,-0.3829284,0.9109967,156.6103,1,1,1
0.3112183,0.9001539,1.441987,4.435414,23.13798,8.855338,-0.3247375,0.1415575,-0.3929467,0.9086002,157.2722,1,1,1
0.3311768,0.8970174,1.44189,4.431794,23.14192,8.422597,-0.09387207,0.1346871,-0.39301,0.9096167,158.0439,1,1,1
0.3511963,0.8936962,1.442291,4.428148,23.11788,8.020739,0.05975216,0.128327,-0.3926241,0.9107022,158.5151,1,1,1
0.3712158,0.8869493,1.443315,4.421257,23.26093,7.296421,0.3270026,0.1166793,-0.394919,0.9112765,158.9596,1,1,1
0.3911743,0.8835499,1.444081,4.417724,23.3688,7.067725,0.356215,0.1129494,-0.396648,0.9109955,159.7713,1,1,1
0.4111938,0.8769044,1.445918,4.411369,22.93935,6.59664,0.570831,0.1057941,-0.3897565,0.914821,160.0499,1,1,1
0.4312134,0.8734595,1.447159,4.408389,22.54087,6.436858,0.6241912,0.1035438,-0.3833424,0.9177839,160.6198,1,1,1
0.4511719,0.8664838,1.449353,4.402161,21.8216,6.225858,0.8301275,0.1006773,-0.3717179,0.9228705,160.8345,1,1,1
0.4711914,0.863457,1.451071,4.399055,21.37971,6.275066,0.9703021,0.1017802,-0.364547,0.9256059,161.1614,1,1,1
0.4912109,0.8603404,1.45253,4.396164,20.90609,6.346348,1.055887,0.1032612,-0.3568373,0.9284419,161.1708,1,1,1
0.5111694,0.8535056,1.454494,4.390994,19.82116,6.459253,0.9159915,0.1058318,-0.3390854,0.9347838,161.1598,1,1,1
0.531189,0.8499451,1.45625,4.388383,19.27528,6.490836,0.6529274,0.1067074,-0.3301072,0.9378927,161.1732,1,1,1
0.5512085,0.8430164,1.458281,4.383243,18.22881,6.574,0.3875009,0.1087409,-0.3128125,0.9435697,161.2056,1,1,1
0.571167,0.8397992,1.458383,4.380607,17.7643,6.670012,0.1990503,0.1106128,-0.305102,0.945874,161.2476,1,1,1
0.5911865,0.8362435,1.458789,4.378119,17.48936,6.761727,-0.1174622,0.1122978,-0.3005286,0.9471387,161.2128,1,1,1
0.6112061,0.8290465,1.459631,4.373757,16.92793,6.73009,-0.8366089,0.1121146,-0.2911685,0.9500796,161.1855,1,1,1
0.6311646,0.8218551,1.46005,4.369937,16.26031,6.745181,-1.246887,0.1127556,-0.2800018,0.9533547,161.3352,1,1,1
0.6511841,0.8182727,1.459776,4.367804,16.03912,6.784719,-1.44339,0.1135404,-0.2762935,0.954343,161.4388,1,1,1
0.6712036,0.8148038,1.459677,4.365653,15.88863,6.730586,-1.670593,0.1127233,-0.2737684,0.9551672,161.46,1,1,1
0.6912231,0.8114033,1.461429,4.364361,15.94749,6.643657,-1.744873,0.1112414,-0.2747563,0.9550572,161.5685,1,1,1
0.7111816,0.8043703,1.463168,4.362314,16.16465,6.699617,-1.77243,0.1120519,-0.2783985,0.9539071,161.7038,1,1,1
0.7312012,0.7978711,1.464335,4.359134,15.6882,6.88457,-2.059692,0.115404,-0.2704022,0.9558057,161.7565,1,1,1
0.7512207,0.7946633,1.465897,4.359141,15.13541,6.84825,-1.60434,0.1151039,-0.2611012,0.9584244,161.685,1,1,1
0.7711792,0.7913674,1.467226,4.357451,14.8325,6.694304,-1.445984,0.1126876,-0.2559941,0.9600878,161.768,1,1,1
0.7911987,0.7882215,1.467867,4.355864,14.57201,6.631654,-1.397217,0.111771,-0.2515965,0.9613566,161.9682,1,1,1
0.8112183,0.7789229,1.469913,4.351472,13.65492,6.371584,-1.390594,0.1078393,-0.2360736,0.9657328,162.0787,1,1,1
0.8311768,0.7762549,1.470771,4.350291,13.34976,6.27784,-1.446747,0.1063951,-0.2308949,0.9671441,162.476,1,1,1
0.8511963,0.7736263,1.471511,4.349177,13.04517,6.25287,-1.455872,0.1061058,-0.2257192,0.9683968,162.608,1,1,1
0.8712158,0.7708606,1.472063,4.348014,12.73899,6.240255,-1.550049,0.1060222,-0.2205101,0.9696054,162.6738,1,1,1
0.8911743,0.7653791,1.473418,4.345762,12.21185,6.14092,-1.86499,0.1045536,-0.2115269,0.9717638,162.7298,1,1,1
0.9111938,0.7603049,1.474931,4.344034,11.65067,5.980357,-2.228729,0.1020409,-0.2019441,0.9740669,162.911,1,1,1
0.9312134,0.7580361,1.475673,4.343153,11.42099,5.91137,-2.378815,0.1009506,-0.1980164,0.9749864,163.1432,1,1,1
0.9511719,0.7558482,1.476246,4.342304,11.19197,5.902473,-2.421661,0.1008798,-0.1940968,0.9757816,163.2446,1,1,1
0.9711914,0.7536033,1.476874,4.341631,10.93801,5.853084,-2.344604,0.1001254,-0.1897469,0.9767144,163.2874,1,1,1
0.9912109,0.7489899,1.478079,4.340264,10.4398,5.582555,-2.298645,0.09566951,-0.1812023,0.9787814,163.3692,1,1,1
1.011169,0.7440509,1.47903,4.339145,10.14718,5.092725,-2.114655,0.08737936,-0.1761773,0.9804726,163.698,1,1,1
1.031189,0.7413331,1.479629,4.338873,9.938074,4.610494,-2.050964,0.07917535,-0.1725837,0.9818076,164.2389,1,1,1
1.051208,0.7386667,1.479954,4.338497,9.723868,3.990833,-2.057739,0.06859699,-0.1689,0.9832432,164.738,1,1,1
1.071167,0.733182,1.480567,4.337739,9.41255,2.906912,-1.981537,0.05003065,-0.163542,0.9852669,165.3673,1,1,1
1.091187,0.7302261,1.48086,4.337472,9.310802,2.029829,-1.808075,0.03495314,-0.1617899,0.986206,166.4798,1,1,1
1.111206,0.7236536,1.481508,4.337218,9.058547,-0.01184082,-1.731415,-0.0002042409,-0.1574436,0.987528,167.3572,1,1,1
1.131165,0.7203492,1.481875,4.337057,8.940236,-1.227081,-1.57074,-0.0211549,-0.1554041,0.9876244,169.3937,1,1,1
1.151184,0.7136418,1.482576,4.336776,8.643123,-3.461365,-1.279175,-0.05968963,-0.1502795,0.98684,170.5968,1,1,1
1.171204,0.7099947,1.482755,4.336658,8.502346,-4.815063,-1.136505,-0.08301742,-0.1478499,0.9855194,172.817,1,1,1
1.191223,0.7026868,1.483831,4.33635,8.127503,-7.86319,-0.5809326,-0.1354338,-0.1413765,0.9806479,174.1557,1,1,1
