time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.007713318,-0.007209539,1.462161,3.874307,7.595546,7.1316,-2.080383,0.1230595,-0.1321793,0.9835573,3.438377,0,0,0
0.02771378,-0.007151365,1.461892,3.874577,7.670608,7.091178,-2.113647,0.122344,-0.1334778,0.9834712,7.031432,0,0,0
0.04771423,-0.007091284,1.461736,3.874803,7.771194,7.056826,-2.145966,0.1217254,-0.1352174,0.9833103,6.991874,0,0,0
0.06771469,-0.006941795,1.461502,3.875179,7.950404,6.936228,-2.203522,0.1196038,-0.1383159,0.9831397,6.958352,0,0,0
0.08771515,-0.006880283,1.461289,3.875363,8.014972,6.871212,-2.203125,0.1184694,-0.1394319,0.9831194,6.839797,0,1,1
0.1077156,-0.006695986,1.461021,3.8758,8.166599,6.74052,-2.207703,0.1161828,-0.1420519,0.9830172,6.775666,0,1,1
0.1277161,-0.006599665,1.460932,3.875841,8.207909,6.656892,-2.211121,0.114736,-0.1427656,0.9830837,6.647502,0,1,1
0.1477127,-0.006437302,1.460794,3.875805,8.271682,6.503115,-2.23111,0.112079,-0.1438671,0.9832296,6.565218,0,1,1
0.1677132,-0.006376505,1.460778,3.875744,8.254567,6.438936,-2.279999,0.1109824,-0.1435715,0.9833972,6.413743,0,1,1
0.1877136,-0.0062356,1.460742,3.875717,8.256362,6.327825,-2.343964,0.1090747,-0.1436025,0.9836062,6.35033,0,1,1
0.2077141,-0.006153345,1.460798,3.875627,8.223388,6.287788,-2.372559,0.1083964,-0.1430329,0.9837641,6.241176,0,1,1
0.2277145,-0.006011724,1.460901,3.875377,8.219689,6.209046,-2.374268,0.1070453,-0.1429691,0.9839213,6.202322,0,1,1
0.247715,-0.00586462,1.460938,3.875104,8.202401,6.126527,-2.371216,0.1056327,-0.1426704,0.9841173,6.125544,0,1,1
0.2677155,-0.005836725,1.460957,3.874963,8.202943,6.104444,-2.380402,0.1052532,-0.1426798,0.9841566,6.045103,0,1,1
