time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.007240295,-4.80786E-05,1.487776,4.225796,3.475965,-2.723602,1.441599,-0.04743064,-0.06062983,0.9970328,152.7977,0,0,0
0.02723694,-8.921325E-05,1.487771,4.225787,3.488157,-2.710052,1.438345,-0.0471939,-0.06084222,0.9970311,177.4125,0,0,0
0.04723358,-0.00010515,1.487738,4.225774,3.508959,-2.698547,1.434588,-0.04699285,-0.06120462,0.9970184,177.4247,0,0,0
0.06723785,-9.875745E-05,1.487665,4.225767,3.546988,-2.655029,1.438856,-0.04623355,-0.06186709,0.997013,177.4355,0,0,0
0.0872345,-0.0001133904,1.487611,4.225778,3.571533,-2.618164,1.455301,-0.04559086,-0.06229465,0.997016,177.4769,0,0,0
0.1072388,-0.0001077726,1.487584,4.225802,3.573437,-2.614655,1.456981,-0.04552983,-0.06232781,0.9970167,177.5117,0,0,0
0.1272354,-0.0001009256,1.487558,4.225822,3.576293,-2.590698,1.466714,-0.04511258,-0.06237756,0.9970325,177.515,0,0,0
0.1472397,-7.425994E-05,1.487514,4.225874,3.594724,-2.561432,1.467312,-0.04460243,-0.06269861,0.9970354,177.538,0,0,0
0.1672363,-4.637241E-05,1.487496,4.225904,3.609327,-2.547913,1.460729,-0.04436665,-0.06295298,0.9970298,177.5661,0,0,0
0.187233,1.423061E-06,1.487445,4.225928,3.633868,-2.525085,1.464181,-0.04396806,-0.06338046,0.9970204,177.5793,0,0,0
0.2072372,5.014241E-05,1.487442,4.225931,3.654351,-2.515594,1.446151,-0.04380221,-0.06373723,0.997005,177.6017,0,0,0
0.2272339,0.0001637489,1.48746,4.226022,3.623771,-2.467377,1.438707,-0.04296455,-0.06320459,0.9970753,177.6115,0,0,0
0.2472382,0.0002222657,1.487507,4.226041,3.62952,-2.447174,1.403174,-0.04261266,-0.06330471,0.9970841,177.6589,0,1,1
0.2672348,0.0003258511,1.48752,4.226062,3.617206,-2.40863,1.376514,-0.04194251,-0.06309023,0.9971261,177.679,0,1,1
0.2872391,0.0004334599,1.487556,4.226056,3.614526,-2.399261,1.374644,-0.04177952,-0.06304353,0.9971359,177.717,0,1,1
0.3072357,0.0005271435,1.487595,4.226046,3.620455,-2.379547,1.363223,-0.04143634,-0.06314681,0.9971437,177.7275,0,1,1
0.32724,0.0007302389,1.487593,4.226038,3.579526,-2.352325,1.329112,-0.04096432,-0.06243388,0.9972081,177.7475,0,1,1
0.3472366,0.0009420961,1.487645,4.226044,3.547817,-2.325867,1.30583,-0.04050487,-0.06188153,0.9972613,177.7764,0,1,1
0.3672333,0.001087315,1.48766,4.226034,3.551798,-2.292786,1.284874,-0.03992925,-0.06195087,0.9972802,177.8046,0,1,1
0.3872375,0.001240619,1.487664,4.226035,3.56421,-2.268372,1.259683,-0.03950383,-0.06216709,0.9972836,177.8381,0,1,1
0.4072342,0.001401335,1.487706,4.226058,3.569231,-2.241486,1.229029,-0.03903536,-0.06225454,0.9972966,177.8635,0,1,1
0.4272385,0.001774497,1.487875,4.226152,3.600231,-2.230927,1.231285,-0.0388501,-0.06279454,0.99727,177.8914,0,1,1
0.4472351,0.002103768,1.488073,4.226328,3.587308,-2.212677,1.203546,-0.03853323,-0.06256945,0.9972965,177.9067,0,1,1
0.4672394,0.002306953,1.488178,4.226546,3.564521,-2.199463,1.206311,-0.03830425,-0.0621725,0.9973301,177.9289,0,1,1
0.487236,0.002535023,1.488255,4.22682,3.536545,-2.207825,1.220374,-0.03845083,-0.06168516,0.9973547,177.9442,0,1,1
0.5072403,0.003038302,1.488246,4.227381,3.565815,-2.231018,1.231276,-0.03885321,-0.06219506,0.9973075,177.9397,0,1,1
0.5272369,0.003471985,1.488078,4.227861,3.614324,-2.237793,1.259876,-0.03896928,-0.06304002,0.9972499,177.9248,0,1,1
0.5472336,0.004048742,1.488112,4.228655,3.692275,-2.284363,1.283213,-0.03977614,-0.06439776,0.9971313,177.9247,0,1,1
0.5672379,0.004434139,1.488173,4.229345,3.701875,-2.311523,1.322388,-0.04024852,-0.06456497,0.9971015,177.8889,0,1,1
0.5872345,0.004832178,1.48803,4.230004,3.708746,-2.342804,1.349787,-0.04079261,-0.06468464,0.9970716,177.8686,0,1,1
0.6072388,0.005810037,1.487866,4.231298,3.849361,-2.431305,1.313021,-0.04232609,-0.06713349,0.9968458,177.8448,0,1,1
0.6272354,0.006893039,1.487623,4.23283,3.998815,-2.516602,1.332871,-0.04380177,-0.06973583,0.9966034,177.7748,0,1,1
0.6472397,0.007573582,1.48757,4.233756,4.121955,-2.573639,1.372182,-0.04478738,-0.07187965,0.9964073,177.7094,0,1,1
0.6672363,0.008276477,1.487335,4.234694,4.218105,-2.616669,1.409545,-0.04552973,-0.07355334,0.9962515,177.6651,0,1,1
0.687233,0.009806134,1.486991,4.236938,4.391446,-2.708099,1.439388,-0.04710889,-0.07657018,0.9959507,177.6345,0,1,1
0.7072372,0.01073001,1.486759,4.238277,4.424298,-2.766357,1.444195,-0.04811929,-0.07714185,0.9958583,177.5699,0,1,1
0.7272339,0.01247577,1.486333,4.240808,4.570995,-2.855591,1.474812,-0.04966046,-0.07969431,0.9955816,177.528,0,1,1
0.7472382,0.01354966,1.486089,4.242244,4.654633,-2.905029,1.48828,-0.05051339,-0.08114934,0.9954211,177.4687,0,1,1
0.7672348,0.01457851,1.485952,4.243801,4.744174,-2.960388,1.483336,-0.05146837,-0.08270688,0.995244,177.4375,0,1,1
0.7872391,0.01688817,1.485485,4.246949,4.897779,-3.079498,1.468537,-0.05352558,-0.08537829,0.9949098,177.3999,0,1,1
0.8072357,0.01802549,1.485256,4.248856,4.921677,-3.117096,1.478077,-0.05417609,-0.08579388,0.9948388,177.3205,0,1,1
0.82724,0.02039401,1.484584,4.252613,4.974649,-3.216827,1.496068,-0.05590318,-0.08671496,0.9946634,177.3015,0,1,1
0.8472366,0.02153545,1.484025,4.254745,4.97063,-3.249847,1.475465,-0.05647703,-0.08664507,0.9946371,177.2415,0,1,1
0.8672333,0.02385467,1.481894,4.259201,4.90239,-3.340149,1.438609,-0.05805034,-0.08545849,0.9946492,177.2271,0,1,1
0.8872375,0.02492271,1.480288,4.261636,4.861017,-3.400391,1.420122,-0.0590998,-0.084739,0.9946489,177.1756,0,1,1
0.9072342,0.02687491,1.477461,4.266713,4.823058,-3.534882,1.346594,-0.0614378,-0.08407886,0.9945633,177.1343,0,1,1
0.9272385,0.02751527,1.476818,4.269919,4.826667,-3.602478,1.267446,-0.06261084,-0.08414161,0.9944848,177.0358,0,1,1
0.9472351,0.02802211,1.477219,4.273535,4.80567,-3.707428,1.144437,-0.06443445,-0.08377645,0.9943992,176.9814,0,1,1
0.9672394,0.02878474,1.475943,4.280604,4.836759,-3.938721,0.913727,-0.06844494,-0.08431714,0.9940855,176.8897,0,1,1
0.987236,0.02894334,1.4751,4.284119,5.059174,-4.075867,0.8638877,-0.07080049,-0.08818455,0.9935848,176.6824,0,1,1
1.007233,0.02890805,1.474731,4.291661,5.419593,-4.266296,0.7077823,-0.0740596,-0.09444876,0.9927711,176.555,0,1,1
1.027237,0.02868239,1.474858,4.295798,5.63791,-4.380676,0.5963067,-0.0760134,-0.09824137,0.9922553,176.3749,0,1,1
1.047234,0.02835052,1.474428,4.299962,5.924802,-4.488464,0.5833694,-0.07784025,-0.1032231,0.9916077,176.2636,0,1,1
1.067238,0.02725004,1.474116,4.308985,6.315548,-4.740204,0.7188621,-0.08213618,-0.110004,0.9905316,176.157,0,1,1
1.087234,0.026529,1.473791,4.314085,6.21178,-4.889526,0.778817,-0.08473422,-0.1082037,0.990511,175.9032,0,1,1
1.107239,0.02500711,1.473035,4.324327,6.056701,-5.148102,0.88592,-0.08922943,-0.1055126,0.9904066,175.7518,0,1,1
1.127235,0.02395688,1.472506,4.330233,5.703108,-5.302673,0.9477267,-0.09195941,-0.09937373,0.9907918,175.4857,0,1,1
1.14724,0.02159896,1.470976,4.342399,5.153133,-5.592438,0.9173178,-0.09705754,-0.08981793,0.9912177,175.3246,0,1,1
1.167236,0.02024438,1.470069,4.348851,4.997869,-5.716888,0.8725544,-0.09923418,-0.08711869,0.9912431,175.0169,0,1,1
1.187233,0.01740499,1.468096,4.361809,4.764417,-5.956177,0.7872747,-0.1034091,-0.08305896,0.9911649,174.8799,0,1,1
1.207237,0.01561455,1.466971,4.368808,4.776764,-6.039917,0.6958306,-0.1048556,-0.08327372,0.9909949,174.6126,0,1,1
1.227234,0.01377737,1.465799,4.375996,4.775997,-6.10318,0.5825489,-0.1059499,-0.08326036,0.9908796,174.5075,0,1,1
1.247238,0.009584256,1.463336,4.390799,4.771465,-6.137451,0.4063694,-0.1065433,-0.08318155,0.9908226,174.421,0,1,1
1.267235,0.007149659,1.462444,4.398415,4.838094,-6.091553,0.346328,-0.1057395,-0.08434036,0.9908107,174.3274,0,1,1
1.287239,0.002259962,1.460802,4.414002,4.835765,-6.033173,0.2789888,-0.1047299,-0.08429985,0.9909214,174.3351,0,1,1
1.307236,-0.0004997626,1.459981,4.422301,4.779754,-5.903442,0.3000154,-0.1024946,-0.08332571,0.9912375,174.3183,0,1,1
1.32724,-0.006334066,1.458654,4.438918,4.627592,-5.495605,0.3800653,-0.09545729,-0.08067892,0.9921587,174.4,0,1,1
1.347237,-0.009406306,1.45808,4.447355,4.549061,-5.198395,0.3868158,-0.09031916,-0.0793127,0.9927497,174.6988,0,1,1
1.367233,-0.01576451,1.45717,4.46428,4.449774,-4.677826,0.4321167,-0.08130714,-0.07758516,0.9936648,174.9338,0,1,1
