time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  23.640020,   7.328868,   0.040746,37,   0.002023,   3.474359,   1.259966,0,6,119
  18.259950,   7.282161,   0.033868,31,   0.002441,   3.938497,   1.416910,0,9,196
  16.420000,   7.272085,   0.042781,27,   0.002669,   4.109495,   1.399265,0,10,251
  15.020000,   7.234081,   0.042264,29,   0.002718,   4.630631,   1.655285,0,10,322
  14.680000,   7.204067,   0.047096,23,   0.002608,   4.681924,   1.656837,0,9,280
  14.260000,   7.209764,   0.045671,25,   0.002679,   3.820938,   1.591578,0,8,181
  14.780000,   7.182478,   0.054451,25,   0.002484,   2.975067,   1.546902,0,5,78
  13.180000,   7.237833,   0.043282,21,   0.003158,   4.577503,   2.120509,0,8,282
  14.160000,   7.199828,   0.041667,22,   0.002616,   3.989425,   1.510596,0,8,180
  13.560000,   7.223911,   0.057204,22,   0.002878,   4.558749,   1.834926,0,8,284
