time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  30.040000,   9.575357,   0.142763,48,   0.003522, 175.886941,   2.739595,8,0,1501
  24.300000,   9.170007,   0.197702,40,   0.004805, 175.890514,   1.977389,7,0,1214
  19.520000,   8.983827,   0.199923,33,   0.006157, 174.364993,   3.625481,5,0,975
  15.660000,   8.253422,   0.236859,27,   0.004713, 174.721503,   2.085941,1,0,782
  15.960000,   7.822146,   0.129653,30,   0.004701, 177.569953,   1.456621,2,0,797
  17.880000,   8.409378,   0.184457,32,   0.005646, 175.119839,   3.569357,3,0,893
  10.600000,   7.226151,   0.139874,27,   0.003781, 175.726075,   2.117391,2,0,529
  22.560000,   9.980983,   0.235280,42,   0.006059, 173.334028,   7.215989,7,0,1127
  22.880000,  10.282710,   0.205714,48,   0.006325, 173.208786,   5.478758,6,0,1143
  18.700000,   8.887251,   0.227683,39,   0.005582, 174.499640,   5.381393,3,0,934
