time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  11.440001,   7.134507,   0.043442,18,   0.002588,   6.388433,   2.246789,0,7,7
  11.419980,   7.128485,   0.035061,23,   0.002720,   5.774609,   1.760852,0,9,9
  10.680000,   7.104200,   0.040665,19,   0.002524,   5.162035,   2.387103,0,8,8
  10.440000,   7.118613,   0.030718,23,   0.002843,   4.242695,   2.177573,0,8,8
   9.879980,   7.096895,   0.032389,23,   0.002730,   4.787705,   2.341685,0,7,7
  10.340000,   7.099768,   0.031902,22,   0.002576,   5.417575,   2.204822,0,6,6
  10.080000,   7.069681,   0.038028,24,   0.002292,   5.697575,   2.197597,0,7,7
   9.400000,   7.077222,   0.036329,24,   0.002720,   5.143933,   3.427851,0,5,5
   9.920000,   7.097490,   0.039574,18,   0.002704,   6.817306,   2.542743,0,6,6
   9.160000,   7.056971,   0.039730,22,   0.002193,   6.318162,   2.975682,0,4,4
   9.080000,   7.062297,   0.025420,19,   0.002314,   3.802136,   2.203545,0,7,7
