time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  10.820000,   7.378625,   0.154353,10,   0.004286, 177.627168,   2.043144,2,0,0
  10.080000,   7.265708,   0.085774,14,   0.003515, 177.526122,   1.848745,1,0,0
   9.619990,   7.098863,   0.160579,16,   0.002450, 176.189342,   3.421691,4,0,0
   9.640000,   7.184924,   0.092136,16,   0.003142, 177.962394,   1.771187,0,0,0
   8.879995,   7.161906,   0.160305,14,   0.003273, 176.211519,   4.299521,2,0,0
   8.420000,   7.205866,   0.190598,11,   0.003888, 175.743875,   2.512693,1,0,0
   8.760000,   7.178127,   0.116914,11,   0.003603, 177.252600,   2.174072,1,0,0
   8.459990,   7.111393,   0.113257,14,   0.002974, 176.656685,   3.674177,2,0,0
  10.080010,   7.351349,   0.188008,11,   0.004423, 176.320032,   2.166229,1,0,0
  10.380000,   7.406231,   0.227875,13,   0.004369, 175.797396,   3.155834,3,0,0
