time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  11.539997,   7.148814,   0.113235,30,   0.002971,   3.652448,   2.359422,1,4,4
  11.460000,   7.170996,   0.136319,24,   0.002974,   4.294657,   2.560746,2,5,5
  11.240000,   7.187292,   0.124087,29,   0.003392,   3.633178,   2.101500,1,5,5
   9.940000,   7.129784,   0.088723,22,   0.002943,   1.237954,   0.983057,0,0,0
  10.120000,   7.159949,   0.090257,19,   0.003389,   2.360869,   1.969172,1,1,1
   8.860000,   7.082818,   0.091027,15,   0.002753,   1.931783,   1.710618,0,1,1
   9.900000,   7.156565,   0.071582,21,   0.003150,   2.212241,   1.466924,0,2,2
   8.900000,   7.090665,   0.082640,16,   0.002980,   2.083037,   1.465899,0,0,0
   9.060000,   7.109620,   0.061470,20,   0.003272,   2.223105,   1.727632,0,1,1
   8.940000,   7.138251,   0.078622,16,   0.003589,   1.705223,   1.204320,0,0,0
   9.020000,   7.146301,   0.055706,18,   0.003569,   2.404929,   1.849313,0,0,0
