time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
   6.766884,   3.795526,   0.140867,15,   0.003228,   7.106478,   5.203657,1,5,202
   9.160000,   7.118266,   0.081164,15,   0.003044,   2.231145,   1.623554,1,2,24
   8.680010,   7.081812,   0.051628,17,   0.002678,   2.164904,   1.893439,0,3,38
   8.920000,   7.083909,   0.050074,18,   0.002617,   3.088528,   2.601923,0,6,98
   9.679990,   7.244274,   0.140380,18,   0.003754,   9.771822,   6.981125,2,3,356
   9.600000,   7.214813,   0.105106,18,   0.003642,   3.620527,   3.044269,1,5,135
   9.880000,   7.239287,   0.172797,17,   0.003855,   7.792328,   4.114387,1,5,368
  10.860000,   7.380480,   0.184096,17,   0.004358,   7.404763,   5.698292,3,5,297
   9.040000,   7.164615,   0.106333,15,   0.003443,   3.823137,   2.258318,1,5,145
   9.100000,   7.150903,   0.105413,16,   0.003445,   6.905622,   3.078740,1,6,346
