time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  10.860005,   7.131722,   0.098003,15,   0.002547,   3.907876,   4.018405,0,5,121
  12.340000,   7.316476,   0.118808,19,   0.003301,   4.481263,   3.724497,1,5,219
  17.940010,   8.531227,   0.207761,21,   0.004897,   8.653891,   7.756163,4,7,527
  13.840000,   7.358186,   0.099723,25,   0.003074,   5.460064,   4.657720,2,7,310
  12.960000,   7.320666,   0.149675,19,   0.003345,   6.599657,   4.640125,2,7,324
  17.760000,   8.044677,   0.170350,23,   0.004159,   5.533592,   4.615925,4,10,423
  12.620000,   7.296462,   0.132953,23,   0.003320,   4.049348,   3.052009,3,6,178
  13.820000,   7.488756,   0.092625,25,   0.003719,   6.513348,   5.467122,1,5,311
  14.120000,   7.470666,   0.142572,21,   0.003621,   6.558599,   6.013279,3,10,336
  13.880000,   7.755611,   0.189511,20,   0.004372,   4.420952,   3.514975,3,7,210
