time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  13.430070,   5.416348,   0.154463,17,   0.002666,   4.408205,   2.900964,1,8,241
  14.780000,   7.292053,   0.114082,24,   0.002627,   2.244354,   2.323296,1,3,75
  13.960010,   7.186856,   0.106928,25,   0.002350,   2.761144,   2.251947,1,6,149
  14.760040,   7.594318,   0.130653,20,   0.003561,   3.404539,   3.124160,1,3,193
  14.500000,   7.336365,   0.104903,22,   0.003016,   7.325764,   4.588212,0,5,422
  13.680000,   7.268955,   0.105640,25,   0.002894,   4.175238,   2.597441,1,6,224
  11.980000,   7.157770,   0.084808,19,   0.002649,   2.901236,   2.162195,0,3,75
  11.820000,   7.180176,   0.059490,23,   0.002788,   2.326873,   1.722564,0,3,53
  10.900100,   7.208470,   0.083353,20,   0.003211,   6.653830,   3.469997,1,6,356
  11.319900,   7.326766,   0.108816,20,   0.003689,   4.337430,   3.066704,1,4,210
