time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  10.439996,   7.288859,   0.118251,18,   0.004000,   4.409301,   3.760913,1,4,194
  12.760010,   7.508528,   0.204934,20,   0.004187,   4.259067,   3.723433,2,6,201
  11.480010,   7.337688,   0.163452,15,   0.003965,   6.019256,   5.287094,3,6,290
  15.040000,   7.893562,   0.195462,19,   0.004776,   7.407729,   7.283730,3,8,354
  14.320000,   8.686689,   0.239840,21,   0.006166,   3.927793,   2.778334,4,8,223
  13.820000,   8.130367,   0.159779,22,   0.005195,   5.976120,   4.523404,5,5,343
   9.920000,   7.250201,   0.115096,15,   0.003856,   3.051017,   3.114107,1,3,108
   9.580000,   7.184934,   0.150904,15,   0.003518,   4.276675,   4.163250,3,3,125
  10.660000,   7.523029,   0.234702,11,   0.005172,   7.757318,   5.956942,3,6,314
  11.980000,   7.927722,   0.283385,15,   0.005401,   4.549533,   4.004327,2,5,207
