time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
   8.305376,   4.476912,   0.049085,16,   0.002890,   6.178736,   4.424887,0,5,208
   8.240000,   7.083516,   0.052190,17,   0.002775,   4.315061,   3.142524,0,4,145
   7.999990,   7.084256,   0.043551,16,   0.002907,   2.482479,   1.659902,0,2,43
   7.839990,   7.101391,   0.069113,15,   0.003341,   3.057517,   2.492270,0,3,77
   7.940010,   7.133547,   0.080846,15,   0.003872,   4.242728,   2.565358,0,7,161
   7.480020,   7.050416,   0.034527,14,   0.002586,   2.938872,   1.478345,0,1,18
   7.520000,   7.075847,   0.054705,15,   0.002957,   3.784649,   2.667176,0,0,73
   8.360000,   7.167794,   0.104668,16,   0.003748,   2.935800,   2.123913,1,2,59
   7.920000,   7.111165,   0.037540,15,   0.003303,   4.070722,   2.365369,0,6,143
   8.160000,   7.103895,   0.041070,16,   0.003166,   4.389577,   2.982917,0,5,165
   8.040000,   7.077808,   0.052635,16,   0.002951,   5.061094,   2.632222,0,6,147
