time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
   9.420003,   7.136935,   0.046351,18,   0.003370,   3.120460,   4.635119,0,4,82
   8.320000,   7.081685,   0.038841,17,   0.002654,   1.624427,   1.301269,0,1,11
   8.840010,   7.128464,   0.045202,16,   0.003166,   1.922001,   1.292589,0,2,10
   9.020010,   7.155517,   0.053691,16,   0.003533,   3.598399,   2.091753,0,5,108
   8.720000,   7.130409,   0.051628,17,   0.003367,   3.122992,   1.527162,0,2,29
   8.400000,   7.109089,   0.034941,16,   0.003150,   4.910397,   1.622421,0,8,195
   8.380000,   7.090536,   0.037155,16,   0.002856,   3.185534,   2.114502,0,4,95
   8.820000,   7.097820,   0.039278,17,   0.002803,   4.200689,   2.548611,0,5,161
   9.100000,   7.149491,   0.043832,17,   0.003402,   3.307449,   2.110759,0,2,54
   8.720000,   7.098800,   0.034584,17,   0.002988,   3.865034,   1.785636,0,7,116
