time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
   7.868010,   4.191040,   0.048709,14,   0.002663,   3.204674,   3.035739,0,3,61
   9.600000,   7.225269,   0.101629,20,   0.003830,   2.605391,   1.790361,1,2,51
  10.020000,   7.194584,   0.129917,19,   0.003536,   4.606580,   2.865260,2,4,182
   8.320010,   7.108520,   0.093937,16,   0.003216,   6.128069,   6.372958,1,6,175
   9.480010,   7.289255,   0.130466,17,   0.004394,   5.506341,   4.428032,3,5,207
   9.780000,   7.293357,   0.141408,17,   0.004288,   7.586361,   4.105610,1,5,343
   9.420000,   7.250836,   0.085062,17,   0.004232,   4.335588,   3.660336,0,5,155
  11.700000,   7.619265,   0.213624,16,   0.005176,  12.534558,   8.289185,3,3,473
   9.280000,   7.335753,   0.151574,17,   0.004682,   3.879434,   2.941535,1,6,166
   8.900000,   7.221905,   0.088022,17,   0.004239,   3.352388,   2.407960,0,4,98
