time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  15.046620,   5.893196,   0.138649,32,   0.002712, 176.118565,   3.239945,4,1,752
  16.660000,   7.514598,   0.098997,29,   0.003282, 176.191107,   2.397008,0,0,832
  13.720000,   7.319233,   0.099267,27,   0.003444, 175.842259,   1.690494,2,0,685
  13.300000,   7.278952,   0.064621,25,   0.003335, 174.955157,   4.664907,0,0,664
  18.340000,   8.308296,   0.149172,34,   0.004521, 176.122700,   3.089200,2,0,916
  15.040000,   7.503715,   0.100436,28,   0.003556, 176.405320,   2.914781,2,0,751
  11.740000,   7.274404,   0.080903,21,   0.003798, 176.102126,   2.440716,0,0,586
  12.420000,   7.270801,   0.103284,25,   0.003518, 176.367668,   3.659489,1,0,620
  11.740000,   7.273024,   0.074663,22,   0.003801, 177.193897,   2.484357,0,0,586
  12.360000,   7.248632,   0.058238,23,   0.003500, 177.415535,   2.150031,0,0,617
  11.680000,   7.167506,   0.048983,26,   0.002929, 176.406818,   2.376325,0,0,583
  12.040000,   7.209641,   0.080649,25,   0.003151, 176.587766,   1.589330,0,0,601
