time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  35.360000,   9.255392,   0.110715,73,   0.003179,   5.231563,   5.046573,5,14,608
  61.400030,  13.376301,   0.168938,160,   0.003789,   6.635702,   5.125821,9,29,1523
  27.940000,   9.072382,   0.125000,60,   0.004060,   7.328786,   4.706039,3,11,912
  33.459900,   9.703032,   0.150995,62,   0.004306,   5.508455,   5.056218,6,13,750
  18.600100,   7.933389,   0.142408,42,   0.004165,   4.852418,   2.723506,2,9,356
  54.199900,  14.421460,   0.281486,158,   0.004714,   9.317585,   8.596003,10,25,1604
  42.620000,  11.326556,   0.179636,93,   0.004568,   7.733064,   6.992756,8,20,1079
  37.140100,  10.012810,   0.117004,112,   0.003997,   7.411023,   5.921473,5,19,1053
  25.440000,   8.369924,   0.102902,66,   0.003842,   5.959594,   5.894755,1,11,549
  33.680000,   9.338017,   0.107618,91,   0.003740,   5.599996,   5.850583,5,11,633
