time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  11.710030,   4.067006,   0.049741,27,   0.002741, 175.815630,   3.915061,0,1,585
  17.620000,   7.670145,   0.111156,29,   0.003538, 176.483427,   2.367024,1,0,880
  12.460000,   7.135170,   0.057495,23,   0.002550, 176.273450,   1.787931,0,0,622
  14.299980,   7.237588,   0.049656,25,   0.002832, 176.373804,   1.511221,0,0,714
  16.160000,   7.690708,   0.126052,27,   0.004254, 176.372283,   1.904396,3,0,807
  17.440000,   7.748769,   0.069995,27,   0.004256, 173.834439,   2.019298,0,0,871
  16.960000,   7.645707,   0.079615,29,   0.003999, 176.108186,   1.820519,1,0,847
  18.680000,   7.979416,   0.113628,36,   0.004277, 176.309074,   2.269241,4,0,933
  15.820000,   7.632363,   0.115955,29,   0.004256, 174.734772,   2.119781,0,0,790
  15.920000,   7.510078,   0.081127,25,   0.003843, 178.141794,   1.656275,0,0,795
  12.900000,   7.259124,   0.091387,20,   0.003247, 177.809576,   1.786203,0,0,644
  13.960000,   7.430951,   0.067084,27,   0.003745, 176.820214,   1.922748,1,0,697
