time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  16.500000,   7.341998,   0.056999,31,   0.002905,   4.136753,   3.467322,0,5,250
  59.759990,  12.042307,   0.146892,141,   0.003403,   8.461306,   6.273233,12,28,2004
  67.520000,  13.944631,   0.166723,132,   0.003940,   8.144876,   6.669900,8,31,2066
  24.660000,   8.324724,   0.100613,49,   0.003986,   2.842724,   2.152029,3,6,161
  28.420000,   8.320610,   0.075136,75,   0.003423,   2.919084,   1.871190,1,11,225
  31.340000,   8.994151,   0.150152,59,   0.003966,   2.666900,   2.701275,6,6,273
  24.560000,   7.789647,   0.064364,50,   0.002920,   2.360773,   2.917890,1,5,134
  28.160000,   8.648999,   0.118034,48,   0.003794,   3.890590,   3.973760,1,6,290
  26.880000,   8.446106,   0.098071,61,   0.003894,   3.313353,   3.226333,2,11,232
  19.620000,   7.757899,   0.073589,34,   0.003672,   2.500026,   2.272204,0,3,127
