time2,dist2,rmse2,sign2,dx_std2,angle_mean2,angle_std2,not_on_line_count2,not_looking_count2,not_looking_frame2
  13.546370,   4.062830,   0.035854,19,   0.001754, 178.450228,   1.944599,0,1,677
  16.720000,   7.256986,   0.060572,30,   0.002577, 177.577638,   1.472098,0,0,835
  13.080000,   7.174972,   0.046963,20,   0.002698, 178.881933,   0.753029,0,0,653
  14.920030,   7.346035,   0.051945,24,   0.003270, 176.268615,   2.681961,0,0,745
  13.340000,   7.260442,   0.069144,23,   0.003075, 178.488246,   0.912197,0,0,666
  14.940000,   7.235156,   0.055275,29,   0.002741, 176.144182,   2.160163,0,0,746
  12.080000,   7.165981,   0.042708,25,   0.002899, 177.461558,   1.390107,0,0,603
  12.200000,   7.185047,   0.047642,22,   0.002923, 177.462384,   1.643546,0,0,609
  12.579900,   7.135600,   0.057407,27,   0.002423, 175.812926,   1.783943,0,0,628
  11.040100,   7.089030,   0.075825,39,   0.002365, 178.215624,   1.330835,0,0,551
