time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
   8.550293,   2.981426,   0.071638,16,   0.002473,   3.273051,   1.441371,0,5,49
  15.420010,   7.356158,   0.048808,23,   0.003051,   3.237619,   1.379114,0,3,56
  10.679990,   7.088518,   0.030506,20,   0.002514,   5.039438,   1.070867,0,7,279
   9.280000,   7.074944,   0.032675,16,   0.002531,   4.913914,   1.161763,0,7,209
   9.140000,   7.058157,   0.030688,16,   0.002462,   4.550986,   1.133368,0,8,146
   8.840000,   7.056305,   0.031119,19,   0.002585,   4.310305,   0.953033,0,6,107
   8.340000,   7.052938,   0.032827,15,   0.002551,   4.500963,   1.220185,0,6,147
   9.400000,   7.073685,   0.030317,16,   0.002594,   3.799556,   1.038110,0,6,71
   8.840000,   7.066633,   0.030185,17,   0.002706,   3.807612,   1.132101,0,4,73
   9.120000,   7.073420,   0.036149,16,   0.002583,   4.493177,   1.173774,0,5,161
