time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
  13.668640,   3.725023,   0.181983,24,   0.002854, 173.722269,   3.122574,6,1,683
  13.200000,   7.327849,   0.153064,22,   0.003672, 174.149510,   1.969892,2,0,659
  13.019960,   7.316560,   0.107323,24,   0.003621, 173.012583,   2.883639,1,0,650
  11.200000,   7.521358,   0.195136,23,   0.005053, 172.954944,   2.917800,1,0,559
  12.860000,   7.931267,   0.213209,25,   0.005366, 174.702254,   4.125664,5,0,642
  11.080000,   7.358735,   0.168401,22,   0.004342, 175.769587,   2.889135,2,0,553
   8.880000,   7.094221,   0.048233,22,   0.003158, 177.345397,   1.048794,0,0,443
  11.580000,   7.646772,   0.188075,24,   0.005698, 176.205419,   3.013483,4,0,578
   9.840000,   7.213396,   0.065949,18,   0.004010, 175.742367,   1.873032,0,0,491
  13.720000,   8.806637,   0.225465,26,   0.006385, 176.234292,   3.698381,2,0,685
