time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
   5.978119,   3.470297,   0.033191,9,   0.001639,   6.147729,   2.162048,0,4,4
   9.340000,   7.050885,   0.033218,16,   0.002329,   6.201942,   3.069088,0,5,5
   8.440000,   7.042378,   0.024774,13,   0.002571,   5.154074,   2.682199,0,4,4
   8.020020,   7.007659,   0.027392,18,   0.002065,   6.452540,   2.964205,0,6,6
   7.679990,   7.016908,   0.022209,16,   0.002168,   5.837403,   1.899549,0,5,5
   7.400000,   7.022154,   0.026711,13,   0.002066,   2.829018,   1.793117,0,1,1
   7.300000,   7.017433,   0.036503,16,   0.002317,   4.489349,   2.069391,0,7,7
   7.220000,   7.005974,   0.033861,17,   0.002187,   3.363670,   2.121426,0,3,3
   7.580000,   7.024398,   0.026778,14,   0.002362,   4.786558,   1.969128,0,6,6
   7.060000,   7.016976,   0.026616,14,   0.002075,   4.865013,   1.873533,0,7,7
   6.740000,   7.011847,   0.030082,20,   0.002436,   4.421534,   2.817785,0,5,5
