time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
  14.123410,   5.164452,   0.174118,16,   0.003165, 172.843672,   9.828269,2,1,1
   8.460000,   7.057520,   0.067888,14,   0.002174, 178.413147,   1.421209,0,0,0
   7.900000,   7.053146,   0.179832,12,   0.002404, 175.137370,   4.466904,3,0,0
   8.840000,   7.127652,   0.160231,13,   0.002865, 175.835474,   3.865277,1,0,0
   8.112114,   6.493786,   0.163112,12,   0.002956, 176.573807,   2.444055,1,1,1
   7.660000,   7.072108,   0.148183,14,   0.002654, 175.333863,   3.203461,1,0,0
   8.180010,   7.067453,   0.230814,11,   0.002691, 174.482533,   3.032211,1,0,0
   7.599991,   7.042345,   0.087995,13,   0.002663, 175.959965,   2.372241,0,0,0
   7.559990,   7.059300,   0.052393,12,   0.002630, 177.013496,   2.648379,0,0,0
   7.380000,   7.029601,   0.125879,11,   0.002113, 176.253328,   3.588460,1,0,0
