time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
   6.867714,   3.673492,   0.103982,10,   0.001943,   6.422667,   3.023209,1,3,3
  10.780000,   7.113084,   0.101570,16,   0.002727,   3.611830,   2.279643,0,6,6
   9.600000,   7.069691,   0.095202,17,   0.002438,   3.961900,   3.479692,1,4,4
  10.819990,   7.304500,   0.188494,22,   0.004144,   4.205930,   2.824900,1,6,6
   8.979980,   7.075879,   0.071416,25,   0.002637,   1.633543,   1.109978,0,0,0
   8.660000,   7.054245,   0.111252,19,   0.002629,   2.728999,   2.205376,0,2,2
   7.500000,   7.045826,   0.052818,13,   0.002670,   1.364802,   1.048458,0,0,0
   7.680000,   7.040019,   0.070222,17,   0.002248,   2.934989,   2.116283,0,2,2
   7.660000,   7.036606,   0.124193,17,   0.002999,   2.835362,   1.610176,1,1,1
   7.100000,   7.043890,   0.143697,12,   0.003303,   2.385188,   1.636944,2,1,1
   7.380000,   7.058141,   0.131612,15,   0.002563,   4.652880,   5.234435,1,4,4
