time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
  10.279999,   7.181132,   0.159878,16,   0.003244,   2.684977,   2.281682,1,2,64
   8.180000,   7.064428,   0.049803,15,   0.002424,   2.647457,   1.940432,0,3,51
   8.640000,   7.073804,   0.129214,16,   0.002888,   1.770881,   1.225140,1,0,3
   9.540000,   7.321738,   0.216520,19,   0.004308,   4.616187,   3.120161,2,5,212
  11.540010,   7.357997,   0.324456,17,   0.003915,   6.783920,   5.965680,3,5,285
   8.980000,   7.122061,   0.143007,15,   0.003143,   3.487535,   3.181796,3,2,89
   8.660000,   7.078155,   0.065908,16,   0.002618,   2.699372,   1.721765,0,2,38
   8.920000,   7.095434,   0.132317,16,   0.002679,   3.796782,   2.453583,1,5,125
   8.620000,   7.089059,   0.090625,16,   0.002910,   2.579115,   1.587190,0,2,31
   8.340000,   7.150586,   0.155884,13,   0.003480,   3.658190,   2.436055,2,6,133
