time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
   6.001006,   3.687431,   0.064654,12,   0.001997,   2.652308,   2.059437,0,2,35
  10.139990,   7.313603,   0.189342,17,   0.003898,   5.330712,   4.231696,2,5,191
   8.960000,   7.073147,   0.108333,15,   0.002521,   1.968152,   1.345268,1,1,11
  10.879990,   7.290774,   0.181670,18,   0.003408,   4.458259,   4.087226,1,5,169
  14.000000,   7.978120,   0.166758,21,   0.003974,   7.346888,   6.988894,3,3,331
  10.940000,   7.622727,   0.266323,12,   0.004835,   6.521682,   4.320475,2,6,317
   9.500000,   7.075513,   0.067179,18,   0.002262,   1.941289,   1.599383,0,1,20
   9.340000,   7.108263,   0.093801,15,   0.002658,   3.408794,   2.880987,1,2,79
  10.680000,   7.426673,   0.253001,15,   0.004191,   6.273155,   4.671272,1,5,266
  10.620000,   7.316375,   0.188284,18,   0.003801,   7.117736,   5.221272,2,3,289
