time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
  12.399990,   7.149500,   0.122335,20,   0.002425,   4.257472,   3.090673,1,4,178
  10.860000,   7.058534,   0.102815,20,   0.001895,   1.860540,   1.735107,0,0,27
  11.339990,   7.129414,   0.157616,20,   0.002398,   2.803598,   1.946362,3,3,80
  11.820000,   7.412653,   0.231272,17,   0.003821,   3.604320,   2.771034,2,2,162
  11.820000,   7.179709,   0.121731,21,   0.002834,   2.430921,   2.792029,2,2,110
  11.160000,   7.191942,   0.099007,20,   0.002972,   3.180121,   2.757160,1,2,99
  10.860000,   7.202642,   0.126291,17,   0.003085,   2.796384,   2.351161,1,5,105
  10.560000,   7.125768,   0.058846,20,   0.002515,   2.671815,   1.581498,0,2,39
  10.339900,   7.123959,   0.067573,20,   0.002648,   2.824050,   1.557181,0,2,39
  10.000000,   7.082139,   0.052999,19,   0.002275,   3.901023,   2.064587,0,7,164
