time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
   5.881485,   3.519480,   0.148501,5,   0.003444,   5.269700,   3.707652,1,3,148
  10.440000,   7.515622,   0.364164,10,   0.005072,   9.625778,   7.134842,2,4,383
   8.900000,   7.147309,   0.129147,14,   0.003717,   2.824436,   2.108375,1,4,93
   8.699990,   7.109889,   0.096155,16,   0.003129,   3.528932,   2.999275,1,3,126
  10.000020,   7.474503,   0.152471,18,   0.004543,   7.094894,   9.496751,1,2,152
   9.760000,   7.289472,   0.146190,14,   0.003945,   3.718796,   3.977183,1,4,133
  10.340000,   7.426218,   0.240785,12,   0.004691,   6.016585,   5.132860,2,4,239
   7.800000,   7.059860,   0.085273,13,   0.002485,   2.736394,   1.736127,0,2,40
   8.380000,   7.157731,   0.163024,13,   0.003492,   3.777276,   3.025082,1,4,113
   8.280000,   7.152800,   0.171611,13,   0.003729,   3.521037,   2.191609,1,2,98
