time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
   8.960004,   7.068478,   0.067299,15,   0.002482,   5.278589,   5.093744,0,7,152
   7.720000,   7.058470,   0.069078,16,   0.002761,   2.793050,   1.778750,0,2,51
   7.900000,   7.069222,   0.084605,16,   0.002550,   2.216544,   1.785734,1,1,31
   7.459990,   7.042095,   0.072451,15,   0.002449,   3.170051,   2.752195,0,2,83
   7.400010,   7.024821,   0.038905,14,   0.002410,   3.843121,   2.304533,0,4,106
   7.540000,   7.029992,   0.026507,15,   0.002028,   3.497600,   1.495047,0,3,52
   7.640000,   7.009848,   0.070340,15,   0.002165,   1.529489,   1.011568,0,0,0
   7.940000,   7.037222,   0.059433,15,   0.002402,   3.150258,   2.384359,0,2,57
   8.060000,   7.062886,   0.033244,16,   0.002474,   3.028292,   1.656181,0,2,53
   8.100000,   7.082820,   0.039410,14,   0.002796,   5.319133,   2.190846,0,7,203
   7.700000,   7.065464,   0.068931,14,   0.002674,   4.920587,   2.169036,0,3,167
