time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
   5.751077,   3.586732,   0.116377,12,   0.003537,   7.956607,   4.331473,1,4,210
   7.920000,   7.100306,   0.043106,14,   0.003050,   1.718263,   1.497249,0,1,24
   8.700010,   7.046555,   0.025781,19,   0.002485,   1.189223,   0.869990,0,0,0
   8.060000,   7.053555,   0.041992,17,   0.002357,   2.170834,   1.669474,0,2,33
   8.540000,   7.049003,   0.047223,17,   0.002335,   2.686067,   1.502347,0,1,33
   8.180000,   7.054021,   0.071522,17,   0.002362,   4.952687,   1.459721,0,7,226
   7.980000,   7.063992,   0.055642,15,   0.002493,   4.476657,   1.172716,0,8,136
   8.260000,   7.061951,   0.075349,18,   0.002625,   4.175868,   2.115597,0,1,123
   8.120000,   7.049426,   0.069152,15,   0.002730,   4.742960,   1.384121,0,8,170
   8.100000,   7.043063,   0.069083,15,   0.002498,   3.342804,   1.149985,0,2,34
