time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
   9.640000,   7.145752,   0.051084,16,   0.003244,   2.718656,   1.674045,0,3,53
   8.740000,   7.093540,   0.045479,16,   0.002740,   1.688205,   1.363247,0,0,6
   8.160000,   7.075734,   0.070835,16,   0.002744,   2.944722,   2.096973,0,5,72
   9.680000,   7.214898,   0.201618,16,   0.003647,   5.778893,   5.419885,2,4,212
   8.919990,   7.154770,   0.157803,17,   0.003382,   4.749079,   4.313066,3,3,153
   8.760000,   7.151037,   0.096908,16,   0.003376,   5.362246,   5.303738,1,4,157
   8.700000,   7.111479,   0.081248,15,   0.002849,   3.658130,   2.297658,0,3,132
  12.960000,   7.483495,   0.220077,21,   0.003662,   8.488923,   6.330204,3,8,397
   8.320000,   7.118652,   0.104765,17,   0.003357,   3.543177,   3.285945,1,3,89
   8.360000,   7.115026,   0.057012,16,   0.003146,   3.572917,   2.287075,0,3,90
