time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
  15.920000,   7.321157,   0.091916,27,   0.002998, 176.879689,   2.409250,1,0,795
  14.499990,   7.242901,   0.106182,26,   0.002798, 173.928301,   4.429160,1,0,724
  28.999980,   8.666272,   0.116086,53,   0.003394, 166.555186,   9.788825,1,0,1449
  16.680000,   7.598728,   0.101590,37,   0.002946, 175.176748,   5.143835,2,0,833
  26.320000,   8.301709,   0.158575,54,   0.003251, 172.135743,  10.917873,3,0,1315
  10.900000,   7.151579,   0.074060,20,   0.003045, 176.696070,   2.633276,0,0,544
  11.060000,   7.130297,   0.088820,26,   0.002795, 176.274661,   2.745207,0,0,552
  10.560000,   7.112624,   0.050752,18,   0.002626, 177.551673,   1.643197,0,0,527
  25.520000,   8.641238,   0.131368,55,   0.003450, 172.114537,   9.266193,3,0,1275
  15.420000,   7.625778,   0.099114,27,   0.003562, 172.167027,   9.479852,2,0,770
  11.100000,   7.088436,   0.035531,23,   0.002532, 178.355475,   1.454947,0,0,554
  12.140000,   7.220315,   0.077128,23,   0.003204, 176.432191,   2.936512,0,0,606
