time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
  16.479870,   4.674960,   0.203769,26,   0.004696,   8.202935,   5.807308,2,6,539
  26.140000,   8.039384,   0.153754,46,   0.002938,   5.808440,   5.181810,4,5,617
  17.140000,   7.798923,   0.145306,26,   0.004084,   8.570318,   4.712022,3,4,685
  18.360000,   7.500748,   0.166821,29,   0.003010,  10.905399,   3.848398,3,1,873
  26.120000,   9.632621,   0.138012,50,   0.004718,   8.992556,  12.465080,6,9,651
  13.140100,   7.137270,   0.119044,26,   0.002106,   4.902744,   3.643236,1,2,222
  14.140100,   7.208088,   0.121263,25,   0.002690,   3.594134,   3.112018,1,3,208
  13.220000,   7.265520,   0.118204,22,   0.003338,   4.527166,   3.421345,2,5,232
  14.019900,   7.514326,   0.173059,25,   0.004025,   5.059975,   3.410851,1,4,317
  16.520000,   7.486047,   0.148119,28,   0.003270,   7.257703,   3.605862,2,7,615
