time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
  19.180000,   7.697341,   0.102313,27,   0.003356, 177.291335,   2.115700,2,0,958
  13.819990,   7.204385,   0.074486,20,   0.002709, 176.523642,   1.379121,0,0,690
  12.500000,   7.076786,   0.116519,26,   0.002035, 178.126742,   2.049452,1,0,624
  13.800000,   7.220609,   0.094294,20,   0.002819, 177.260447,   1.610057,1,0,689
  14.360000,   7.163325,   0.062109,22,   0.002358, 173.458979,   2.041626,0,0,717
  16.140000,   7.484703,   0.116266,28,   0.003108, 173.461820,   3.781603,2,0,806
  15.260000,   7.495460,   0.135288,26,   0.003810, 174.325314,   3.820209,2,0,762
  13.180000,   7.296933,   0.123597,22,   0.003399, 176.632510,   2.878778,3,0,658
  12.460000,   7.217232,   0.115248,20,   0.003142, 175.358304,   3.341590,2,0,622
  10.680000,   7.051083,   0.043641,17,   0.001916, 176.803942,   1.967047,0,0,533
  11.200000,   7.075620,   0.080433,18,   0.002234, 176.456874,   3.157760,0,0,559
