time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
  13.105810,   3.874737,   0.130981,36,   0.002992,   7.065587,   6.459988,1,3,338
  12.280000,   7.147638,   0.131818,20,   0.002628,   6.061314,   2.921522,1,5,399
  26.000000,   8.274686,   0.201692,57,   0.003571,   9.009923,   6.329581,3,12,938
  20.600000,   7.913572,   0.146142,44,   0.003798,   4.567490,   3.809809,7,9,351
  31.760000,   8.386880,   0.159945,74,   0.003284,   4.481184,   3.196552,6,17,553
  14.320000,   7.277552,   0.131954,30,   0.002979,   3.350553,   1.613081,1,4,126
  12.120000,   7.064513,   0.048761,22,   0.001884,   1.792371,   1.763772,0,1,49
  10.220000,   7.103461,   0.127464,21,   0.002804,   2.402651,   2.229344,1,3,49
  12.140000,   7.138206,   0.114213,20,   0.002486,   4.119756,   3.164298,1,4,164
  13.700000,   7.275167,   0.157587,19,   0.003246,   6.965993,   6.669608,3,6,354
