time1,dist1,rmse1,sign1,dx_std1,angle_mean1,angle_std1,not_on_line_count1,not_looking_count1,not_looking_frame1
  17.140000,   7.240490,   0.099842,25,   0.002072, 178.148226,   1.186311,1,0,856
  14.459990,   7.094638,   0.059274,25,   0.001875, 178.241565,   1.334674,0,0,722
  14.360000,   7.323220,   0.097977,24,   0.002687, 177.013228,   1.789229,1,0,717
  13.660000,   7.309745,   0.117385,25,   0.002842, 177.496863,   1.525946,1,0,682
  18.800000,   7.547892,   0.108269,29,   0.003092, 176.014659,   4.034811,2,0,939
  13.640000,   7.151434,   0.042609,22,   0.002424, 177.815336,   1.234169,0,0,681
  11.700000,   7.166212,   0.083440,21,   0.002957, 177.328776,   2.662348,0,0,584
  14.320000,   7.286451,   0.081537,28,   0.003040, 176.068584,   2.008458,0,0,715
  10.880000,   7.100384,   0.073486,21,   0.002553, 177.830221,   1.160225,0,0,543
  14.600100,   7.480079,   0.114262,25,   0.003677, 176.593283,   2.307614,3,0,729
