time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.001571655,0.1230782,1.647232,3.920206,-11.3537,0.5492208,-0.8039551,0.009397981,0.1968654,0.9803855,129.7982,0,0,6719
0.02157593,0.1231352,1.647192,3.920271,-11.3345,0.5868006,-0.8197021,0.01004168,0.1965367,0.980445,2.277268,0,0,6719
0.0415802,0.123268,1.647117,3.920416,-11.33377,0.6326735,-0.8547058,0.01082668,0.1965241,0.9804392,2.315452,0,0,6719
0.06156921,0.1233388,1.647089,3.920449,-11.31921,0.6485781,-0.8731995,0.0110994,0.1962748,0.9804861,2.363474,0,0,6719
0.08157349,0.1234556,1.646956,3.920434,-11.23279,0.6924425,-0.9039307,0.0118536,0.1947956,0.9807723,2.380391,0,0,6719
0.1015778,0.1234841,1.64693,3.920449,-11.25201,0.7067768,-0.8763428,0.01209817,0.1951247,0.9807038,2.425919,0,0,6719
0.121582,0.1235026,1.646994,3.920465,-11.27142,0.7017549,-0.8717651,0.0120114,0.195457,0.9806387,2.440639,0,0,6719
0.141571,0.1235125,1.647064,3.920471,-11.32086,0.6953512,-0.8900452,0.01189975,0.1963034,0.980471,2.435903,0,0,6719
0.1615753,0.1235598,1.647097,3.920417,-11.362,0.6870174,-0.920166,0.01175544,0.1970072,0.9803315,2.429466,0,0,6719
0.1815796,0.1235749,1.647116,3.920345,-11.34204,0.6753644,-0.9217224,0.01155687,0.1966655,0.9804025,2.421881,0,0,6719
0.2015686,0.1235499,1.647143,3.920275,-11.36398,0.6620573,-0.9391479,0.01132829,0.1970412,0.9803298,2.410297,0,0,6719
0.2215729,0.1235247,1.647189,3.920128,-11.38367,0.6365742,-0.9455261,0.01089152,0.1973779,0.980267,2.396616,0,0,6719
0.2415771,0.1234934,1.647231,3.920066,-11.40973,0.6350176,-0.936554,0.01086389,0.1978238,0.9801774,2.370751,0,0,6719
0.2615814,0.1234251,1.64738,3.92,-11.51508,0.628295,-0.9024353,0.01074488,0.199626,0.9798133,2.368851,0,0,6719
0.2815704,0.1233431,1.647488,3.919903,-11.5856,0.62453,-0.8668823,0.01067781,0.2008317,0.9795675,2.361072,0,0,6719
0.3015747,0.1233037,1.647472,3.919894,-11.57245,0.6115408,-0.8313904,0.01045623,0.2006066,0.979616,2.356009,0,0,6719
0.321579,0.1232654,1.647441,3.919895,-11.58163,0.5900994,-0.8128052,0.0100893,0.2007638,0.9795877,2.342513,0,0,6719
0.3415833,0.1232394,1.647408,3.91987,-11.56049,0.5687683,-0.823822,0.009725342,0.2004022,0.9796655,2.320434,0,0,6719
0.3615723,0.1232092,1.647363,3.919887,-11.54846,0.5471624,-0.8265991,0.009356315,0.2001966,0.9797111,2.298825,0,0,6719
