time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.006278992,-0.005084038,1.473812,4.17943,7.246621,2.191774,2.797184,0.03793887,-0.1261405,0.9912866,4.462254,0,0,925
0.02627945,-0.005122662,1.473779,4.179473,7.249332,2.167706,2.797739,0.03752223,-0.1261874,0.9912965,2.115444,0,0,925
0.04627609,-0.005157232,1.473798,4.179476,7.245711,2.15169,2.823285,0.03724543,-0.1261247,0.9913149,2.090877,0,0,925
0.06627655,-0.005196571,1.473811,4.179459,7.221194,2.114135,2.813103,0.03659765,-0.1257002,0.991393,2.074337,0,0,925
0.08627701,-0.005215883,1.473849,4.17949,7.182295,2.116489,2.790769,0.03664151,-0.1250267,0.9914765,2.036055,0,0,925
0.1062775,-0.005227804,1.473905,4.179505,7.165898,2.107417,2.797787,0.03648585,-0.1247427,0.991518,2.038265,0,0,925
0.1262779,-0.005242109,1.473933,4.17951,7.159041,2.084325,2.836018,0.03608677,-0.124624,0.9915476,2.028929,0,0,925
0.1462784,-0.005233765,1.473951,4.179552,7.134028,2.011275,2.854106,0.03482447,-0.1241908,0.9916471,2.005743,0,0,925
0.1662788,-0.00523591,1.473944,4.179595,7.129426,1.986427,2.832673,0.03439475,-0.1241111,0.991672,1.932797,0,0,925
0.1862793,-0.005263805,1.473932,4.179635,7.141272,1.965597,2.813369,0.03403334,-0.1243162,0.9916588,1.90793,0,0,925
0.2062759,-0.005245209,1.473917,4.17966,7.141628,1.937916,2.795549,0.03355422,-0.1243224,0.9916744,1.886682,0,0,925
0.2262764,-0.005207539,1.473911,4.179696,7.15078,1.935984,2.786103,0.0335201,-0.1244809,0.9916556,1.859201,0,0,925
0.2462769,-0.005111933,1.473861,4.179778,7.202131,1.927135,2.733524,0.03336317,-0.1253701,0.9915489,1.857937,0,0,925
0.2662773,-0.005032301,1.473841,4.179832,7.21068,1.934463,2.725998,0.03348937,-0.1255182,0.9915259,1.850443,0,0,925
0.2862778,-0.004908085,1.473827,4.179912,7.203732,1.971635,2.733572,0.03413316,-0.1253979,0.9915192,1.85899,0,0,925
0.3062782,-0.004781961,1.473819,4.180006,7.186847,2.017392,2.752072,0.03492629,-0.1251055,0.9915285,1.897955,0,0,925
0.3262787,-0.004389763,1.473789,4.180257,7.162705,2.100105,2.794683,0.03635957,-0.1246874,0.9915296,1.945614,0,0,925
0.3462791,-0.004241705,1.473796,4.180403,7.161998,2.121296,2.796229,0.03672633,-0.1246752,0.9915177,2.034324,0,0,925
0.3662758,-0.00409627,1.473794,4.180594,7.140398,2.107056,2.808086,0.03648164,-0.1243011,0.9915737,2.057759,0,0,925
0.3862762,-0.00397253,1.473807,4.180837,7.134498,2.100744,2.811484,0.03637287,-0.1241989,0.9915904,2.045549,0,0,925
0.4062767,-0.003690958,1.473808,4.181283,7.1181,2.06678,2.824996,0.03578634,-0.1239149,0.9916473,2.041143,0,0,925
0.4262772,-0.003213167,1.473748,4.182152,7.110172,1.954137,2.862185,0.03383729,-0.1237777,0.9917329,2.011492,0,0,925
0.4462776,-0.003008366,1.473608,4.182496,7.109416,1.918424,2.881109,0.03321917,-0.1237645,0.9917554,1.905981,0,0,925
0.4662781,-0.002766132,1.473539,4.182891,7.140021,1.889351,2.905914,0.03271376,-0.1242946,0.991706,1.873253,0,0,925
0.4862785,-0.002164602,1.473525,4.183639,7.206848,1.819184,2.94745,0.03149462,-0.1254518,0.9915997,1.847797,0,0,925
0.506279,-0.001884937,1.47346,4.184114,7.246032,1.7931,2.974767,0.03104049,-0.1261303,0.9915279,1.786736,0,0,925
0.5262794,-0.001181126,1.473463,4.185264,7.236023,1.718467,2.998338,0.02974957,-0.125957,0.9915895,1.764916,0,0,925
0.5462761,-0.0007276535,1.473478,4.185981,7.163128,1.646096,3.023088,0.02850164,-0.1246947,0.9917857,1.700769,0,0,925
0.5662766,-0.0003349781,1.473517,4.186731,7.130949,1.591953,3.030886,0.02756635,-0.1241375,0.991882,1.635063,0,0,925
0.586277,0.0006022453,1.473352,4.188255,7.077055,1.483723,3.038104,0.02569569,-0.1232041,0.9920486,1.586836,0,0,925
0.6062775,0.00109148,1.473169,4.189083,7.114282,1.42313,3.003417,0.02464455,-0.1238488,0.991995,1.49279,0,0,925
0.6262779,0.002266407,1.472854,4.190926,7.244685,1.308846,3.00268,0.02265934,-0.1261069,0.9917578,1.439535,0,0,925
0.6462784,0.002983093,1.472748,4.191983,7.298395,1.258332,3.006892,0.02178236,-0.1270368,0.9916588,1.342901,0,0,925
0.6662788,0.004419565,1.472331,4.194097,7.367404,1.185389,3.021453,0.02051668,-0.1282314,0.991532,1.303263,0,0,925
0.6862793,0.005306005,1.472118,4.195356,7.417975,1.178202,3.035238,0.02038996,-0.1291067,0.991421,1.251795,0,0,925
0.7062759,0.006999016,1.471697,4.198068,7.513551,1.18171,3.056552,0.0204462,-0.1307607,0.9912031,1.258344,0,0,925
0.7262764,0.007962942,1.471477,4.199552,7.558787,1.169273,3.050248,0.02022892,-0.1315434,0.991104,1.287096,0,0,925
0.7462769,0.009860516,1.470958,4.20254,7.651985,1.159918,3.038305,0.02006274,-0.1331557,0.9908921,1.289223,0,0,925
0.7662773,0.01090479,1.470574,4.204205,7.712749,1.174917,3.015209,0.02031923,-0.1342067,0.990745,1.308806,0,0,925
0.7862778,0.01195931,1.47025,4.206021,7.769607,1.186758,2.993945,0.02052122,-0.13519,0.9906071,1.339399,0,0,925
0.8062782,0.0142262,1.469506,4.210105,7.89752,1.128538,3.047795,0.01950864,-0.1374017,0.9903233,1.367449,0,0,925
0.8262787,0.01539922,1.468953,4.212315,7.952772,1.082331,3.03022,0.01870744,-0.1383568,0.9902058,1.343483,0,0,925
0.8462791,0.0177865,1.467836,4.2169,8.103132,1.022094,3.021695,0.01765987,-0.1409554,0.9898584,1.31522,0,0,925
0.8662758,0.01895761,1.46681,4.219515,8.197339,0.9764296,3.033027,0.01686698,-0.142583,0.9896391,1.291498,0,0,925
0.8862762,0.02021956,1.465775,4.222077,8.294199,0.8746766,3.0382,0.01510573,-0.144256,0.9894251,1.26362,0,0,925
0.9062767,0.02272916,1.463808,4.227911,8.416425,0.6970888,3.147783,0.01203517,-0.1463666,0.9891572,1.181343,0,0,925
0.9262772,0.02523708,1.46272,4.234531,8.546369,0.5149013,3.129496,0.008886816,-0.1486098,0.988856,1.042302,0,0,925
0.9462776,0.02633882,1.463028,4.238691,8.642388,0.4670346,3.071124,0.008058649,-0.1502668,0.9886127,0.8991814,0,0,925
0.9662781,0.02741337,1.463541,4.243094,8.766635,0.4219162,3.014677,0.007277731,-0.1524103,0.9882905,0.8681804,0,0,925
0.9862785,0.02837515,1.463257,4.24738,8.879012,0.4031218,2.877877,0.006951431,-0.1543485,0.987992,0.8400003,0,0,925
1.006279,0.03144431,1.461009,4.260225,9.430474,0.3335511,2.819643,0.005742855,-0.1638507,0.9864684,0.8362648,0,0,925
