time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.006881714,0.01754689,1.521921,4.136419,-0.03030396,0.2509807,3.074644,0.004380425,0.0005286396,0.9999903,179.6804,0,0,3935
0.02688599,0.01763606,1.521788,4.136699,0.04236927,0.3450585,3.050836,0.006022369,-0.0007394832,0.9999816,179.5146,0,0,3936
0.04688263,0.0177381,1.521643,4.136971,0.09604055,0.424394,3.047355,0.007406994,-0.001676223,0.9999712,179.4229,0,0,3937
0.06687927,0.01785445,1.521348,4.137913,0.1411125,0.6465707,3.031393,0.01128451,-0.002462875,0.9999333,179.346,0,0,3938
0.08688354,0.01788282,1.521413,4.138227,0.1164492,0.6799074,3.066507,0.01186632,-0.002032421,0.9999275,179.1336,0,0,3939
0.1068802,0.01778984,1.521583,4.138503,0.1353913,0.7349928,3.057498,0.01282766,-0.002363022,0.9999149,179.1017,0,0,3940
0.1268845,0.01772213,1.521725,4.138732,0.1397365,0.7641638,3.044265,0.01333674,-0.00243886,0.9999081,179.0498,0,0,3941
0.1468811,0.01761365,1.521609,4.139468,0.1544834,0.8397501,3.110371,0.01465583,-0.00269624,0.999889,179.0234,0,0,3942
0.1668854,0.01746249,1.521745,4.139612,0.1214354,0.7987489,3.142129,0.01394032,-0.002119446,0.9999006,178.9532,0,0,3943
0.186882,0.01731801,1.521907,4.139778,0.08892351,0.7574471,3.13127,0.01321954,-0.001552007,0.9999114,178.9938,0,0,3944
0.2068863,0.01715207,1.522005,4.139923,0.05748745,0.7467978,3.113532,0.01303371,-0.001003345,0.9999145,179.0357,0,1,3945
0.2268829,0.01681352,1.522097,4.140218,0.04738684,0.6842363,3.008356,0.01194189,-0.0008270562,0.9999284,179.0478,0,1,3946
0.2468796,0.01657653,1.522195,4.140387,0.0107218,0.6519411,2.946728,0.01137827,-0.0001871307,0.9999353,179.1122,0,1,3947
0.2668839,0.01636457,1.522275,4.14072,0.004471299,0.5633375,2.890808,0.009831937,-7.803889E-05,0.9999517,179.1464,0,1,3948
0.2868805,0.01627493,1.52206,4.141022,0.09047116,0.5186973,2.836416,0.009052842,-0.001579019,0.9999578,179.2333,0,1,3949
0.3068848,0.01635003,1.521921,4.141174,0.1468709,0.51795,2.832475,0.00903978,-0.002563378,0.9999558,179.2769,0,1,3950
0.3268814,0.01646137,1.521781,4.141344,0.1696592,0.5300764,2.804132,0.009251407,-0.002961108,0.9999528,179.2769,0,1,3951
0.3468857,0.01659656,1.521577,4.141483,0.2439707,0.5439616,2.75992,0.009493692,-0.004258079,0.9999459,179.2635,0,1,3952
0.3668823,0.01685762,1.521073,4.141693,0.4928001,0.5892059,2.743254,0.01028302,-0.008600879,0.9999101,179.248,0,1,3953
0.3868866,0.01713538,1.520705,4.141722,0.7001868,0.6344092,2.773306,0.01107148,-0.01222026,0.999864,179.2018,0,1,3954
0.4068832,0.01818633,1.519946,4.141387,1.036521,0.6660487,2.764408,0.01162258,-0.01808971,0.9997688,179.1547,0,1,3955
0.4268799,0.01867771,1.519806,4.141294,1.182487,0.7016855,2.738951,0.01224381,-0.02063683,0.999712,179.1098,0,1,3956
0.4468842,0.01921177,1.519742,4.141048,1.320379,0.7264315,2.736547,0.01267492,-0.02304293,0.9996541,179.0696,0,1,3957
0.4668808,0.02030802,1.519449,4.140481,1.518191,0.7738312,2.66278,0.01350075,-0.02649434,0.9995578,179.0381,0,1,3958
0.4868851,0.02111864,1.519507,4.140068,1.487594,0.7971388,2.59785,0.01390756,-0.02596051,0.9995662,178.9776,0,1,3959
0.5068817,0.02289796,1.519383,4.13918,1.208014,0.7847328,2.550525,0.0136927,-0.02108227,0.999684,178.9443,0,1,3960
0.526886,0.02393961,1.519297,4.138494,1.100897,0.7650488,2.55725,0.01334976,-0.0192131,0.9997263,178.931,0,1,3961
0.5468826,0.02602839,1.518914,4.136995,1.057144,0.7634284,2.531866,0.01332168,-0.0184496,0.999741,178.9354,0,1,3962
0.5668793,0.02728629,1.518682,4.136049,1.069443,0.7775009,2.543611,0.01356717,-0.01866423,0.9997337,178.9071,0,1,3963
0.5868835,0.02856994,1.518425,4.135027,1.107832,0.786958,2.584002,0.01373201,-0.0193341,0.9997188,178.8759,0,1,3964
0.6068802,0.03133178,1.517723,4.132632,1.241596,0.8034571,2.68924,0.01401922,-0.02166824,0.9996669,178.8489,0,1,3965
0.6268845,0.03428054,1.517048,4.130202,1.305123,0.83025,2.8017,0.01448633,-0.02277672,0.9996356,178.7944,0,1,3966
0.6468811,0.03588414,1.517032,4.128781,1.371577,0.8188881,2.911686,0.01428771,-0.02393624,0.9996114,178.7282,0,1,3967
0.6668854,0.03748417,1.516872,4.127407,1.440101,0.8031062,3.017869,0.01401196,-0.02513186,0.9995859,178.7164,0,1,3968
0.686882,0.03897095,1.516783,4.125781,1.529697,0.8083266,3.059453,0.01410247,-0.02669508,0.9995441,178.7088,0,1,3969
0.7068863,0.04355216,1.517476,4.121031,1.641992,0.7838297,3.20289,0.01367437,-0.02865425,0.9994959,178.6834,0,1,3970
0.7268829,0.0448091,1.51769,4.119137,1.565233,0.76656,3.182871,0.0133736,-0.02731506,0.9995374,178.6427,0,1,3971
0.7468796,0.04603028,1.517991,4.117021,1.51606,0.7846931,3.121314,0.01369026,-0.02645715,0.9995562,178.6417,0,1,3972
0.7668839,0.04734516,1.518354,4.11473,1.435654,0.8240293,3.132892,0.01437701,-0.02505427,0.9995827,178.6077,0,1,3973
0.7868805,0.04837799,1.518297,4.112214,1.322599,0.8624364,3.242735,0.01504778,-0.02308166,0.9996203,178.5521,0,1,3974
0.8068848,0.05121541,1.518159,4.103608,0.9161734,0.835116,3.533003,0.01457314,-0.01598956,0.9997659,178.5016,0,1,3975
0.8268814,0.05184031,1.51749,4.100005,0.7657048,0.8911139,3.482181,0.01555086,-0.01336367,0.9997898,178.4895,0,1,3976
0.8468857,0.05220246,1.516971,4.0961,0.732011,1.015896,3.400435,0.01772835,-0.01277565,0.9997612,178.428,0,1,3977
0.8668823,0.05245996,1.515943,4.09185,0.8124214,1.131977,3.332575,0.01975346,-0.01417895,0.9997044,178.3048,0,1,3978
0.8868866,0.05275369,1.514153,4.083055,1.092227,1.359143,3.2039,0.02371499,-0.0190618,0.999537,178.1914,0,1,3979
0.9068832,0.05217052,1.512251,4.072428,1.660874,1.717672,3.09932,0.02996195,-0.02898365,0.9991307,177.9728,0,1,3980
0.9268799,0.05148172,1.511002,4.066617,1.91517,1.922811,2.975061,0.03353434,-0.0334198,0.9988787,177.6413,0,1,3981
0.9468842,0.05071259,1.510252,4.060789,2.03821,2.160161,2.831987,0.03766916,-0.03556597,0.9986572,177.4566,0,1,3982
0.9668808,0.04900169,1.50834,4.048976,2.27482,2.604309,2.581228,0.0454023,-0.03969267,0.9981799,177.2422,0,1,3983
0.9868851,0.04771233,1.507748,4.04268,2.30872,2.864695,2.405673,0.04993696,-0.04028387,0.9979396,176.8446,0,1,3984
1.006882,0.04443192,1.505876,4.029302,2.175018,3.401011,2.050505,0.05928125,-0.03795211,0.9975196,176.6153,0,1,3985
1.026886,0.0426569,1.504187,4.022213,2.145935,3.710388,1.978587,0.06466784,-0.03744488,0.9972041,176.1515,0,1,3986
1.046883,0.03890705,1.501358,4.008222,2.104373,4.26569,1.784639,0.07433143,-0.03671998,0.9965573,175.882,0,1,3987
1.066879,0.03693318,1.500708,4.001228,2.15012,4.560974,1.773128,0.07946399,-0.03751786,0.9961315,175.4055,0,1,3988
1.086884,0.03499293,1.49993,3.994279,2.10048,4.851918,1.693068,0.08452395,-0.03665208,0.9957471,175.1519,0,1,3989
1.10688,0.03170395,1.501539,3.981376,2.092799,5.526391,1.684513,0.09623999,-0.03651811,0.994688,174.9016,0,1,3990
1.126884,0.02852893,1.501667,3.967946,1.804798,6.148778,1.571739,0.1070574,-0.03149446,0.9937539,174.3044,0,1,3991
1.146881,0.02733302,1.500565,3.960931,1.491454,6.445159,1.616129,0.1122141,-0.02602785,0.9933431,173.7549,0,1,3992
1.166885,0.02631116,1.499605,3.953521,1.489082,6.662459,1.721551,0.1159808,-0.02598645,0.9929115,173.4887,0,1,3993
1.186882,0.02538586,1.500012,3.9464,1.814715,6.802885,1.845931,0.1183946,-0.03166746,0.9924616,173.2955,0,1,3994
1.206886,0.02342081,1.505762,3.92519,2.524211,7.047172,1.989387,0.1225674,-0.04404154,0.9914825,173.1741,0,1,3995
1.226883,0.0224998,1.503603,3.917233,2.662004,7.103345,1.663203,0.123526,-0.04644402,0.9912539,172.9675,0,1,3996
