time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.001006126,-0.07455152,1.532068,3.889109,2.469018,-3.953918,3.43695,-0.06889012,-0.04307915,0.9966937,2.986817,0,0,165
0.02100563,-0.07441595,1.532097,3.889217,2.469111,-3.899048,3.466617,-0.06793582,-0.04308078,0.9967591,4.992888,0,0,165
0.04100609,-0.07429248,1.532073,3.889333,2.508992,-3.838074,3.40417,-0.06687289,-0.04377617,0.9968007,4.9361,0,0,165
0.06100559,-0.07422888,1.53202,3.889418,2.585239,-3.757568,3.318746,-0.06546817,-0.04510563,0.9968347,4.87343,0,0,165
0.08100605,-0.07416132,1.531864,3.889504,2.749606,-3.588318,3.197923,-0.06251487,-0.04797126,0.9968905,4.792074,0,0,165
0.1010065,-0.0740373,1.531748,3.88959,2.909766,-3.490753,3.16957,-0.06080876,-0.05076317,0.9968578,4.621944,0,0,165
0.121006,-0.07400368,1.531603,3.889701,3.013065,-3.474213,3.235544,-0.06051527,-0.05256366,0.9967823,4.522683,0,0,165
0.1410065,-0.07396661,1.531467,3.889845,3.084862,-3.462921,3.282649,-0.06031509,-0.05381498,0.9967276,4.505587,0,0,165
0.161006,-0.07394215,1.531409,3.889985,3.148309,-3.460144,3.314821,-0.06026293,-0.05492072,0.9966705,4.493878,0,0,165
0.1810064,-0.07382819,1.531274,3.89028,3.24237,-3.382507,3.28299,-0.05890692,-0.05655983,0.9966599,4.49087,0,0,165
0.2010059,-0.07370767,1.531147,3.890583,3.336698,-3.319214,3.257202,-0.05780076,-0.05820346,0.99663,4.41162,0,0,165
0.2210064,-0.07366472,1.53116,3.890785,3.296982,-3.304932,3.283096,-0.05755451,-0.05751144,0.9966844,4.346768,0,0,165
0.2410059,-0.07361737,1.531173,3.891025,3.262599,-3.299744,3.307946,-0.05746637,-0.05691233,0.9967239,4.331829,0,0,165
0.2610064,-0.07349035,1.531217,3.891538,3.233325,-3.266846,3.342102,-0.05689557,-0.05640222,0.9967857,4.326128,0,0,165
0.2810059,-0.0733567,1.531277,3.891936,3.1652,-3.227875,3.317387,-0.05622144,-0.05521508,0.9968904,4.291719,0,0,165
0.3010063,-0.07331276,1.531334,3.89214,3.149171,-3.217346,3.269419,-0.0560391,-0.05493573,0.9969161,4.25091,0,0,165
0.3210058,-0.0732834,1.531327,3.892375,3.162153,-3.202118,3.241996,-0.05577343,-0.05516196,0.9969185,4.239839,0,0,165
0.3410063,-0.07326426,1.531266,3.89258,3.18256,-3.197632,3.231036,-0.0556941,-0.0555176,0.9969032,4.22429,0,0,165
0.3610058,-0.07328407,1.531197,3.89302,3.17994,-3.216858,3.196307,-0.05602902,-0.05547194,0.996887,4.219512,0,0,165
0.3810062,-0.07332237,1.531091,3.893143,3.189356,-3.253693,3.217854,-0.05666943,-0.05563602,0.9968416,4.239146,0,0,165
0.4010057,-0.07336636,1.531011,3.893275,3.208887,-3.29895,3.242096,-0.05745537,-0.05597636,0.9967776,4.276496,0,0,165
0.4210062,-0.07346325,1.530961,3.893425,3.223546,-3.359833,3.260546,-0.0585137,-0.05623181,0.9967016,4.322459,0,0,165
0.4410057,-0.07353233,1.530929,3.893564,3.214723,-3.383698,3.239196,-0.05892941,-0.05607806,0.9966858,4.384677,0,0,165
0.4610062,-0.07357974,1.530714,3.89372,3.268652,-3.456451,3.25493,-0.06019193,-0.0570178,0.996557,4.409533,0,0,165
0.4810057,-0.07354645,1.530476,3.893609,3.3202,-3.473145,3.253427,-0.06047923,-0.057916,0.9964879,4.482968,0,0,165
0.5010061,-0.07347672,1.530245,3.893482,3.372849,-3.467407,3.254244,-0.06037592,-0.05883332,0.9964404,4.499236,0,0,165
0.5210056,-0.07341966,1.530086,3.89338,3.423134,-3.444824,3.257571,-0.05998012,-0.05970942,0.9964122,4.492526,0,0,165
0.5410061,-0.07330871,1.529808,3.893116,3.529778,-3.43222,3.261975,-0.05975397,-0.06156728,0.9963127,4.469008,0,0,165
0.5610056,-0.07318497,1.529536,3.892225,3.830789,-3.375854,3.207474,-0.05875406,-0.06681009,0.9960343,4.454917,0,0,165
0.5810061,-0.07308762,1.529383,3.891308,3.981624,-3.328461,3.160771,-0.05791964,-0.06943654,0.9959036,4.396633,0,0,165
