time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.0100708,-0.05657446,1.538842,4.165406,1.14515,-4.884857,2.720253,-0.08513659,-0.0199853,0.9961689,2.857184,0,0,4307
0.03005981,-0.05645597,1.538888,4.165432,1.11324,-4.821503,2.695848,-0.08403598,-0.01942849,0.9962733,174.5534,0,0,4308
0.05006409,-0.05625439,1.53893,4.165447,1.062225,-4.672058,2.702442,-0.08143861,-0.01853825,0.9965059,174.6153,0,0,4309
0.07006836,-0.05616307,1.539026,4.165431,1.038221,-4.644196,2.743538,-0.08095474,-0.01811939,0.9965531,174.7603,0,1,4310
0.09007263,-0.05598783,1.539137,4.16545,0.9870729,-4.546051,2.785867,-0.07924878,-0.01722682,0.996706,174.7881,0,1,4311
0.1100616,-0.05591667,1.539144,4.165446,0.9475591,-4.509583,2.823631,-0.07861486,-0.01653727,0.9967679,174.8839,0,1,4312
0.1300659,-0.05585122,1.539172,4.165359,0.9466586,-4.484833,2.846709,-0.0781845,-0.01652156,0.996802,174.9195,0,1,4313
0.1500702,-0.05583942,1.5392,4.165282,0.9729345,-4.492828,2.877858,-0.0783229,-0.01698009,0.9967834,174.9439,0,1,4314
0.1700592,-0.05580795,1.539237,4.165175,0.9769953,-4.492065,2.875047,-0.07830948,-0.01705096,0.9967833,174.9366,0,1,4315
0.1900635,-0.05583692,1.539249,4.165113,0.9646804,-4.496796,2.882075,-0.07839221,-0.01683605,0.9967804,174.9377,0,1,4316
0.2100677,-0.0559181,1.539366,4.165044,0.9862767,-4.575195,2.877885,-0.07975548,-0.01721293,0.9966658,174.9329,0,1,4317
0.230072,-0.05598891,1.53938,4.165035,1.005174,-4.625885,2.819756,-0.08063678,-0.01754269,0.9965892,174.8572,0,1,4318
0.250061,-0.05609894,1.539336,4.164974,1.018405,-4.681976,2.747646,-0.08161201,-0.01777359,0.9965057,174.8081,0,1,4319
0.2700653,-0.05618274,1.539139,4.164904,1.041828,-4.734406,2.741823,-0.08252323,-0.01818233,0.9964232,174.7531,0,1,4320
0.2900696,-0.0562402,1.53909,4.164842,1.060967,-4.779205,2.734251,-0.08330187,-0.01851632,0.9963523,174.7021,0,1,4321
0.3100586,-0.05629492,1.53902,4.164779,1.090535,-4.806641,2.744957,-0.08377817,-0.01903227,0.9963027,174.6588,0,1,4322
0.3300629,-0.05638993,1.538886,4.164694,1.099248,-4.848877,2.741152,-0.08451211,-0.01918432,0.9962378,174.6319,0,1,4323
0.3500671,-0.0563941,1.538746,4.164703,1.116353,-4.7836,2.724235,-0.08337681,-0.01948281,0.9963276,174.5903,0,1,4324
0.3700714,-0.05635011,1.538613,4.164716,1.156997,-4.71344,2.719981,-0.08215547,-0.02019203,0.996415,174.6524,0,1,4325
0.3900604,-0.05631721,1.5383,4.164732,1.266109,-4.645752,2.749838,-0.08097482,-0.02209597,0.9964712,174.7197,0,1,4326
0.4100647,-0.05626738,1.538083,4.164777,1.368151,-4.58078,2.795733,-0.07984199,-0.02387647,0.9965215,174.7846,0,1,4327
0.430069,-0.05616641,1.537957,4.164933,1.406161,-4.498535,2.854516,-0.07841016,-0.02453968,0.9966191,174.8469,0,1,4328
0.450058,-0.05603206,1.537665,4.165154,1.39196,-4.460632,2.897403,-0.07775139,-0.0242919,0.9966768,174.9265,0,1,4329
0.4700623,-0.05562913,1.53711,4.166102,1.512106,-4.387207,3.083712,-0.0764696,-0.02638815,0.9967226,174.9644,0,1,4330
0.4900665,-0.05520201,1.536784,4.166812,1.652151,-4.3591,3.117919,-0.07597578,-0.02883147,0.9966927,175.0399,0,1,4331
0.5100708,-0.05491984,1.536232,4.167155,1.748112,-4.3284,3.120997,-0.07543796,-0.03050557,0.9966838,175.0724,0,1,4332
0.5300598,-0.05459261,1.535939,4.167541,1.907317,-4.2948,3.176641,-0.07484683,-0.03328281,0.9966394,175.1055,0,1,4333
0.5500641,-0.05378151,1.535444,4.168494,2.194637,-4.279449,3.302808,-0.07456641,-0.03829428,0.9964805,175.1422,0,1,4334
0.5700684,-0.05294883,1.534791,4.169511,2.464655,-4.227234,3.388802,-0.07364398,-0.04300307,0.996357,175.1681,0,1,4335
0.5900726,-0.052495,1.534272,4.170186,2.591128,-4.171021,3.437745,-0.0726594,-0.0452083,0.9963317,175.2294,0,1,4336
0.6100616,-0.05192101,1.533827,4.170892,2.747966,-4.123199,3.541406,-0.07181887,-0.04794267,0.9962648,175.2891,0,1,4337
0.6300659,-0.0512464,1.533561,4.171732,2.949118,-4.01535,3.62823,-0.06993086,-0.05144909,0.9962242,175.3426,0,1,4338
0.6500702,-0.04891014,1.531558,4.17407,3.650151,-3.30899,4.058598,-0.05760364,-0.06366407,0.9963076,175.4546,0,1,4339
0.6700592,-0.04806733,1.530565,4.174854,4.122373,-2.915802,4.321347,-0.05073655,-0.07188691,0.9961215,176.1588,0,1,4340
0.6900635,-0.04703307,1.529916,4.175736,4.568219,-2.563568,4.603061,-0.04458553,-0.07964602,0.9958256,176.5444,0,1,4341
0.7100677,-0.04603255,1.529557,4.176629,4.923232,-2.158539,4.822204,-0.03752576,-0.0858209,0.9956036,176.8937,0,1,4342
0.730072,-0.04512858,1.529275,4.177667,5.087262,-1.679657,4.902113,-0.02919567,-0.08867285,0.9956328,177.2929,0,1,4343
0.750061,-0.04205644,1.527808,4.180579,5.498626,-0.1699829,5.142909,-0.002953154,-0.09582189,0.9953941,177.7604,0,1,4344
0.7700653,-0.04093599,1.527682,4.181492,5.600795,0.4429466,5.212158,0.007693895,-0.0975967,0.9951963,179.2392,0,1,4345
0.7900696,-0.03995323,1.527857,4.182331,5.634542,0.9370772,5.19113,0.01627534,-0.09818287,0.9950353,179.8381,0,1,4346
0.8100586,-0.03903365,1.52792,4.183066,5.599132,1.385474,5.010542,0.02406337,-0.09756782,0.9949379,179.6798,0,1,4347
0.8300629,-0.03812528,1.527907,4.183841,5.525138,1.883374,4.774179,0.03271247,-0.09628247,0.9948164,179.24,0,1,4348
0.8500671,-0.03550887,1.527914,4.18626,5.215545,3.454213,4.509267,0.06000142,-0.09090276,0.9940506,178.7542,0,1,4349
0.8700714,-0.0350163,1.528005,4.18693,5.075848,3.867102,4.57593,0.06717795,-0.08847442,0.9938105,177.2241,0,1,4350
0.8900604,-0.03458416,1.52801,4.187551,4.973938,4.166103,4.773399,0.0723746,-0.08670261,0.9936018,176.8249,0,1,4351
0.9100647,-0.03431404,1.52804,4.188177,4.867569,4.353277,4.979901,0.07563218,-0.08485296,0.9935189,176.5346,0,1,4352
0.930069,-0.03382123,1.527956,4.18941,4.678187,4.85926,5.225919,0.08442625,-0.08155908,0.9930863,176.353,0,1,4353
0.950058,-0.03414094,1.527829,4.190581,4.743497,5.105151,5.814824,0.08867907,-0.0826951,0.9926215,175.8654,0,1,4354
0.9700623,-0.03448653,1.527968,4.191217,4.772462,5.041999,6.142453,0.08758125,-0.08319889,0.9926769,175.6364,0,1,4355
0.9900665,-0.03494251,1.528408,4.191883,4.59813,4.917036,6.411301,0.08543728,-0.08016639,0.9931132,175.7014,0,1,4356
1.010071,-0.03565967,1.529192,4.193153,4.075549,4.763203,6.842934,0.08282787,-0.07107178,0.9940263,175.8269,0,1,4357
1.03006,-0.03585672,1.529642,4.193599,3.674421,4.721437,7.130705,0.0821422,-0.06408679,0.994558,175.9837,0,1,4358
1.050064,-0.03636003,1.529806,4.194291,3.135648,5.064657,7.817739,0.08814771,-0.05470007,0.9946044,176.0264,0,1,4359
1.070068,-0.03650188,1.529881,4.194528,2.963527,5.24322,8.289268,0.09126158,-0.05170024,0.994484,175.7077,0,1,4360
1.090073,-0.03671122,1.530122,4.195202,2.520462,5.656053,9.21074,0.09846116,-0.04397617,0.9941688,175.5402,0,1,4361
1.110062,-0.03682756,1.530044,4.19558,2.33457,6.071171,9.705626,0.105676,-0.04073466,0.9935659,175.151,0,1,4362
1.130066,-0.03694999,1.529747,4.195759,2.318442,6.557815,10.17429,0.1141123,-0.04045341,0.9926439,174.7584,0,1,4363
1.15007,-0.03704607,1.529114,4.196032,2.460713,7.552217,11.07637,0.1313085,-0.04293434,0.9904114,174.2977,0,1,4364
1.170059,-0.03701162,1.528581,4.196364,2.551506,8.578303,12.06592,0.1490131,-0.04451745,0.9878326,173.3541,0,1,4365
1.190063,-0.03710759,1.528376,4.19662,2.648512,9.173557,12.5748,0.1592553,-0.0462088,0.9861554,172.3784,0,1,4366
1.210068,-0.03711236,1.528404,4.196842,2.729387,9.692162,13.05042,0.1681636,-0.04761878,0.9846083,171.814,0,1,4367
1.230072,-0.03718328,1.528328,4.197062,2.802931,10.17565,13.47654,0.1764551,-0.04890086,0.9830932,171.3211,0,1,4368
1.250061,-0.03729081,1.527824,4.197578,2.831545,11.49031,14.21961,0.198959,-0.04939968,0.978762,170.8624,0,1,4369
1.270065,-0.03740013,1.527901,4.197741,2.813994,11.91616,14.14514,0.2062312,-0.04909372,0.977271,169.6142,0,1,4370
1.29007,-0.0376004,1.528129,4.197919,2.670408,12.18978,13.93075,0.2109212,-0.04659053,0.9763921,169.2109,0,1,4371
1.310059,-0.03791583,1.528399,4.198093,2.500968,12.35279,13.68024,0.2137268,-0.04363626,0.9759184,168.9536,0,1,4372
