time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.001484871,0.01087856,1.511484,4.111564,6.008271,9.006935,0.8538892,0.155694,-0.104672,0.982244,18.61709,0,0,113
0.02148533,0.0109334,1.511441,4.111758,6.008139,8.998836,0.8438194,0.1555552,-0.1046697,0.9822662,9.167204,0,0,114
0.04148483,0.01098287,1.511413,4.11195,6.033015,8.985157,0.8349958,0.1553136,-0.1051015,0.9822583,9.159913,0,0,115
0.06148529,0.0110321,1.511386,4.112188,6.051814,8.965273,0.817026,0.1549673,-0.1054278,0.982278,9.147011,0,0,116
0.08148479,0.01120865,1.511135,4.112827,6.097464,8.921738,0.7878533,0.1542078,-0.10622,0.9823122,9.127872,0,0,117
0.1014853,0.01127684,1.510999,4.113084,6.133091,8.908086,0.7857302,0.1539635,-0.1068383,0.9822835,9.086964,0,0,118
0.1214848,0.01133525,1.510882,4.113346,6.199487,8.898411,0.7969306,0.1537784,-0.1079905,0.9821865,9.074306,0,0,119
0.1414852,0.01140428,1.510779,4.113624,6.237712,8.909444,0.7885857,0.1539563,-0.1086537,0.9820855,9.065488,0,0,120
0.1614847,0.01161313,1.510525,4.114443,6.313323,8.901299,0.8177016,0.1537944,-0.1099654,0.9819648,9.077553,0,0,121
0.1814852,0.01168156,1.510478,4.114769,6.362775,8.891083,0.8254885,0.1536046,-0.1108233,0.9818981,9.07253,0,0,122
0.2014847,0.01179516,1.510485,4.115087,6.384563,8.860874,0.8337939,0.1530804,-0.1112012,0.9819372,9.063343,0,1,123
0.2214851,0.01175678,1.510514,4.115461,6.38331,8.874843,0.8215725,0.1533201,-0.1111795,0.9819023,9.034833,0,1,124
0.2414846,0.011832,1.510523,4.115815,6.368797,8.862655,0.8204897,0.1531156,-0.1109277,0.9819627,9.048241,0,1,125
0.2614851,0.01211011,1.510504,4.116936,6.327923,8.834907,0.8098393,0.1526521,-0.1102187,0.9821147,9.037203,0,1,126
