time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.005376816,-0.01416367,1.534577,4.142152,2.374112,11.25983,3.692537,0.195091,-0.04142421,0.97991,5.003746,0,0,519
0.02537727,-0.01464641,1.534643,4.141726,2.337861,10.96278,3.631415,0.1900129,-0.04079205,0.9809338,169.4918,0,0,520
0.04537773,-0.01514095,1.534583,4.141301,2.310867,10.65389,3.560488,0.1847254,-0.04032131,0.9819627,169.7812,0,0,521
0.06537628,-0.01628792,1.534778,4.140453,2.271781,10.02397,3.446108,0.1739234,-0.03963967,0.983961,170.082,0,0,522
0.08537674,-0.01690787,1.535011,4.14006,2.203935,9.680009,3.357156,0.1680211,-0.03845643,0.985033,170.6974,0,0,523
0.1053772,-0.01751947,1.535132,4.139663,2.11224,9.318233,3.268982,0.1618079,-0.0368572,0.9861338,171.0333,0,0,524
0.1253777,-0.01883852,1.535264,4.138807,2.000769,8.607578,3.12298,0.1495749,-0.03491291,0.9881338,171.3861,0,0,525
0.1453762,-0.02046484,1.535094,4.138081,1.9864,7.759562,2.977192,0.1349352,-0.03466228,0.990248,172.0806,0,0,526
0.1653767,-0.02120364,1.535101,4.13768,2.041916,7.311076,2.898951,0.1271755,-0.03563061,0.99124,172.9101,0,1,527
0.1853771,-0.0219897,1.535248,4.137303,2.051112,6.881603,2.833303,0.1197413,-0.03579101,0.9921598,173.347,0,1,528
0.2053776,-0.02354687,1.53533,4.136517,2.006913,6.025256,2.692244,0.1049025,-0.03502008,0.9938657,173.7665,0,1,529
0.2253761,-0.02438289,1.535455,4.136193,1.991678,5.613522,2.646091,0.09775869,-0.03475435,0.9946031,174.6028,0,1,530
0.2453766,-0.02565527,1.535443,4.135432,1.990268,4.875326,2.506729,0.08493659,-0.03472975,0.9957809,175.006,0,1,531
0.265377,-0.02691847,1.535349,4.134706,2.017113,4.330126,2.44831,0.07545625,-0.035198,0.9965277,175.7259,0,1,532
0.2853775,-0.02743524,1.535289,4.13436,2.054559,4.089171,2.471512,0.0712631,-0.03585113,0.9968131,176.2621,0,1,533
0.3053761,-0.02783108,1.53537,4.134011,2.13834,3.839006,2.525635,0.06690655,-0.0373124,0.9970613,176.4984,0,1,534
0.3253765,-0.02834034,1.535345,4.133736,2.186682,3.63546,2.542046,0.06336202,-0.03815554,0.9972609,176.7419,0,1,535
0.345377,-0.02908236,1.535307,4.13359,2.164398,3.416072,2.553127,0.05954389,-0.03776689,0.997511,176.9426,0,1,536
0.3653774,-0.03138834,1.535715,4.133222,2.066954,2.32363,2.652924,0.04051749,-0.03606733,0.9985276,177.1616,0,1,537
0.385376,-0.03241092,1.535716,4.133161,2.045763,1.817931,2.578235,0.03170333,-0.03569771,0.9988596,178.233,0,1,538
0.4053764,-0.03342175,1.535669,4.133111,2.072957,1.33688,2.505234,0.02331558,-0.03617202,0.9990736,178.728,0,1,539
0.4253769,-0.03448898,1.535667,4.13317,2.098425,0.8637463,2.406068,0.01506454,-0.03661624,0.9992158,179.1994,0,1,540
0.4453773,-0.03643733,1.535781,4.133304,2.088773,-0.09692383,2.319,-0.001690482,-0.03644789,0.9993341,179.6649,0,1,541
0.4653759,-0.03851497,1.535589,4.133809,2.084289,-1.200439,2.344485,-0.0209361,-0.03636967,0.9991191,179.3945,0,1,542
0.4853764,-0.03938872,1.535368,4.134151,2.11205,-1.724731,2.330695,-0.03007736,-0.03685388,0.9988679,178.3159,0,1,543
0.5053768,-0.04015249,1.535206,4.134461,2.173468,-2.185303,2.262262,-0.03810404,-0.03792507,0.9985538,177.805,0,1,544
0.5253773,-0.0409146,1.535122,4.134933,2.195999,-2.538971,2.214126,-0.04426647,-0.03831803,0.9982846,177.3562,0,1,545
0.5453777,-0.04236531,1.535036,4.13587,2.257574,-3.2883,2.193193,-0.0573155,-0.0393919,0.9975787,177.0091,0,1,546
0.5653763,-0.0432108,1.534636,4.136988,2.398701,-3.74884,2.218535,-0.06532566,-0.04185301,0.9969859,176.276,0,1,547
0.5853767,-0.04352629,1.534695,4.137727,2.430278,-3.849396,2.172647,-0.06707365,-0.04240363,0.9968466,175.8261,0,1,548
0.6053772,-0.0437265,1.534678,4.138583,2.414412,-3.886078,2.122692,-0.06771287,-0.04212697,0.9968151,175.7258,0,1,549
0.6253777,-0.04409772,1.534275,4.140247,2.427718,-4.051544,2.082574,-0.07059038,-0.04235899,0.9966056,175.6881,0,1,550
0.6453762,-0.04409784,1.53405,4.141151,2.490873,-3.965179,2.096249,-0.06908497,-0.04346023,0.9966637,175.5253,0,1,551
0.6653767,-0.0439623,1.533932,4.143376,2.537087,-3.786774,2.127711,-0.06597888,-0.04426605,0.9968386,175.6073,0,1,552
0.6853771,-0.04387414,1.533777,4.144546,2.534242,-3.650116,2.131339,-0.06360115,-0.04421645,0.9969954,175.7786,0,1,553
0.7053776,-0.04359043,1.533392,4.147034,2.563427,-3.45813,2.149253,-0.06025891,-0.04472531,0.9971803,175.9097,0,1,554
0.7253761,-0.04331696,1.533229,4.148512,2.576651,-3.31012,2.2004,-0.05768176,-0.04495589,0.9973223,176.0959,0,1,555
0.7453766,-0.04314291,1.533179,4.150078,2.582262,-3.154449,2.192062,-0.0549716,-0.04505372,0.9974709,176.2405,0,1,556
0.765377,-0.04252994,1.533048,4.153468,2.51622,-2.852936,2.1552,-0.04972446,-0.0439022,0.9977976,176.3908,0,1,557
0.7853775,-0.04217529,1.532929,4.155371,2.482629,-2.730896,2.164249,-0.0476002,-0.04331649,0.9979268,176.6856,0,1,558
0.8053761,-0.04145414,1.53275,4.159221,2.472448,-2.516571,2.169685,-0.04386738,-0.04313897,0.9981055,176.8065,0,1,559
0.8253765,-0.04089284,1.53228,4.161377,2.465087,-2.441711,2.182832,-0.04256347,-0.0430106,0.9981675,177.02,0,1,560
0.845377,-0.03962082,1.53222,4.166142,2.487904,-2.370453,2.294694,-0.04132128,-0.04340846,0.9982025,177.0989,0,1,561
0.8653774,-0.03879905,1.531678,4.168581,2.496368,-2.44223,2.390683,-0.04257137,-0.04355606,0.9981436,177.1843,0,1,562
0.885376,-0.03720039,1.530974,4.173657,2.520489,-2.495605,2.496431,-0.0435009,-0.04397664,0.998085,177.1272,0,1,563
0.9053764,-0.03617835,1.530676,4.17659,2.515232,-2.567413,2.505034,-0.04475148,-0.04388498,0.9980338,177.0988,0,1,564
0.9253769,-0.03505683,1.530317,4.179694,2.446532,-2.64386,2.499681,-0.0460858,-0.04268705,0.998025,177.0448,0,1,565
0.9453773,-0.03263348,1.529679,4.186067,2.388942,-2.804596,2.561091,-0.04888731,-0.04168283,0.9979342,176.988,0,1,566
0.9653759,-0.02990031,1.528222,4.192408,2.451726,-2.915985,2.673154,-0.05082488,-0.04277763,0.997791,176.8691,0,1,567
0.9853764,-0.02834171,1.527074,4.195626,2.553204,-2.940948,2.753499,-0.05125593,-0.04454706,0.9976915,176.8018,0,1,568
1.005377,-0.02686501,1.526215,4.198849,2.651212,-2.943054,2.769838,-0.05128866,-0.04625585,0.9976121,176.8002,0,1,569
