time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01107693,-0.09610558,1.558566,4.055212,-0.6736145,-6.392822,1.169997,-0.1113367,0.01175663,0.9937132,0.1594904,0,0,231
0.03107643,-0.09607029,1.558532,4.055383,-0.6656494,-6.39743,1.152382,-0.1114169,0.01161772,0.9937059,7.788404,0,0,232
0.05107689,-0.09601903,1.558462,4.055712,-0.6390076,-6.416931,1.130887,-0.1117555,0.0111525,0.9936731,7.792587,0,0,233
0.07107639,-0.09601498,1.558434,4.055902,-0.6353149,-6.42511,1.127225,-0.1118975,0.01108802,0.9936579,7.811479,0,0,234
0.09107685,-0.09603238,1.558417,4.056092,-0.6426697,-6.427155,1.120806,-0.1119327,0.01121665,0.9936525,7.819641,0,0,235
0.1110764,-0.09603667,1.558356,4.056597,-0.6155701,-6.432739,1.109494,-0.1120303,0.01074375,0.9936467,7.822,0,0,236
0.1310768,-0.09605408,1.558281,4.056779,-0.5718689,-6.419678,1.132477,-0.1118045,0.009980597,0.9936801,7.827845,0,0,237
0.1510763,-0.09605145,1.558248,4.056991,-0.5496521,-6.416687,1.143704,-0.1117532,0.009592873,0.9936897,7.815096,0,0,238
0.1710768,-0.09603858,1.55826,4.05722,-0.5654907,-6.411774,1.146186,-0.1116678,0.009869343,0.9936966,7.812158,0,0,239
0.1910763,-0.09605002,1.558258,4.057474,-0.5840759,-6.398621,1.145443,-0.111439,0.01019411,0.993719,7.807106,0,0,240
0.2110767,-0.0960412,1.558127,4.058156,-0.5451965,-6.390472,1.149156,-0.1112988,0.009515107,0.9937415,7.794248,0,0,241
0.2310772,-0.09606886,1.558131,4.058436,-0.5316772,-6.377625,1.142637,-0.1110759,0.00927939,0.9937686,7.786186,0,1,242
0.2510767,-0.0960989,1.558142,4.058709,-0.5350037,-6.376434,1.138774,-0.1110555,0.009337489,0.9937704,7.773824,0,1,243
0.2710772,-0.09615183,1.558098,4.058953,-0.5254822,-6.375946,1.153413,-0.1110469,0.009171401,0.9937729,7.773193,0,1,244
0.2910767,-0.09633875,1.557893,4.059642,-0.4092407,-6.38562,1.176502,-0.1112165,0.007142398,0.9937705,7.773521,0,1,245
0.3110771,-0.09643793,1.557863,4.059906,-0.392395,-6.388702,1.16168,-0.1112702,0.006848288,0.9937666,7.786186,0,1,246
0.3310766,-0.09657478,1.557886,4.060181,-0.3857117,-6.385223,1.150043,-0.1112099,0.006731727,0.9937741,7.790798,0,1,247
0.3510771,-0.09671974,1.55787,4.060464,-0.3658752,-6.406891,1.152867,-0.1115862,0.006385773,0.9937342,7.789387,0,1,248
0.3710766,-0.09697628,1.557929,4.060821,-0.3627625,-6.422821,1.189281,-0.1118625,0.006331284,0.9937035,7.813263,0,1,249
0.391077,-0.09761763,1.558091,4.062166,-0.4410706,-6.458984,1.241214,-0.1124887,0.007697991,0.9936232,7.833084,0,1,250
0.4110765,-0.0979116,1.557976,4.062795,-0.524292,-6.460846,1.222451,-0.1125193,0.009150519,0.9936074,7.879007,0,1,251
0.431077,-0.0982976,1.557826,4.06335,-0.5406189,-6.463898,1.193809,-0.1125722,0.00943523,0.9935988,7.885382,0,1,252
0.4510765,-0.09860778,1.557597,4.063842,-0.47229,-6.492615,1.194746,-0.1130716,0.008242858,0.9935526,7.894239,0,1,253
0.471077,-0.09983611,1.556966,4.065578,-0.190094,-6.561035,1.248823,-0.1142612,0.003317695,0.9934452,7.927686,0,1,254
0.4910765,-0.100316,1.556807,4.066226,-0.07342529,-6.610687,1.29717,-0.1151226,0.001281744,0.9933504,8.014619,0,1,255
0.5110769,-0.1010036,1.556663,4.066922,0.01556504,-6.66745,1.36133,-0.1161066,-0.0002716612,0.9932367,8.071514,0,1,256
0.5310764,-0.1016893,1.556522,4.067544,0.09954225,-6.759491,1.429808,-0.1177017,-0.001737339,0.9930475,8.138514,0,1,257
0.5510769,-0.1024039,1.556501,4.068215,0.1891066,-6.863464,1.504141,-0.1195032,-0.003300527,0.9928283,8.240787,0,1,258
0.5710764,-0.104773,1.556199,4.070399,0.3738065,-7.207855,1.691605,-0.1254665,-0.006524111,0.9920764,8.355409,0,1,259
0.5910769,-0.1058216,1.556439,4.071284,0.3804852,-7.389008,1.738948,-0.1286024,-0.00664067,0.991674,8.735116,0,1,260
0.6110764,-0.1069489,1.556533,4.07225,0.2844523,-7.638031,1.726912,-0.1329128,-0.00496461,0.9911153,8.93193,0,1,261
0.6310768,-0.1081586,1.556661,4.073331,0.1643569,-7.951508,1.748293,-0.1383342,-0.002868566,0.9903814,9.197764,0,1,262
0.6510763,-0.1094775,1.556626,4.074474,0.05744524,-8.267517,1.756367,-0.1437952,-0.001002608,0.989607,9.529307,0,1,263
0.6710768,-0.1137328,1.556509,4.078112,-0.04507446,-9.224579,1.643818,-0.1603044,0.000786863,0.9870673,9.865018,0,1,264
0.6910763,-0.1153703,1.556519,4.079571,-0.02423096,-9.59967,1.564006,-0.1667633,0.0004227471,0.9859968,10.88566,0,1,265
0.7110767,-0.1170244,1.556336,4.081157,-0.0352478,-9.973236,1.494425,-0.1731882,0.0006151674,0.9848886,11.28528,0,1,266
0.7310772,-0.1189303,1.556263,4.082757,-0.08157349,-10.35345,1.468465,-0.1797198,0.001423802,0.9837168,11.6837,0,1,267
0.7510767,-0.1208725,1.555994,4.084444,-0.1228333,-10.77496,1.494129,-0.1869516,0.002143702,0.9823668,12.09245,0,1,268
0.7710772,-0.127012,1.555214,4.090135,-0.1712036,-12.07001,1.55873,-0.2091058,0.002988224,0.9778885,12.54313,0,1,269
0.7910767,-0.1292682,1.554675,4.092258,-0.1000671,-12.48697,1.579983,-0.2162175,0.001746713,0.9763437,13.93062,0,1,270
0.8110771,-0.1315627,1.554283,4.094455,0.007480431,-12.87024,1.569414,-0.2227436,-0.0001305582,0.9748771,14.38164,0,1,271
0.8310766,-0.1339231,1.55387,4.096765,0.110535,-13.22766,1.581402,-0.2288204,-0.001929199,0.9734668,14.79958,0,1,272
0.8510771,-0.1409268,1.552349,4.103962,0.4532254,-14.21552,1.625023,-0.2455623,-0.007910192,0.9693485,15.19275,0,1,273
0.8710766,-0.1432607,1.551635,4.106719,0.6130641,-14.39825,1.58778,-0.2486461,-0.01069978,0.9685353,16.28709,0,1,274
0.891077,-0.1455379,1.550965,4.109474,0.7744148,-14.54388,1.606799,-0.2510983,-0.01351568,0.9678673,16.5056,0,1,275
0.9110765,-0.1477916,1.550244,4.112432,0.873814,-14.64725,1.618841,-0.252838,-0.01525034,0.9673884,16.68621,0,1,276
0.931077,-0.1522679,1.548833,4.118473,1.02912,-14.87787,1.714891,-0.2567179,-0.01796056,0.9663195,16.82438,0,1,277
0.9510765,-0.1562788,1.546926,4.125312,0.9834895,-14.81091,1.761338,-0.2555924,-0.01716429,0.9666322,17.12436,0,1,278
0.971077,-0.1581056,1.546065,4.129008,1.01985,-14.67038,1.768017,-0.2532178,-0.0177988,0.9672455,17.12059,0,1,279
0.9910765,-0.1599429,1.545549,4.132898,1.136819,-14.52191,1.788856,-0.250701,-0.01983993,0.9678612,17.00927,0,1,280
1.011077,-0.1633778,1.544954,4.140937,1.370053,-14.36179,1.82312,-0.2479729,-0.02390966,0.9684719,16.89032,0,1,281
1.031076,-0.1647384,1.545013,4.145389,1.53179,-14.21323,1.783345,-0.2454434,-0.0267316,0.9690423,16.78603,0,1,282
1.051077,-0.1670651,1.543063,4.154455,1.736709,-13.74466,1.542595,-0.2374864,-0.03030665,0.970918,16.66044,0,1,283
1.071076,-0.1679749,1.541887,4.159243,1.872795,-13.41812,1.449296,-0.2319314,-0.03268062,0.972183,16.23227,0,1,284
1.091077,-0.1685462,1.541361,4.164207,2.065739,-13.15363,1.550912,-0.2274147,-0.03604614,0.9731306,15.92233,0,1,285
1.111076,-0.169477,1.540142,4.174267,2.357316,-12.68802,1.786654,-0.2194563,-0.04113131,0.9747549,15.6696,0,1,286
1.131077,-0.1689382,1.540163,4.179591,2.65545,-12.4494,2.103489,-0.2153459,-0.04632975,0.9754382,15.22451,0,1,287
1.151076,-0.1669288,1.540042,4.190903,3.171551,-11.78375,2.768368,-0.2039058,-0.05532574,0.9774259,14.98136,0,1,288
1.171077,-0.1656065,1.538731,4.196808,3.028488,-11.25449,2.708817,-0.1948947,-0.05283248,0.9794002,14.29308,0,1,289
1.191076,-0.1628582,1.537742,4.208708,2.967287,-10.23703,2.679672,-0.1774827,-0.05176578,0.9827615,13.74783,0,1,290
1.211077,-0.1604586,1.537006,4.214772,2.970629,-9.581909,2.750819,-0.1662338,-0.05182403,0.9847236,12.69672,0,1,291
1.231076,-0.1577492,1.535157,4.220305,3.210541,-8.984741,2.810162,-0.1559261,-0.05600519,0.9861797,12.00927,0,1,292
1.251077,-0.1514542,1.532285,4.23226,3.57755,-7.786469,3.190773,-0.1352176,-0.06239947,0.9888491,11.37463,0,1,293
1.271077,-0.1446252,1.529295,4.24469,3.527191,-6.721252,3.532064,-0.1168173,-0.06152223,0.991246,10.08838,0,1,294
1.291077,-0.14043,1.527497,4.251122,3.310859,-6.165466,3.692891,-0.1072211,-0.05775323,0.9925564,8.926738,0,1,295
1.311077,-0.1358299,1.525343,4.257296,3.217921,-5.565369,3.822257,-0.09682853,-0.05613379,0.9937169,8.310755,0,1,296
1.331077,-0.1309342,1.523278,4.263456,3.258634,-4.948303,4.055107,-0.08611757,-0.05684325,0.994662,7.643803,0,1,297
1.351077,-0.1157551,1.520966,4.282616,3.872532,-3.487701,5.296859,-0.06069561,-0.06753699,0.9958689,6.955251,0,1,298
1.371077,-0.1102355,1.519485,4.289185,3.931593,-3.292114,5.412898,-0.05729167,-0.06856541,0.9960002,5.271282,0,1,299
1.391077,-0.1045992,1.522463,4.296556,4.096218,-2.939575,5.756177,-0.05115199,-0.07143161,0.996133,4.993673,0,1,299
1.411077,-0.09917378,1.523468,4.304068,3.921659,-2.611969,5.86689,-0.04546519,-0.06839243,0.996622,4.557371,0,1,299
