time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.008009911,-0.0007688999,1.538477,4.154926,5.914038,1.759242,2.249571,0.03053634,-0.1030362,0.9942088,6.68944,0,0,430
0.02801037,-0.0007781982,1.538481,4.155294,5.915763,1.770726,2.255177,0.03073553,-0.1030662,0.9941995,178.3382,0,0,431
0.04800987,-0.0006513596,1.538559,4.156052,5.853559,1.756837,2.252439,0.03049793,-0.1019863,0.9943182,178.3273,0,0,432
0.06801033,-0.0006980896,1.538609,4.156476,5.821092,1.76463,2.257415,0.03063495,-0.1014225,0.9943717,178.3387,0,0,433
0.08800983,-0.0006489754,1.53855,4.15688,5.771143,1.749948,2.264472,0.03038283,-0.1005552,0.9944674,178.3321,0,0,434
0.1080103,-0.0005707741,1.538654,4.15764,5.745238,1.723198,2.26445,0.0299199,-0.1001054,0.9945269,178.3458,0,0,435
0.1280098,-0.0005726814,1.538558,4.158335,5.74049,1.747358,2.280325,0.03033951,-0.1000229,0.9945225,178.3696,0,0,436
0.1480103,-0.0005016327,1.538507,4.158677,5.761153,1.758645,2.289725,0.03053432,-0.1003817,0.9944804,178.3468,0,0,437
0.1680098,-0.0004749298,1.538406,4.159135,5.771248,1.784083,2.304659,0.03097528,-0.100557,0.994449,178.3348,0,0,438
0.1880102,-0.0004572868,1.53844,4.159503,5.789176,1.817595,2.317436,0.03155594,-0.1008683,0.9943992,178.3103,0,0,439
0.2080097,-0.0002851486,1.53831,4.160717,5.817743,1.879057,2.398057,0.03262097,-0.1013644,0.9943144,178.2783,0,0,440
0.2280102,-0.0001513958,1.538261,4.161086,5.808943,1.920399,2.434679,0.03333893,-0.1012116,0.9943061,178.2174,0,1,441
0.2480097,-0.000108242,1.538168,4.161485,5.809982,1.96273,2.431558,0.03407347,-0.1012296,0.9942794,178.1765,0,1,442
0.2680101,-2.336502E-05,1.538064,4.161873,5.826244,2.024005,2.47251,0.03513576,-0.101512,0.9942136,178.1359,0,1,443
0.2880096,0.0001425743,1.537982,4.162231,5.832659,2.050909,2.499749,0.0356022,-0.1016234,0.9941857,178.076,0,1,444
0.3080101,0.0007145405,1.537852,4.163507,5.82777,2.164415,2.621269,0.03757199,-0.1015385,0.9941218,178.0482,0,1,445
0.3280096,0.001068592,1.537608,4.163927,5.837731,2.198334,2.664018,0.03815982,-0.1017114,0.9940818,177.9323,0,1,446
0.3480101,0.001424789,1.537499,4.164446,5.827639,2.248311,2.678898,0.03902762,-0.1015362,0.994066,177.8948,0,1,447
0.3680096,0.001906395,1.537414,4.165092,5.811944,2.27425,2.710685,0.03947874,-0.1012637,0.994076,177.8422,0,1,448
0.38801,0.002924442,1.53701,4.166357,5.752536,2.284199,2.792941,0.03965552,-0.1002321,0.9941735,177.8109,0,1,449
0.4080095,0.004379749,1.53623,4.167937,5.651977,2.214436,2.891722,0.03845173,-0.0984857,0.9943953,177.7869,0,1,450
0.42801,0.005302429,1.535967,4.168857,5.632111,2.170797,2.924392,0.03769563,-0.09814066,0.9944584,177.8325,0,1,451
0.4480104,0.006319046,1.535601,4.169745,5.655246,2.120264,2.937726,0.03681708,-0.09854248,0.9944515,177.8609,0,1,452
0.4680099,0.008462191,1.534903,4.171582,5.692407,2.042056,3.01515,0.03545734,-0.09918787,0.9944368,177.8947,0,1,453
0.4880104,0.01103091,1.534339,4.17381,5.786292,2.001932,2.971208,0.03475522,-0.1008183,0.9942976,177.9383,0,1,454
0.5080099,0.01249266,1.534096,4.17511,5.781994,1.996672,2.966577,0.03466419,-0.1007436,0.9943084,177.9399,0,1,455
0.5280104,0.01393509,1.533891,4.176357,5.762038,1.981928,2.968413,0.03440953,-0.1003971,0.9943523,177.9242,0,1,456
0.5480099,0.01697826,1.533303,4.17897,5.706533,1.941229,2.999815,0.03370649,-0.09943321,0.9944732,177.9177,0,1,457
0.5680103,0.01862907,1.532959,4.180593,5.64573,1.953216,3.051408,0.03391813,-0.09837721,0.994571,177.913,0,1,458
0.5880098,0.02184296,1.532181,4.183843,5.540939,1.96093,3.137288,0.03405813,-0.09655695,0.9947446,177.8779,0,1,459
0.6080103,0.02344799,1.531878,4.185726,5.517294,1.979024,3.216745,0.03437363,-0.0961462,0.9947735,177.8246,0,1,460
0.6280098,0.02508092,1.531918,4.187801,5.501725,1.990032,3.281555,0.03456566,-0.09587572,0.994793,177.7843,0,1,461
0.6480103,0.02815866,1.532178,4.192086,5.452959,2.023682,3.347301,0.03515277,-0.09502847,0.9948537,177.7504,0,1,462
0.6680098,0.02954197,1.532853,4.194636,5.466937,2.049126,3.413339,0.03559373,-0.09527134,0.9948148,177.6742,0,1,463
0.6880102,0.03190017,1.532941,4.199936,5.292484,2.139855,3.409876,0.03717966,-0.09223998,0.9950424,177.6299,0,1,464
0.7080097,0.03283978,1.531848,4.202818,5.058484,2.184365,3.40581,0.03796668,-0.08817255,0.9953814,177.5096,0,1,465
0.7280102,0.03470373,1.532197,4.208774,4.925592,2.234978,3.611463,0.03885381,-0.08586193,0.9955491,177.4536,0,1,466
0.7480097,0.03514147,1.533239,4.212318,4.87322,2.206095,3.79395,0.03835496,-0.08495122,0.9956466,177.3783,0,1,467
0.7680101,0.03532171,1.533474,4.216054,4.804601,2.20022,3.797337,0.03825675,-0.08375786,0.9957515,177.3992,0,1,468
0.7880096,0.03545165,1.535265,4.224311,4.697055,2.315844,3.888424,0.04027238,-0.08188727,0.9958276,177.4017,0,1,469
0.8080101,0.03473282,1.537081,4.23318,4.348046,2.284572,3.779172,0.03974802,-0.0758149,0.9963294,177.2893,0,1,470
0.8280096,0.03421879,1.535805,4.2379,3.983873,2.263938,3.705832,0.03940745,-0.06947569,0.996805,177.3285,0,1,471
0.8480101,0.03359032,1.535435,4.243043,3.57956,2.280074,3.850148,0.03970668,-0.06243448,0.9972589,177.3551,0,1,472
0.8680096,0.03276396,1.535285,4.248045,3.253543,2.216042,3.922968,0.03860525,-0.05675452,0.9976415,177.3485,0,1,473
0.88801,0.02976703,1.531536,4.263149,2.503508,2.178855,3.686665,0.03798273,-0.04368054,0.9983233,177.4209,0,1,474
0.9080095,0.02816296,1.530344,4.26876,2.325999,2.332006,3.530119,0.04065642,-0.0405852,0.9983486,177.4984,0,1,475
0.92801,0.0265491,1.528252,4.274329,2.130898,2.46227,3.335739,0.04293179,-0.03718262,0.9983858,177.3759,0,1,476
0.9480104,0.02487731,1.52676,4.27996,2.080244,2.669404,3.153141,0.04654235,-0.03629912,0.9982566,177.2755,0,1,477
0.9680099,0.02312064,1.526232,4.285857,2.065085,2.921349,3.044394,0.05093197,-0.03603474,0.9980518,177.103,0,1,478
0.9880104,0.01749182,1.52771,4.304279,2.059599,3.519553,2.915522,0.0613495,-0.03593905,0.9974691,176.8893,0,1,479
1.00801,0.01569128,1.527342,4.309808,2.041566,3.667955,2.864662,0.06393357,-0.03562451,0.9973181,176.4037,0,1,480
1.02801,0.0144887,1.526348,4.315022,2.006079,3.884295,2.964203,0.0677003,-0.03500554,0.9970914,176.2892,0,1,481
1.04801,0.01308441,1.525616,4.319895,1.965582,4.103604,2.929599,0.07151809,-0.03429915,0.9968494,176.1017,0,1,482
1.06801,0.00901556,1.523364,4.333919,1.734694,4.553908,3.113724,0.07936066,-0.03027149,0.9963862,175.9144,0,1,483
1.088011,0.008020639,1.522431,4.337227,1.773467,4.560801,3.152248,0.07947887,-0.0309479,0.996356,175.5478,0,1,484
