time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
3.099442E-05,-0.00129661,1.504492,4.144813,8.967762,0.6963027,-0.3795471,0.01200393,-0.1558787,0.9877033,0,0,0,0
0.02003098,-0.001237541,1.504808,4.144938,8.742712,0.7001992,-0.4041138,0.01207849,-0.1519977,0.9883071,0.6772422,0,0,0
0.04003096,-0.001194149,1.505095,4.145016,8.57638,0.7165094,-0.4121704,0.01236529,-0.1491277,0.9887406,0.6818494,0,0,0
0.06003094,-0.001151323,1.505315,4.145042,8.455635,0.7135786,-0.4272156,0.0123186,-0.1470435,0.9890533,0.6988559,0,0,0
0.08003092,-0.001110017,1.505461,4.145005,8.427143,0.7101229,-0.4335327,0.01225985,-0.1465517,0.989127,0.6966124,0,0,0
0.1000309,-0.001070708,1.50554,4.144961,8.422194,0.7198384,-0.4407349,0.01242773,-0.1464662,0.9891376,0.6935157,0,0,0
0.1200309,-0.0009709597,1.505615,4.144771,8.470391,0.6823153,-0.4685974,0.01177847,-0.1472983,0.989022,0.7038778,0,0,0
0.1400309,-0.0009361804,1.505547,4.14468,8.489891,0.6887363,-0.4725037,0.01188871,-0.1476349,0.9889705,0.6679325,0,0,0
0.1600308,-0.0009001195,1.505486,4.144603,8.537078,0.6909113,-0.478302,0.01192478,-0.1484494,0.9888481,0.6746368,0,0,0
0.1800308,-0.0008697212,1.505411,4.144543,8.588511,0.7034999,-0.4873962,0.0121404,-0.1493371,0.9887118,0.6775311,0,0,0
0.2000308,-0.0007959306,1.505301,4.14442,8.659332,0.7276341,-0.484314,0.01255451,-0.1505592,0.9885213,0.690405,0,0,0
0.2200308,-0.0007155538,1.505099,4.144319,8.744016,0.7453964,-0.4836731,0.01285805,-0.1520201,0.9882938,0.7160051,0,0,0
0.2400308,-0.0006918311,1.505033,4.144287,8.760577,0.7571998,-0.4823303,0.01306107,-0.1523058,0.9882471,0.7346201,0,0,0
0.2600307,-0.0006691813,1.505001,4.144253,8.781446,0.7781548,-0.4697266,0.01342175,-0.1526658,0.9881867,0.7467723,0,0,0
0.2800307,-0.0006281435,1.50495,4.144188,8.803332,0.8106398,-0.4660034,0.01398119,-0.1530433,0.9881206,0.7679582,0,0,0
0.3000307,-0.0006091893,1.504989,4.144169,8.799438,0.8108124,-0.4708862,0.01398432,-0.1529762,0.9881309,0.8013745,0,0,0
0.3200307,-0.0005837083,1.50507,4.144144,8.795905,0.8108429,-0.474762,0.01398498,-0.1529152,0.9881403,0.8016186,0,0,0
0.3400307,-0.0005834401,1.505135,4.144137,8.77558,0.8145961,-0.4828186,0.01405048,-0.1525646,0.9881936,0.8023506,0,0,0
0.3600307,-0.000559926,1.505214,4.144134,8.745738,0.818959,-0.5004272,0.01412686,-0.1520498,0.9882719,0.8060005,0,0,0
0.3800306,-0.0005675852,1.505264,4.144141,8.72406,0.8201488,-0.52005,0.0141482,-0.1516759,0.9883291,0.8106001,0,0,0
0.4000306,-0.0005698502,1.505342,4.144197,8.682637,0.8147965,-0.5348206,0.01405743,-0.1509613,0.9884397,0.8115651,0,0,0
0.4200306,-0.0005917251,1.505381,4.14424,8.683161,0.8094708,-0.544281,0.01396553,-0.1509703,0.9884396,0.8060005,0,0,0
0.4400306,-0.0006150901,1.505425,4.144319,8.680581,0.8116298,-0.5514526,0.01400288,-0.1509258,0.9884459,0.8006416,0,0,0
0.4600306,-0.00063923,1.505405,4.144352,8.69912,0.811502,-0.5576172,0.01399998,-0.1512456,0.9883971,0.8025945,0,0,0
0.4800305,-0.0006586313,1.505355,4.144389,8.715415,0.8111875,-0.5426636,0.01399395,-0.1515268,0.9883541,0.8021067,0,0,0
0.500031,-0.0007023513,1.505248,4.144473,8.751081,0.7899116,-0.5158386,0.01362563,-0.152142,0.9882647,0.800886,0,0,0
0.520031,-0.0007411242,1.505174,4.144557,8.786557,0.7771502,-0.5038147,0.01340424,-0.152754,0.9881734,0.7793398,0,0,0
0.540031,-0.0007683337,1.505115,4.144603,8.804008,0.7797179,-0.5071411,0.01344789,-0.153055,0.9881262,0.7659171,0,0,0
0.5600309,-0.0007956624,1.505089,4.1446,8.844622,0.7679776,-0.5525208,0.01324396,-0.1537554,0.9880202,0.7682129,0,0,0
0.5800309,-0.0008262098,1.505075,4.144593,8.874286,0.7660107,-0.546936,0.01320897,-0.154267,0.9879409,0.7564052,0,0,0
0.6000309,-0.000860393,1.505084,4.144572,8.895175,0.757046,-0.5172424,0.01305365,-0.1546272,0.9878867,0.7538139,0,0,0
0.6200309,-0.0008708239,1.505095,4.144537,8.864025,0.7499469,-0.5134277,0.01293235,-0.15409,0.9879722,0.7444103,0,0,0
0.6400309,-0.0009011924,1.505125,4.1445,8.846693,0.7653342,-0.5176392,0.0131983,-0.1537911,0.9880152,0.7370135,0,0,0
0.6600308,-0.0008936226,1.505142,4.144442,8.820238,0.7570373,-0.5325317,0.01305616,-0.1533349,0.988088,0.7519946,0,0,0
0.6800308,-0.0008962154,1.50516,4.14437,8.796453,0.7546353,-0.5321655,0.01301558,-0.1529247,0.9881521,0.7436213,0,0,0
0.7000308,-0.0009086132,1.505265,4.144201,8.751396,0.7303787,-0.5271912,0.01259876,-0.1521475,0.9882775,0.7415132,0,0,0
0.7200308,-0.0009143949,1.505322,4.144128,8.734491,0.7273953,-0.5380554,0.01254787,-0.1518559,0.988323,0.7168246,0,0,0
0.7400308,-0.0009222031,1.505369,4.144057,8.727208,0.7323887,-0.5393066,0.01263425,-0.1517302,0.9883412,0.7138155,0,0,0
0.7600307,-0.0009287596,1.505433,4.143984,8.704893,0.7286488,-0.5316772,0.01257049,-0.1513452,0.9884011,0.7187329,0,0,0
0.7800307,-0.0009490848,1.505569,4.14386,8.644727,0.7221069,-0.5004883,0.01245964,-0.1503072,0.9885609,0.7146374,0,0,0
0.8000307,-0.0009679794,1.505615,4.143792,8.616773,0.7079342,-0.5251465,0.01221601,-0.1498248,0.9886371,0.7080355,0,0,0
0.8200307,-0.000987947,1.505698,4.143703,8.55882,0.7141758,-0.5413208,0.01232559,-0.1488246,0.9887868,0.6937978,0,0,0
0.8400307,-0.0009814501,1.505724,4.143695,8.543784,0.7068104,-0.5412292,0.01219896,-0.1485651,0.9888274,0.6994157,0,0,0
0.8600307,-0.001012176,1.505775,4.143628,8.511125,0.7137432,-0.5208435,0.01231966,-0.1480014,0.9889104,0.6921035,0,0,0
0.8800306,-0.001034886,1.505787,4.143594,8.515022,0.7130394,-0.5109558,0.01230739,-0.1480687,0.9889005,0.6985759,0,0,0
0.9000306,-0.001056373,1.505813,4.143561,8.502333,0.7114755,-0.5125732,0.0122808,-0.1478497,0.9889336,0.6977351,0,0,0
0.9200306,-0.001104295,1.505809,4.143533,8.509586,0.7168953,-0.4957581,0.01237412,-0.1479749,0.9889137,0.6960504,0,0,0
0.9400306,-0.001146764,1.505788,4.143538,8.510974,0.71817,-0.4928284,0.01239607,-0.1479988,0.9889098,0.7005339,0,0,0
