time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.00702858,-0.004326582,1.561102,4.114315,1.831145,-3.831268,0.7219369,-0.06678445,-0.03195407,0.9972556,8.61801,0,0,401
0.02702904,-0.004253805,1.561192,4.114238,1.765686,-3.813293,0.7322667,-0.06647376,-0.03081216,0.9973123,3.895109,0,0,401
0.04702854,-0.004240155,1.561281,4.114218,1.708265,-3.813324,0.7271467,-0.06647637,-0.02981043,0.9973426,3.876008,0,0,401
0.067029,-0.004254639,1.561356,4.114162,1.688953,-3.805481,0.7662324,-0.06634074,-0.02947352,0.9973616,3.875806,0,0,401
0.0870285,-0.004274219,1.561349,4.114156,1.687678,-3.825531,0.7620726,-0.06668962,-0.02945127,0.997339,3.868271,0,0,401
0.107029,-0.004288226,1.561353,4.114162,1.665744,-3.818268,0.7486793,-0.066564,-0.02906863,0.9973586,3.888618,0,0,401
0.1270285,-0.004329711,1.561436,4.114235,1.621429,-3.85321,0.676105,-0.06717383,-0.0282955,0.99734,3.881461,0,0,401
0.1470289,-0.004391402,1.561438,4.114306,1.626735,-3.865997,0.6447176,-0.06739579,-0.02838807,0.9973224,3.917017,0,0,401
0.1670294,-0.00444743,1.561325,4.114355,1.643921,-3.856812,0.6385426,-0.0672353,-0.02868789,0.9973246,3.930691,0,0,401
0.1870289,-0.004461557,1.56123,4.11438,1.683771,-3.863861,0.6500618,-0.06735694,-0.02938312,0.9972962,3.922363,0,0,401
0.2070293,-0.004484653,1.56118,4.114457,1.716754,-3.839569,0.6940724,-0.06693307,-0.02995853,0.9973076,3.929645,0,0,401
0.2270288,-0.004551113,1.561116,4.11452,1.744191,-3.832001,0.7315357,-0.06680004,-0.03043717,0.9973021,3.905702,0,0,401
0.2470293,-0.004616112,1.561053,4.114596,1.76758,-3.831757,0.749808,-0.06679524,-0.0308452,0.9972898,3.899078,0,0,401
0.2670288,-0.004705131,1.561007,4.114712,1.812204,-3.854004,0.7801443,-0.06718086,-0.03162366,0.9972395,3.899781,0,0,401
0.2870293,-0.00482139,1.560902,4.114829,1.849886,-3.900543,0.7725887,-0.06798922,-0.03228099,0.9971637,3.923411,0,0,401
0.3070297,-0.004855484,1.560832,4.114871,1.863253,-3.90564,0.7737407,-0.06807723,-0.03251417,0.9971501,3.971629,0,0,401
0.3270283,-0.004884481,1.560826,4.114926,1.870973,-3.926788,0.7613143,-0.06844543,-0.03264884,0.9971205,3.977197,0,0,401
0.3470287,-0.004933447,1.560837,4.115003,1.866135,-3.952728,0.7490435,-0.0688967,-0.03256444,0.9970922,3.998852,0,0,401
0.3670292,-0.00507918,1.560832,4.115263,1.865935,-4.00946,0.7393054,-0.06988436,-0.03256096,0.9970235,4.025453,0,0,401
0.3870296,-0.005185932,1.560841,4.115384,1.861459,-4.021606,0.7442961,-0.07009562,-0.03248288,0.9970112,4.084421,0,0,401
0.4070282,-0.005296737,1.560802,4.115506,1.871584,-4.045135,0.7232471,-0.0705049,-0.0326595,0.9969766,4.098111,0,0,401
0.4270287,-0.00539574,1.560723,4.115659,1.911388,-4.034119,0.7092793,-0.07031135,-0.03335384,0.9969673,4.123219,0,0,401
0.4470291,-0.005712509,1.56052,4.116199,2.01774,-4.066132,0.6333706,-0.07086381,-0.03520893,0.9968644,4.113708,0,0,401
0.4670296,-0.005878121,1.560423,4.116461,2.057531,-4.045776,0.6105925,-0.07050803,-0.03590298,0.9968649,4.150439,0,0,401
0.4870281,-0.006065041,1.560281,4.116732,2.103811,-4.019348,0.5897106,-0.07004615,-0.03671017,0.9968681,4.13247,0,0,401
0.5070286,-0.006402999,1.560127,4.117185,2.146376,-3.982056,0.5841539,-0.06939546,-0.03745257,0.996886,4.108897,0,0,401
0.527029,-0.006675333,1.56015,4.117446,2.211034,-3.948334,0.5904565,-0.06880568,-0.03858024,0.9968838,4.07655,0,0,401
0.5470295,-0.007631987,1.559706,4.118401,2.364038,-3.85965,0.6389873,-0.06725521,-0.04124854,0.9968828,4.04685,0,0,401
0.567028,-0.008029342,1.559653,4.118722,2.426153,-3.866455,0.6637716,-0.06737059,-0.04233171,0.9968296,3.972319,0,0,401
0.5870285,-0.008572966,1.559546,4.119141,2.474337,-3.883484,0.6649674,-0.06766482,-0.0431719,0.9967736,3.984968,0,0,401
0.607029,-0.009089381,1.559447,4.119544,2.50737,-3.91452,0.6967213,-0.06820252,-0.04374789,0.9967119,4.01005,0,0,401
0.6270294,-0.01035908,1.559182,4.120463,2.549033,-4.003326,0.7219327,-0.06974555,-0.04447434,0.9965729,4.048688,0,0,401
0.647028,-0.01165527,1.558979,4.121402,2.624753,-4.085968,0.7423384,-0.07117833,-0.04579457,0.9964118,4.156286,0,0,401
0.6670284,-0.01241252,1.558852,4.121896,2.684132,-4.124481,0.7775155,-0.07184491,-0.0468298,0.9963158,4.258092,0,0,401
0.6870289,-0.01322392,1.558608,4.122452,2.717074,-4.164673,0.7957839,-0.07254168,-0.04740412,0.9962382,4.307889,0,0,401
0.7070293,-0.01482859,1.558256,4.1236,2.775789,-4.21051,0.7998367,-0.07333498,-0.04842772,0.9961309,4.360085,0,0,401
0.7270298,-0.01561129,1.558267,4.124225,2.79748,-4.210327,0.8133464,-0.07333045,-0.04880583,0.9961128,4.429698,0,0,401
0.7470284,-0.01642692,1.558194,4.124867,2.809353,-4.211517,0.8104033,-0.07335065,-0.04901281,0.9961011,4.441134,0,0,401
0.7670288,-0.01812026,1.557866,4.126241,2.821655,-4.226959,0.8270724,-0.07361832,-0.04922726,0.9960708,4.454434,0,0,401
0.7870293,-0.01986119,1.557679,4.127743,2.822811,-4.204224,0.8209233,-0.07322291,-0.04924741,0.9960989,4.495011,0,0,401
0.8070297,-0.02072173,1.557518,4.12854,2.807229,-4.180237,0.7825223,-0.07280666,-0.04897578,0.9961429,4.498104,0,0,401
