time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.006620407,0.01912832,1.495842,4.153211,3.469035,0.4871466,-0.6644592,0.008486631,-0.0605091,0.9981316,134.9207,0,0,387
0.02662086,0.01933742,1.49588,4.153194,3.465334,0.4924566,-0.6785889,0.008579168,-0.06044462,0.9981347,179.2659,0,0,388
0.04662132,0.01955843,1.495933,4.153177,3.452727,0.4732036,-0.6819153,0.008243875,-0.06022497,0.9981508,179.2582,0,0,389
0.06662083,0.01994658,1.495929,4.153206,3.451877,0.4559314,-0.644989,0.007942983,-0.06021018,0.9981541,179.2734,0,0,390
0.08662128,0.02031279,1.495955,4.153286,3.44223,0.4495007,-0.6474609,0.007831033,-0.0600421,0.9981651,179.2837,0,0,391
0.1066208,0.02049375,1.495993,4.153358,3.444405,0.4449802,-0.6943665,0.007752262,-0.06008001,0.9981635,179.2854,0,0,392
0.1266212,0.02081037,1.49596,4.153531,3.472264,0.4485077,-0.7464905,0.007813486,-0.06056535,0.9981337,179.287,0,0,393
0.1466208,0.02095604,1.49589,4.153584,3.51736,0.4494665,-0.7485046,0.007829813,-0.06135096,0.9980856,179.2794,0,0,394
0.1666212,0.02112699,1.495847,4.153633,3.555234,0.4551442,-0.7551575,0.007928394,-0.06201072,0.998044,179.2761,0,0,395
0.1866207,0.02142453,1.49579,4.153747,3.599023,0.4683603,-0.7539673,0.008158219,-0.0627735,0.9979945,179.2681,0,1,396
0.2066212,0.02151012,1.495744,4.153842,3.603008,0.4755149,-0.7449036,0.008282804,-0.06284291,0.9979891,179.2514,0,1,397
0.2266207,0.02166224,1.495723,4.154012,3.616753,0.4511566,-0.782959,0.007858405,-0.06308236,0.9979774,179.2431,0,1,398
0.2466211,0.0217011,1.495757,4.154086,3.612113,0.4335372,-0.8069763,0.007551546,-0.06300151,0.9979849,179.2643,0,1,399
0.2666206,0.02181458,1.495748,4.154233,3.616508,0.4109047,-0.8419495,0.007157297,-0.06307806,0.9979829,179.2802,0,1,400
0.2866211,0.02182674,1.495759,4.154307,3.602957,0.3972763,-0.8763123,0.006920021,-0.06284203,0.9979995,179.3006,0,1,401
0.3066206,0.02183628,1.495792,4.1544,3.603479,0.4096544,-0.8745117,0.007135622,-0.06285112,0.9979974,179.3127,0,1,402
0.3266211,0.02183104,1.495794,4.154782,3.576774,0.4728278,-0.8825378,0.008236233,-0.06238595,0.9980181,179.3017,0,1,403
0.3466206,0.0218029,1.495748,4.154927,3.594894,0.5066618,-0.8559265,0.008825403,-0.06270158,0.9979933,179.2415,0,1,404
0.366621,0.02176571,1.4957,4.155029,3.647534,0.5348176,-0.811554,0.009315287,-0.06361848,0.9979308,179.2094,0,1,405
0.3866205,0.02170038,1.495615,4.155133,3.702147,0.553349,-0.8055115,0.009637458,-0.0645697,0.9978667,179.1834,0,1,406
0.406621,0.02159858,1.495532,4.155256,3.726806,0.5578074,-0.8057861,0.009714836,-0.06499919,0.997838,179.1663,0,1,407
0.4266205,0.02143526,1.495439,4.155487,3.781508,0.5569729,-0.7989807,0.009699693,-0.06595186,0.9977757,179.164,0,1,408
0.4466209,0.02117348,1.49541,4.155711,3.800025,0.5199701,-0.8329773,0.009055114,-0.06627433,0.9977604,179.1668,0,1,409
0.4666204,0.0210309,1.495354,4.155823,3.797915,0.4844304,-0.8461914,0.008436237,-0.06623759,0.9977682,179.2052,0,1,410
0.4866209,0.02090383,1.495319,4.155917,3.827724,0.4701996,-0.8587036,0.008188132,-0.0667567,0.9977357,179.2413,0,1,411
0.5066204,0.02080846,1.49531,4.15599,3.819807,0.473505,-0.8588867,0.008245769,-0.06661884,0.9977444,179.2567,0,1,412
0.5266209,0.02048635,1.495236,4.156264,3.837051,0.4884559,-0.8652649,0.00850595,-0.06691913,0.9977221,179.2551,0,1,413
0.5466213,0.02039671,1.495264,4.156355,3.820363,0.5044876,-0.8634949,0.00878529,-0.06662851,0.9977392,179.2451,0,1,414
0.5666208,0.02030897,1.495269,4.156443,3.799321,0.5276268,-0.8598633,0.009188456,-0.06626209,0.9977599,179.2315,0,1,415
0.5866213,0.02021766,1.495272,4.156534,3.797424,0.5501606,-0.8670654,0.009580886,-0.06622905,0.9977584,179.2112,0,1,416
0.6066208,0.02011871,1.49526,4.156613,3.815434,0.5687533,-0.8760986,0.009904454,-0.06654268,0.9977344,179.1901,0,1,417
0.6266212,0.01984644,1.495146,4.156908,3.848679,0.6271411,-0.8970337,0.01092077,-0.06712162,0.997685,179.1741,0,1,418
0.6466208,0.01975679,1.495104,4.157021,3.864467,0.6552922,-0.9128113,0.01141075,-0.06739654,0.997661,179.1222,0,1,419
0.6666212,0.01968813,1.495067,4.157118,3.887013,0.6563345,-0.9151001,0.0114286,-0.06778914,0.9976342,179.0967,0,1,420
0.6866207,0.01960564,1.495024,4.15724,3.882449,0.6827111,-0.9022522,0.01188793,-0.06770968,0.9976342,179.0971,0,1,421
0.7066212,0.01944447,1.495032,4.157455,3.866065,0.6996511,-0.9323425,0.01218313,-0.06742437,0.99765,179.073,0,1,422
0.7266207,0.019274,1.494992,4.157691,3.890403,0.692517,-0.8858948,0.01205856,-0.06784818,0.9976228,179.0593,0,1,423
0.7466211,0.01917601,1.49493,4.157775,3.937,0.6760633,-0.8721924,0.01177141,-0.06865955,0.9975707,179.0683,0,1,424
0.7666206,0.01904821,1.494933,4.157876,3.973402,0.6500504,-0.9017029,0.011318,-0.06929335,0.9975321,179.0855,0,1,425
0.7866211,0.0189147,1.494954,4.158006,3.962884,0.6279514,-0.9455566,0.0109334,-0.06911024,0.9975491,179.1122,0,1,426
0.8066206,0.018543,1.494908,4.158364,3.997072,0.5671405,-0.9309692,0.009874232,-0.06970549,0.9975187,179.1348,0,1,427
0.8266211,0.01841164,1.49481,4.158406,4.047894,0.5635826,-0.9292908,0.009811677,-0.07059031,0.9974571,179.1981,0,1,428
0.8466206,0.01828098,1.49471,4.158449,4.111438,0.5532647,-0.9096375,0.009631291,-0.07169657,0.99738,179.2035,0,1,429
0.866621,0.01817608,1.49461,4.158537,4.13157,0.5349579,-0.8841248,0.009312377,-0.07204703,0.9973578,179.2152,0,1,430
0.8866205,0.01806188,1.494551,4.158638,4.15445,0.5165657,-0.8612366,0.00899196,-0.07244531,0.9973319,179.2336,0,1,431
0.906621,0.01770902,1.494389,4.158888,4.227399,0.4579529,-0.8326416,0.007970955,-0.07371511,0.9972475,179.2527,0,1,432
0.9266205,0.01759553,1.494339,4.158959,4.272298,0.4257467,-0.8410034,0.007409967,-0.07449658,0.9971938,179.3139,0,1,433
0.9466209,0.01748443,1.494282,4.159012,4.303112,0.3918021,-0.8607788,0.006818907,-0.07503287,0.9971578,179.3463,0,1,434
0.9666204,0.0173943,1.494198,4.159063,4.337435,0.3768865,-0.8605347,0.006559025,-0.07563023,0.9971144,179.3791,0,1,435
0.9866209,0.0171628,1.494034,4.159286,4.391925,0.3407485,-0.8797913,0.005929685,-0.07657851,0.9970459,179.3951,0,1,436
1.00662,0.01715326,1.49404,4.159386,4.406796,0.3376452,-0.9009705,0.005875565,-0.07683729,0.9970263,179.4321,0,1,437
1.026621,0.01715398,1.494044,4.159466,4.401747,0.3667962,-0.8786316,0.006382875,-0.07674942,0.99703,179.4356,0,1,438
1.046621,0.01719403,1.494044,4.159516,4.430047,0.378255,-0.8510437,0.006582025,-0.07724188,0.9969907,179.4072,0,1,439
1.066621,0.01717496,1.493983,4.159642,4.503569,0.3979027,-0.8494263,0.006923215,-0.07852119,0.9968884,179.3961,0,1,440
1.086621,0.01716542,1.493942,4.159771,4.498431,0.4206814,-0.8597107,0.007319594,-0.0784318,0.9968926,179.3785,0,1,441
1.106621,0.01717234,1.493988,4.15982,4.513132,0.4061683,-0.8730469,0.007066934,-0.07868758,0.9968743,179.3568,0,1,442
1.126621,0.01716065,1.49402,4.159902,4.5195,0.3982226,-0.8832703,0.006928627,-0.07879838,0.9968665,179.3704,0,1,443
1.146621,0.0171392,1.494026,4.160004,4.512395,0.4012594,-0.8954468,0.006981533,-0.07867476,0.9968759,179.3785,0,1,444
1.166621,0.01717424,1.494029,4.160144,4.514296,0.3975488,-0.9098816,0.006916955,-0.07870783,0.9968737,179.3754,0,1,445
1.186621,0.01727009,1.493985,4.160305,4.521839,0.4222316,-0.9141235,0.007346327,-0.07883908,0.9968603,179.3785,0,1,446
1.206621,0.01731753,1.493953,4.160407,4.558375,0.4454602,-0.9150085,0.007750077,-0.07947475,0.9968067,179.3538,0,1,447
1.226621,0.01737785,1.493913,4.160499,4.590518,0.4809206,-0.9042969,0.008366624,-0.08003397,0.996757,179.3306,0,1,448
1.246621,0.01742125,1.493879,4.160583,4.616624,0.4955892,-0.9076538,0.008621492,-0.08048812,0.9967183,179.2967,0,1,449
1.266621,0.01753497,1.493764,4.160877,4.693117,0.5428987,-0.9194031,0.00944346,-0.08181878,0.9966025,179.2813,0,1,450
1.286621,0.01756811,1.493733,4.161005,4.700176,0.5376377,-0.9352417,0.009351854,-0.08194157,0.9965932,179.2346,0,1,451
1.306621,0.01760054,1.493682,4.161153,4.71239,0.5419802,-0.9459839,0.009427221,-0.08215402,0.9965751,179.2392,0,1,452
1.326621,0.01765513,1.493604,4.161329,4.719185,0.5455179,-0.9630127,0.009488663,-0.08227222,0.9965647,179.2346,0,1,453
1.346621,0.01779199,1.493501,4.161664,4.777144,0.5706786,-0.973999,0.009925455,-0.08328032,0.9964767,179.2305,0,1,454
1.366621,0.0180335,1.493311,4.162161,4.825335,0.5973984,-1.024963,0.01038943,-0.08411846,0.9964016,179.2052,0,1,455
1.386621,0.01819754,1.49312,4.162471,4.85898,0.6143945,-1.050537,0.01068447,-0.08470357,0.9963489,179.1762,0,1,456
1.406621,0.01844931,1.492845,4.163007,4.897117,0.6600932,-1.089996,0.01147849,-0.08536679,0.9962835,179.1575,0,1,457
1.42662,0.01870942,1.492685,4.163437,4.948455,0.6984782,-1.063232,0.01214501,-0.08625951,0.9961987,179.1102,0,1,458
1.446621,0.01959634,1.492379,4.164823,5.112844,0.8111555,-1.009338,0.01410053,-0.08911756,0.9959213,179.0702,0,1,459
1.46662,0.01997423,1.492329,4.165521,5.146028,0.8432882,-1.040985,0.0146583,-0.08969442,0.9958615,178.9504,0,1,460
