time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.0198698,-0.003762245,1.494493,4.153885,1.221681,-1.441528,-0.03933716,-0.02515123,-0.02132074,0.9994563,11.94413,0,0,44
0.03986979,-0.003657103,1.494497,4.153753,1.197806,-1.437103,-0.06396484,-0.02507412,-0.02090413,0.999467,1.497633,0,0,44
0.05986977,-0.003561974,1.494509,4.153626,1.18689,-1.423615,-0.07440186,-0.02483913,-0.02071366,0.9994769,1.49161,0,0,44
0.07986975,-0.003343582,1.494565,4.153383,1.14869,-1.384857,-0.1089783,-0.0241632,-0.02004708,0.999507,1.47671,0,0,44
0.09986973,-0.003162861,1.494602,4.153274,1.160095,-1.336578,-0.1215515,-0.02332078,-0.02024609,0.999523,1.434769,0,0,44
0.1198697,-0.003026485,1.494591,4.153168,1.156251,-1.269867,-0.1377869,-0.02215729,-0.02017902,0.9995508,1.383525,0,0,44
0.1398702,-0.002513647,1.494567,4.152867,1.146251,-1.133057,-0.1711121,-0.0197703,-0.02000452,0.9996044,1.314922,0,0,44
0.1598701,-0.002265215,1.494566,4.152796,1.162567,-1.060272,-0.1885986,-0.01850023,-0.02028922,0.999623,1.170359,0,0,44
0.1798701,-0.00205183,1.494545,4.152684,1.162447,-0.9927368,-0.195343,-0.01732199,-0.02028713,0.9996441,1.093964,0,0,44
0.1998701,-0.001838446,1.494531,4.152567,1.171217,-0.9551086,-0.2047119,-0.01666543,-0.02044017,0.9996521,1.023355,0,0,44
0.2198701,-0.001637936,1.49454,4.152449,1.16312,-0.9161377,-0.2080383,-0.01598559,-0.02029887,0.9996662,0.9827783,0,0,44
0.2398701,-0.001257896,1.494571,4.152208,1.132903,-0.8548889,-0.2450256,-0.01491727,-0.01977159,0.9996932,0.9408684,0,0,44
0.2598701,-0.0009143353,1.494598,4.151964,1.129269,-0.8248291,-0.2670898,-0.01439273,-0.01970819,0.9997022,0.8737969,0,0,44
0.27987,-0.0007004738,1.494659,4.15185,1.112324,-0.803833,-0.2849426,-0.01402655,-0.0194125,0.9997132,0.8383681,0,0,44
0.29987,-0.0003149509,1.4947,4.151632,1.092507,-0.7592773,-0.298584,-0.01324928,-0.01906669,0.9997304,0.814213,0,0,44
0.31987,-0.0001316071,1.494714,4.151551,1.075347,-0.7387695,-0.3239441,-0.01289123,-0.01876725,0.9997408,0.7641266,0,0,44
0.33987,4.1008E-05,1.494737,4.151487,1.054679,-0.6999207,-0.3247375,-0.01221371,-0.01840658,0.999756,0.7404569,0,0,44
0.35987,0.000232935,1.49475,4.151409,1.046187,-0.6839905,-0.2989197,-0.01193584,-0.01825839,0.9997621,0.6994157,0,0,44
0.3798699,0.0007591248,1.494739,4.151188,1.065207,-0.5956421,-0.3104248,-0.01039419,-0.01859031,0.9997731,0.680413,0,0,44
0.3998699,0.0009145737,1.494745,4.151146,1.097141,-0.5796204,-0.3787231,-0.01011414,-0.01914756,0.9997655,0.5845029,0,0,44
0.4198699,0.001081705,1.494762,4.151114,1.087558,-0.5664978,-0.4241943,-0.009885225,-0.01898032,0.999771,0.5657911,0,0,44
0.4398699,0.001400948,1.494751,4.150998,1.147076,-0.5314941,-0.4414673,-0.009274368,-0.02001892,0.9997566,0.5500081,0,0,44
0.4598699,0.001518011,1.494641,4.150951,1.168655,-0.4985352,-0.4587097,-0.008699049,-0.02039546,0.9997541,0.5109072,0,0,44
0.4798698,0.001632214,1.494568,4.150892,1.204579,-0.4707031,-0.4793701,-0.008213205,-0.02102232,0.9997452,0.4760123,0,0,44
0.4998698,0.00199461,1.494466,4.150724,1.238693,-0.4190674,-0.4745789,-0.007312468,-0.02161758,0.9997396,0.4463111,0,0,44
0.5198698,0.002075672,1.494423,4.150676,1.25476,-0.4206238,-0.471283,-0.007339664,-0.02189794,0.9997333,0.3891652,0,0,44
0.5398698,0.002131701,1.494398,4.150598,1.276371,-0.4352722,-0.5098877,-0.007594981,-0.02227503,0.999723,0.3896677,0,0,44
0.5598698,0.002192497,1.494387,4.150501,1.305557,-0.4441223,-0.5108948,-0.007749461,-0.0227843,0.9997104,0.403483,0,0,44
0.5798697,0.002305031,1.494322,4.150325,1.330011,-0.4602051,-0.5375061,-0.008029993,-0.02321098,0.9996983,0.4116447,0,0,44
0.5998697,0.002324343,1.494268,4.150219,1.35063,-0.4563293,-0.5365601,-0.007962245,-0.02357076,0.9996905,0.4261257,0,0,44
0.6198697,0.002370358,1.494272,4.150126,1.34865,-0.4627075,-0.5360107,-0.008073709,-0.02353621,0.9996904,0.4219727,0,0,44
0.6398697,0.002393246,1.494298,4.149921,1.335563,-0.4527893,-0.5836792,-0.007900514,-0.02330786,0.9996971,0.4279585,0,0,44
0.6598701,0.002433777,1.494306,4.149683,1.354229,-0.4373169,-0.5892639,-0.007630468,-0.02363355,0.9996915,0.4173099,0,0,44
0.6798701,0.002451897,1.494299,4.149542,1.35617,-0.4215393,-0.5887146,-0.007355331,-0.02366742,0.9996929,0.4005627,0,0,44
0.6998701,0.002474785,1.494299,4.149391,1.368279,-0.407196,-0.5875854,-0.007104735,-0.0238787,0.9996896,0.3846134,0,0,44
0.7198701,0.002465248,1.494314,4.149265,1.364806,-0.394043,-0.5929565,-0.006875287,-0.0238181,0.9996927,0.3706227,0,0,44
0.7398701,0.00245142,1.494327,4.149011,1.353838,-0.3708191,-0.6079102,-0.006470095,-0.02362673,0.9996999,0.3571801,0,0,44
