time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.01002884,-0.01315928,1.57521,4.05143,-1.518127,-7.621216,1.407925,-0.132577,0.02649311,0.9908186,114.8746,0,0,827
0.0300293,-0.01311994,1.57512,4.051394,-1.474213,-7.633759,1.391895,-0.1327962,0.02572725,0.9908094,172.5633,0,0,828
0.05002975,-0.01299095,1.574953,4.051288,-1.389343,-7.635681,1.336085,-0.1328347,0.02424603,0.9908416,172.5519,0,0,829
0.07003021,-0.01297808,1.574965,4.051321,-1.391602,-7.654114,1.331197,-0.1331531,0.02428548,0.9907979,172.5519,0,0,830
0.09002876,-0.01295996,1.574956,4.051328,-1.393097,-7.672333,1.312503,-0.1334681,0.02431175,0.9907548,172.5345,0,1,831
0.1100292,-0.01293957,1.574923,4.051339,-1.369385,-7.690033,1.315012,-0.1337755,0.0238978,0.9907235,172.5174,0,1,832
0.1300297,-0.01294374,1.57483,4.051351,-1.320374,-7.747223,1.305994,-0.134767,0.02304294,0.9906093,172.5009,0,1,833
0.1500301,-0.01293814,1.574782,4.051362,-1.287506,-7.773712,1.293148,-0.1352268,0.02246932,0.9905599,172.4464,0,1,834
0.1700287,-0.01291823,1.57471,4.051394,-1.224457,-7.825684,1.294999,-0.1361286,0.02136897,0.9904607,172.4212,0,1,835
0.1900291,-0.01291859,1.574692,4.05147,-1.227142,-7.856537,1.269758,-0.1366618,0.02141606,0.9903862,172.3721,0,1,836
0.2100296,-0.01294613,1.574638,4.05163,-1.163879,-7.913605,1.229002,-0.1376513,0.02031212,0.9902725,172.3426,0,1,837
0.2300301,-0.01299429,1.574589,4.051717,-1.134064,-7.947754,1.228735,-0.138243,0.01979201,0.9902006,172.2879,0,1,838
0.2500286,-0.01300335,1.57451,4.051806,-1.055267,-8.006378,1.221871,-0.1392596,0.01841661,0.9900846,172.2548,0,1,839
0.2700291,-0.01300097,1.574447,4.051864,-1.014648,-8.017212,1.20987,-0.1394486,0.01770814,0.990071,172.1989,0,1,840
