time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.005813599,0.01791445,1.572095,4.096211,-3.632263,-12.97739,0.9526442,-0.2241156,0.0633525,0.9725013,0.4498048,0,0,1023
0.02581406,0.01767624,1.572118,4.096258,-3.601959,-12.95581,0.9548663,-0.2237564,0.0628249,0.9726182,12.71447,0,0,1024
0.04581451,0.01735306,1.572077,4.096353,-3.591675,-12.90952,0.9509293,-0.2229731,0.06264552,0.9728096,12.69638,0,0,1025
0.06581497,0.01694991,1.571981,4.096425,-3.573639,-12.85596,0.9570521,-0.222068,0.0623311,0.9730368,12.65482,0,1,1026
0.08581543,0.01673521,1.571929,4.09648,-3.599304,-12.82422,0.9381445,-0.2215227,0.06277851,0.9731323,12.60717,0,1,1027
0.1058159,0.01647626,1.5719,4.096533,-3.590698,-12.79425,0.9612806,-0.2210158,0.0626286,0.9732572,12.57859,0,1,1028
0.1258125,0.01629066,1.571875,4.096511,-3.572418,-12.7775,0.9744757,-0.2207358,0.0623103,0.9733412,12.5524,0,1,1029
0.145813,0.01571461,1.571906,4.096467,-3.568787,-12.68875,0.9999463,-0.2192286,0.06224683,0.9736859,12.53839,0,1,1030
0.1658134,0.0155254,1.571891,4.096438,-3.589874,-12.63904,0.971029,-0.2183788,0.06261426,0.9738532,12.45809,0,1,1031
0.1858139,0.01532567,1.571851,4.096401,-3.541504,-12.61707,0.9609557,-0.2180167,0.0617718,0.9739882,12.41119,0,1,1032
0.2058144,0.01515607,1.571793,4.096372,-3.522125,-12.58234,0.9766031,-0.217431,0.06143375,0.9741405,12.39212,0,1,1033
0.2258148,0.01466694,1.571931,4.096446,-3.644745,-12.52719,1.018477,-0.2164641,0.06356977,0.9742188,12.35989,0,1,1034
0.2458153,0.01447386,1.571991,4.096526,-3.644348,-12.51474,1.027037,-0.2162524,0.06356297,0.9742662,12.31192,0,1,1035
0.2658157,0.01427668,1.571977,4.096592,-3.64801,-12.51279,1.02377,-0.2162186,0.06362678,0.9742696,12.30227,0,1,1036
0.2858124,0.01407662,1.571977,4.096682,-3.634369,-12.52917,1.044795,-0.2165002,0.06338914,0.9742225,12.30325,0,1,1037
0.3058128,0.01368567,1.571971,4.096828,-3.625702,-12.52182,1.048547,-0.2163775,0.06323802,0.9742596,12.32253,0,1,1038
