time,posX,posY,posZ,rotX,rotY,rotZ,forX,forY,forZ,angle,miss,out,outf
0.006370544,-0.04405916,1.499154,4.132231,4.505443,-7.384369,0.609208,-0.1281281,-0.0785538,0.9886417,163.7721,0,0,3748
0.02636719,-0.04401052,1.499123,4.132391,4.556128,-7.387756,0.5967861,-0.1281774,-0.07943565,0.9885649,172.3559,0,0,3749
0.04637146,-0.04399765,1.499075,4.132529,4.597675,-7.392273,0.6034731,-0.128248,-0.08015849,0.9884974,172.3532,0,0,3750
0.0663681,-0.04392481,1.499021,4.132792,4.652779,-7.39679,0.617767,-0.1283158,-0.08111709,0.9884104,172.3491,0,0,3751
0.08637238,-0.04383051,1.498985,4.133085,4.690132,-7.384918,0.5856649,-0.128104,-0.08176686,0.9883843,172.3458,0,0,3752
0.106369,-0.04374552,1.498996,4.133227,4.671871,-7.346893,0.5955775,-0.1274516,-0.08144921,0.9884949,172.3584,0,0,3753
0.1263733,-0.04364991,1.498992,4.133378,4.665518,-7.334778,0.6041623,-0.1272438,-0.0813387,0.9885308,172.3958,0,0,3754
0.1463699,-0.04341137,1.499038,4.133634,4.654471,-7.258972,0.6183531,-0.1259378,-0.08114652,0.9887138,172.4086,0,0,3755
0.1663666,-0.04327559,1.49905,4.133745,4.664663,-7.241455,0.6135297,-0.1256336,-0.08132382,0.9887379,172.4841,0,0,3756
0.1863708,-0.0431807,1.499064,4.133887,4.666481,-7.219086,0.6179071,-0.1252471,-0.08135544,0.9887843,172.5027,0,0,3757
0.2063675,-0.04297733,1.499082,4.134151,4.660382,-7.197266,0.6235418,-0.1248719,-0.08124935,0.9888405,172.5254,0,1,3758
0.2263718,-0.04282737,1.499079,4.134431,4.661707,-7.190613,0.6031737,-0.1247568,-0.0812724,0.9888532,172.5488,0,1,3759
0.2463684,-0.04278874,1.499068,4.134598,4.678919,-7.210144,0.5973517,-0.1250906,-0.08157181,0.9887863,172.5573,0,1,3760
0.2663727,-0.04274511,1.499028,4.134767,4.6955,-7.230713,0.584567,-0.1254428,-0.08186023,0.9887179,172.5393,0,1,3761
0.2863693,-0.04262638,1.49894,4.135082,4.725033,-7.246155,0.5820119,-0.1257037,-0.08237394,0.988642,172.5203,0,1,3762
0.306366,-0.04251897,1.498896,4.135526,4.753864,-7.300873,0.5810819,-0.1266423,-0.08287541,0.9884803,172.5072,0,1,3763
0.3263702,-0.04246914,1.498877,4.135798,4.770555,-7.307648,0.5669711,-0.1267561,-0.08316573,0.9884413,172.4566,0,1,3764
0.3463669,-0.042395,1.498843,4.136075,4.810905,-7.323669,0.5945811,-0.1270255,-0.08386749,0.9883475,172.451,0,1,3765
0.3663712,-0.04225242,1.498746,4.136591,4.840092,-7.347412,0.5644369,-0.1274295,-0.08437511,0.9882523,172.4367,0,1,3766
0.3863678,-0.04215431,1.498686,4.136949,4.858137,-7.3526,0.5691721,-0.1275157,-0.08468892,0.9882143,172.416,0,1,3767
0.4063721,-0.0418793,1.498543,4.137818,4.93141,-7.391724,0.5945975,-0.128176,-0.08596312,0.9880189,172.4125,0,1,3768
0.4263687,-0.0417912,1.498523,4.138183,4.978748,-7.394775,0.4831018,-0.1282194,-0.08678623,0.9879413,172.3791,0,1,3769
0.446373,-0.04163492,1.49847,4.13861,5.022268,-7.399872,0.4510651,-0.1282987,-0.0875429,0.9878642,172.3773,0,1,3770
0.4663696,-0.04137635,1.498236,4.139416,5.093184,-7.408936,0.3976839,-0.128441,-0.08877579,0.9877357,172.3747,0,1,3771
